uf,codmun,cidade,pop_tcu_2016,pop_dou_2017,tcg_2016_2017,remanej_limitesmunicip
RO,1100015,ALTA FLORESTA D'OESTE,"25,506","25,437",-0.27%,NÃO
RO,1100023,ARIQUEMES,"105,896","107,345",1.37%,NÃO
RO,1100031,CABIXI,"6,289","6,224",-1.03%,NÃO
RO,1100049,CACOAL,"87,877","88,507",0.72%,NÃO
RO,1100056,CEREJEIRAS,"17,959","17,934",-0.14%,NÃO
RO,1100064,COLORADO DO OESTE,"18,639","18,467",-0.92%,NÃO
RO,1100072,CORUMBIARA,"8,749","8,659",-1.03%,NÃO
RO,1100080,COSTA MARQUES,"17,031","17,400",2.17%,NÃO
RO,1100098,ESPIGÃO D'OESTE,"32,712","33,030",0.97%,NÃO
RO,1100106,GUARÁ-MIRIM,"47,048","47,451",0.86%,NÃO
RO,1100114,JARU,"55,806","55,871",0.12%,NÃO
RO,1100122,JI-PARANÁ,"131,560","132,667",0.84%,NÃO
RO,1100130,MACHADINHO D'OESTE,"37,899","38,609",1.87%,NÃO
RO,1100148,NOVA BRASILÂNDIA D'OESTE,"21,670","21,747",0.36%,NÃO
RO,1100155,OURO PRETO DO OESTE,"39,840","39,759",-0.20%,NÃO
RO,1100189,PIMENTA BUENO,"37,786","38,051",0.70%,NÃO
RO,1100205,PORTO VELHO,"511,219","519,436",1.61%,NÃO
RO,1100254,PRESIDENTE MÉDICI,"22,337","22,124",-0.95%,NÃO
RO,1100262,RIO CRESPO,"3,790","3,829",1.03%,NÃO
RO,1100288,ROLIM DE MOURA,"56,664","57,074",0.72%,NÃO
RO,1100296,SANTA LUZIA D'OESTE,"8,362","8,198",-1.96%,NÃO
RO,1100304,VILHENA,"93,745","95,630",2.01%,NÃO
RO,1100320,SÃO MIGUEL DO GUAPORÉ,"24,059","24,181",0.51%,NÃO
RO,1100338,NOVA MAMORÉ,"28,255","28,891",2.25%,NÃO
RO,1100346,ALVORADA D'OESTE,"16,902","16,747",-0.92%,NÃO
RO,1100379,ALTO ALEGRE DOS PARECIS,"13,993","14,045",0.37%,NÃO
RO,1100403,ALTO PARAÍSO,"20,569","20,916",1.69%,NÃO
RO,1100452,BURITIS,"38,450","39,044",1.54%,NÃO
RO,1100502,NOVO HORIZONTE DO OESTE,"10,161","10,051",-1.08%,NÃO
RO,1100601,CACAULÂNDIA,"6,414","6,460",0.72%,NÃO
RO,1100700,CAMPO NOVO DE RONDÔNIA,"14,354","14,484",0.91%,NÃO
RO,1100809,CANDEIAS DO JAMARI,"24,719","25,266",2.21%,NÃO
RO,1100908,CASTANHEIRAS,"3,583","3,550",-0.92%,NÃO
RO,1100924,CHUPINGUAIA,"10,364","10,593",2.21%,NÃO
RO,1100940,CUJUBIM,"21,720","22,443",3.33%,NÃO
RO,1101005,GOVERNADOR JORGE TEIXEIRA,"9,933","9,745",-1.89%,NÃO
RO,1101104,ITAPUÃ DO OESTE,"10,155","10,310",1.53%,NÃO
RO,1101203,MINISTRO ANDREAZZA,"10,786","10,751",-0.32%,NÃO
RO,1101302,MIRANTE DA SERRA,"12,308","12,258",-0.41%,NÃO
RO,1101401,MONTE NEGRO,"16,032","16,186",0.96%,NÃO
RO,1101435,NOVA UNIÃO,"7,796","7,769",-0.35%,NÃO
RO,1101450,PARECIS,"5,802","5,904",1.76%,NÃO
RO,1101468,PIMENTEIRAS DO OESTE,"2,417","2,410",-0.29%,NÃO
RO,1101476,PRIMAVERA DE RONDÔNIA,"3,456","3,411",-1.30%,NÃO
RO,1101484,SÃO FELIPE D'OESTE,"6,048","5,994",-0.89%,NÃO
RO,1101492,SÃO FRANCISCO DO GUAPORÉ,"19,353","19,694",1.76%,NÃO
RO,1101500,SERINGUEIRAS,"12,617","12,653",0.29%,NÃO
RO,1101559,TEIXEIRÓPOLIS,"4,966","4,931",-0.70%,NÃO
RO,1101609,THEOBROMA,"11,348","11,350",0.02%,NÃO
RO,1101708,URUPÁ,"13,198","13,106",-0.70%,NÃO
RO,1101757,VALE DO ANARI,"10,999","11,149",1.36%,NÃO
RO,1101807,VALE DO PARAÍSO,"8,138","8,047",-1.12%,NÃO
AC,1200013,ACRELÂNDIA,"14,120","14,366",1.74%,NÃO
AC,1200054,ASSIS BRASIL,"6,863","6,986",1.79%,NÃO
AC,1200104,BRASILÉIA,"24,311","24,765",1.87%,NÃO
AC,1200138,BUJARI,"9,503","9,664",1.69%,NÃO
AC,1200179,CAPIXABA,"10,820","11,136",2.92%,NÃO
AC,1200203,CRUZEIRO DO SUL,"82,075","82,622",0.67%,NÃO
AC,1200252,EPITACIOLÂNDIA,"17,038","17,340",1.77%,NÃO
AC,1200302,FEIJÓ,"32,372","32,360",-0.04%,NÃO
AC,1200328,JORDÃO,"7,685","7,858",2.25%,NÃO
AC,1200336,MÂNCIO LIMA,"17,545","17,910",2.08%,NÃO
AC,1200344,MANOEL URBANO,"8,765","8,886",1.38%,NÃO
AC,1200351,MARECHAL THAUMATURGO,"17,401","17,897",2.85%,NÃO
AC,1200385,PLÁCIDO DE CASTRO,"18,336","18,510",0.95%,NÃO
AC,1200393,PORTO WALTER,"11,059","11,353",2.66%,NÃO
AC,1200401,RIO BRANCO,"377,057","383,443",1.69%,NÃO
AC,1200427,RODRIGUES ALVES,"17,464","17,945",2.75%,NÃO
AC,1200435,SANTA ROSA DO PURUS,"6,021","6,230",3.47%,NÃO
AC,1200450,SENADOR GUIOMARD,"21,369","21,552",0.86%,NÃO
AC,1200500,SENA MADUREIRA,"42,451","43,139",1.62%,NÃO
AC,1200609,TARAUACÁ,"39,427","40,024",1.51%,NÃO
AC,1200708,XAPURI,"17,894","18,174",1.56%,NÃO
AC,1200807,PORTO ACRE,"17,111","17,459",2.03%,NÃO
AM,1300029,ALVARÃES,"15,729","15,908",1.14%,NÃO
AM,1300060,AMATURÁ,"11,047","11,242",1.77%,NÃO
AM,1300086,ANAMÃ,"12,653","12,978",2.57%,NÃO
AM,1300102,ANORI,"19,749","20,196",2.26%,NÃO
AM,1300144,APUÍ,"21,031","21,406",1.78%,NÃO
AM,1300201,ATALAIA DO NORTE,"18,599","19,054",2.45%,NÃO
AM,1300300,AUTAZES,"37,752","38,454",1.86%,NÃO
AM,1300409,BARCELOS,"27,589","27,743",0.56%,NÃO
AM,1300508,BARREIRINHA,"31,105","31,542",1.40%,NÃO
AM,1300607,BENJAMIN CONSTANT,"40,417","41,329",2.26%,NÃO
AM,1300631,BERURI,"18,579","18,978",2.15%,NÃO
AM,1300680,BOA VISTA DO RAMOS,"18,080","18,483",2.23%,NÃO
AM,1300706,BOCA DO ACRE,"33,840","34,176",0.99%,NÃO
AM,1300805,BORBA,"39,885","40,464",1.45%,NÃO
AM,1300839,CAAPIRANGA,"12,622","12,820",1.57%,NÃO
AM,1300904,CANUTAMA,"15,312","15,490",1.16%,NÃO
AM,1301001,CARAUARI,"28,111","28,337",0.80%,NÃO
AM,1301100,CAREIRO,"36,922","37,399",1.29%,NÃO
AM,1301159,CAREIRO DA VÁRZEA,"28,592","29,190",2.09%,NÃO
AM,1301209,COARI,"83,929","84,762",0.99%,NÃO
AM,1301308,CODAJÁS,"27,303","27,817",1.88%,NÃO
AM,1301407,EIRUNEPÉ,"34,461","34,888",1.24%,NÃO
AM,1301506,ENVIRA,"19,143","19,492",1.82%,NÃO
AM,1301605,FONTE BOA,"20,199","19,669",-2.62%,NÃO
AM,1301654,GUAJARÁ,"16,085","16,339",1.58%,NÃO
AM,1301704,HUMAITÁ,"52,354","53,383",1.97%,NÃO
AM,1301803,IPIXUNA,"27,587","28,299",2.58%,NÃO
AM,1301852,IRANDUBA,"46,703","47,407",1.51%,NÃO
AM,1301902,ITACOATIARA,"98,503","99,854",1.37%,NÃO
AM,1301951,ITAMARATI,"8,153","8,128",-0.31%,NÃO
AM,1302009,ITAPIRANGA,"9,040","9,125",0.94%,NÃO
AM,1302108,JAPURÁ,"4,660","4,205",-9.76%,NÃO
AM,1302207,JURUÁ,"13,581","13,956",2.76%,NÃO
AM,1302306,JUTAÍ,"16,200","15,824",-2.32%,NÃO
AM,1302405,LÁBREA,"44,071","44,861",1.79%,NÃO
AM,1302504,MANACAPURU,"95,330","96,460",1.19%,NÃO
AM,1302553,MANAQUIRI,"29,327","30,222",3.05%,NÃO
AM,1302603,MANAUS,"2,094,391","2,130,264",1.71%,NÃO
AM,1302702,MANICORÉ,"53,890","54,708",1.52%,NÃO
AM,1302801,MARAÃ,"18,477","18,531",0.29%,NÃO
AM,1302900,MAUÉS,"61,110","62,212",1.80%,NÃO
AM,1303007,NHAMUNDÁ,"20,633","20,902",1.30%,NÃO
AM,1303106,NOVA OLINDA DO NORTE,"35,800","36,431",1.76%,NÃO
AM,1303205,NOVO AIRÃO,"18,133","18,586",2.50%,NÃO
AM,1303304,NOVO ARIPUANÃ,"24,718","25,112",1.59%,NÃO
AM,1303403,PARINTINS,"112,716","113,832",0.99%,NÃO
AM,1303502,PAUINI,"19,488","19,597",0.56%,NÃO
AM,1303536,PRESIDENTE FIGUEIREDO,"33,703","34,574",2.58%,NÃO
AM,1303569,RIO PRETO DA EVA,"31,274","32,001",2.32%,NÃO
AM,1303601,SANTA ISABEL DO RIO NEGRO,"23,092","23,765",2.91%,NÃO
AM,1303700,SANTO ANTÔNIO DO IÇÁ,"23,378","23,075",-1.30%,NÃO
AM,1303809,SÃO GABRIEL DA CACHOEIRA,"43,831","44,553",1.65%,NÃO
AM,1303908,SÃO PAULO DE OLIVENÇA,"37,300","38,047",2.00%,NÃO
AM,1303957,SÃO SEBASTIÃO DO UATUMÃ,"13,105","13,421",2.41%,NÃO
AM,1304005,SILVES,"9,147","9,211",0.70%,NÃO
AM,1304062,TABATINGA,"62,346","63,635",2.07%,NÃO
AM,1304104,TAPAUÁ,"18,039","17,930",-0.60%,NÃO
AM,1304203,TEFÉ,"62,230","62,021",-0.34%,NÃO
AM,1304237,TONANTINS,"18,632","18,782",0.81%,NÃO
AM,1304260,UARINI,"13,276","13,428",1.14%,NÃO
AM,1304302,URUCARÁ,"17,065","16,968",-0.57%,NÃO
AM,1304401,URUCURITUBA,"21,650","22,148",2.30%,NÃO
