UF,CÓDIGO MUNICÍPIO,NOME-UF,"2016
(TCU)","2017
(DOU)",TCG 2016-17,"SOFREU REMANEJAMENTO POPULACIONAL DEVIDO A ALTERAÇÃO DE LIMITES ENTRE MUNICÍPIOS, ENTRE 2016 E 2017?"
RO,1100015,Alta Floresta D'Oeste-RO,"25,506","25,437",-0.27%,NÃO
RO,1100023,Ariquemes-RO,"105,896","107,345",1.37%,NÃO
RO,1100031,Cabixi-RO,"6,289","6,224",-1.03%,NÃO
RO,1100049,Cacoal-RO,"87,877","88,507",0.72%,NÃO
RO,1100056,Cerejeiras-RO,"17,959","17,934",-0.14%,NÃO
RO,1100064,Colorado do Oeste-RO,"18,639","18,467",-0.92%,NÃO
RO,1100072,Corumbiara-RO,"8,749","8,659",-1.03%,NÃO
RO,1100080,Costa Marques-RO,"17,031","17,400",2.17%,NÃO
RO,1100098,Espigão D'Oeste-RO,"32,712","33,030",0.97%,NÃO
RO,1100106,Guajará-Mirim-RO,"47,048","47,451",0.86%,NÃO
RO,1100114,Jaru-RO,"55,806","55,871",0.12%,NÃO
RO,1100122,Ji-Paraná-RO,"131,560","132,667",0.84%,NÃO
RO,1100130,Machadinho D'Oeste-RO,"37,899","38,609",1.87%,NÃO
RO,1100148,Nova Brasilândia D'Oeste-RO,"21,670","21,747",0.36%,NÃO
RO,1100155,Ouro Preto do Oeste-RO,"39,840","39,759",-0.20%,NÃO
RO,1100189,Pimenta Bueno-RO,"37,786","38,051",0.70%,NÃO
RO,1100205,Porto Velho-RO,"511,219","519,436",1.61%,NÃO
RO,1100254,Presidente Médici-RO,"22,337","22,124",-0.95%,NÃO
RO,1100262,Rio Crespo-RO,"3,790","3,829",1.03%,NÃO
RO,1100288,Rolim de Moura-RO,"56,664","57,074",0.72%,NÃO
RO,1100296,Santa Luzia D'Oeste-RO,"8,362","8,198",-1.96%,NÃO
RO,1100304,Vilhena-RO,"93,745","95,630",2.01%,NÃO
RO,1100320,São Miguel do Guaporé-RO,"24,059","24,181",0.51%,NÃO
RO,1100338,Nova Mamoré-RO,"28,255","28,891",2.25%,NÃO
RO,1100346,Alvorada D'Oeste-RO,"16,902","16,747",-0.92%,NÃO
RO,1100379,Alto Alegre dos Parecis-RO,"13,993","14,045",0.37%,NÃO
RO,1100403,Alto Paraíso-RO,"20,569","20,916",1.69%,NÃO
RO,1100452,Buritis-RO,"38,450","39,044",1.54%,NÃO
RO,1100502,Novo Horizonte do Oeste-RO,"10,161","10,051",-1.08%,NÃO
RO,1100601,Cacaulândia-RO,"6,414","6,460",0.72%,NÃO
RO,1100700,Campo Novo de Rondônia-RO,"14,354","14,484",0.91%,NÃO
RO,1100809,Candeias do Jamari-RO,"24,719","25,266",2.21%,NÃO
RO,1100908,Castanheiras-RO,"3,583","3,550",-0.92%,NÃO
RO,1100924,Chupinguaia-RO,"10,364","10,593",2.21%,NÃO
RO,1100940,Cujubim-RO,"21,720","22,443",3.33%,NÃO
RO,1101005,Governador Jorge Teixeira-RO,"9,933","9,745",-1.89%,NÃO
RO,1101104,Itapuã do Oeste-RO,"10,155","10,310",1.53%,NÃO
RO,1101203,Ministro Andreazza-RO,"10,786","10,751",-0.32%,NÃO
RO,1101302,Mirante da Serra-RO,"12,308","12,258",-0.41%,NÃO
RO,1101401,Monte Negro-RO,"16,032","16,186",0.96%,NÃO
RO,1101435,Nova União-RO,"7,796","7,769",-0.35%,NÃO
RO,1101450,Parecis-RO,"5,802","5,904",1.76%,NÃO
RO,1101468,Pimenteiras do Oeste-RO,"2,417","2,410",-0.29%,NÃO
RO,1101476,Primavera de Rondônia-RO,"3,456","3,411",-1.30%,NÃO
RO,1101484,São Felipe D'Oeste-RO,"6,048","5,994",-0.89%,NÃO
RO,1101492,São Francisco do Guaporé-RO,"19,353","19,694",1.76%,NÃO
RO,1101500,Seringueiras-RO,"12,617","12,653",0.29%,NÃO
RO,1101559,Teixeirópolis-RO,"4,966","4,931",-0.70%,NÃO
RO,1101609,Theobroma-RO,"11,348","11,350",0.02%,NÃO
RO,1101708,Urupá-RO,"13,198","13,106",-0.70%,NÃO
RO,1101757,Vale do Anari-RO,"10,999","11,149",1.36%,NÃO
RO,1101807,Vale do Paraíso-RO,"8,138","8,047",-1.12%,NÃO
AC,1200013,Acrelândia-AC,"14,120","14,366",1.74%,NÃO
AC,1200054,Assis Brasil-AC,"6,863","6,986",1.79%,NÃO
AC,1200104,Brasiléia-AC,"24,311","24,765",1.87%,NÃO
AC,1200138,Bujari-AC,"9,503","9,664",1.69%,NÃO
AC,1200179,Capixaba-AC,"10,820","11,136",2.92%,NÃO
AC,1200203,Cruzeiro do Sul-AC,"82,075","82,622",0.67%,NÃO
AC,1200252,Epitaciolândia-AC,"17,038","17,340",1.77%,NÃO
AC,1200302,Feijó-AC,"32,372","32,360",-0.04%,NÃO
AC,1200328,Jordão-AC,"7,685","7,858",2.25%,NÃO
AC,1200336,Mâncio Lima-AC,"17,545","17,910",2.08%,NÃO
AC,1200344,Manoel Urbano-AC,"8,765","8,886",1.38%,NÃO
AC,1200351,Marechal Thaumaturgo-AC,"17,401","17,897",2.85%,NÃO
AC,1200385,Plácido de Castro-AC,"18,336","18,510",0.95%,NÃO
AC,1200393,Porto Walter-AC,"11,059","11,353",2.66%,NÃO
AC,1200401,Rio Branco-AC,"377,057","383,443",1.69%,NÃO
AC,1200427,Rodrigues Alves-AC,"17,464","17,945",2.75%,NÃO
AC,1200435,Santa Rosa do Purus-AC,"6,021","6,230",3.47%,NÃO
AC,1200450,Senador Guiomard-AC,"21,369","21,552",0.86%,NÃO
AC,1200500,Sena Madureira-AC,"42,451","43,139",1.62%,NÃO
AC,1200609,Tarauacá-AC,"39,427","40,024",1.51%,NÃO
AC,1200708,Xapuri-AC,"17,894","18,174",1.56%,NÃO
AC,1200807,Porto Acre-AC,"17,111","17,459",2.03%,NÃO
AM,1300029,Alvarães-AM,"15,729","15,908",1.14%,NÃO
AM,1300060,Amaturá-AM,"11,047","11,242",1.77%,NÃO
AM,1300086,Anamã-AM,"12,653","12,978",2.57%,NÃO
AM,1300102,Anori-AM,"19,749","20,196",2.26%,NÃO
AM,1300144,Apuí-AM,"21,031","21,406",1.78%,NÃO
AM,1300201,Atalaia do Norte-AM,"18,599","19,054",2.45%,NÃO
AM,1300300,Autazes-AM,"37,752","38,454",1.86%,NÃO
AM,1300409,Barcelos-AM,"27,589","27,743",0.56%,NÃO
AM,1300508,Barreirinha-AM,"31,105","31,542",1.40%,NÃO
AM,1300607,Benjamin Constant-AM,"40,417","41,329",2.26%,NÃO
AM,1300631,Beruri-AM,"18,579","18,978",2.15%,NÃO
AM,1300680,Boa Vista do Ramos-AM,"18,080","18,483",2.23%,NÃO
AM,1300706,Boca do Acre-AM,"33,840","34,176",0.99%,NÃO
AM,1300805,Borba-AM,"39,885","40,464",1.45%,NÃO
AM,1300839,Caapiranga-AM,"12,622","12,820",1.57%,NÃO
AM,1300904,Canutama-AM,"15,312","15,490",1.16%,NÃO
AM,1301001,Carauari-AM,"28,111","28,337",0.80%,NÃO
AM,1301100,Careiro-AM,"36,922","37,399",1.29%,NÃO
AM,1301159,Careiro da Várzea-AM,"28,592","29,190",2.09%,NÃO
AM,1301209,Coari-AM,"83,929","84,762",0.99%,NÃO
AM,1301308,Codajás-AM,"27,303","27,817",1.88%,NÃO
AM,1301407,Eirunepé-AM,"34,461","34,888",1.24%,NÃO
AM,1301506,Envira-AM,"19,143","19,492",1.82%,NÃO
AM,1301605,Fonte Boa-AM,"20,199","19,669",-2.62%,NÃO
AM,1301654,Guajará-AM,"16,085","16,339",1.58%,NÃO
AM,1301704,Humaitá-AM,"52,354","53,383",1.97%,NÃO
AM,1301803,Ipixuna-AM,"27,587","28,299",2.58%,NÃO
AM,1301852,Iranduba-AM,"46,703","47,407",1.51%,NÃO
AM,1301902,Itacoatiara-AM,"98,503","99,854",1.37%,NÃO
AM,1301951,Itamarati-AM,"8,153","8,128",-0.31%,NÃO
AM,1302009,Itapiranga-AM,"9,040","9,125",0.94%,NÃO
AM,1302108,Japurá-AM,"4,660","4,205",-9.76%,NÃO
AM,1302207,Juruá-AM,"13,581","13,956",2.76%,NÃO
AM,1302306,Jutaí-AM,"16,200","15,824",-2.32%,NÃO
AM,1302405,Lábrea-AM,"44,071","44,861",1.79%,NÃO
AM,1302504,Manacapuru-AM,"95,330","96,460",1.19%,NÃO
AM,1302553,Manaquiri-AM,"29,327","30,222",3.05%,NÃO
AM,1302603,Manaus-AM,"2,094,391","2,130,264",1.71%,NÃO
AM,1302702,Manicoré-AM,"53,890","54,708",1.52%,NÃO
AM,1302801,Maraã-AM,"18,477","18,531",0.29%,NÃO
AM,1302900,Maués-AM,"61,110","62,212",1.80%,NÃO
AM,1303007,Nhamundá-AM,"20,633","20,902",1.30%,NÃO
AM,1303106,Nova Olinda do Norte-AM,"35,800","36,431",1.76%,NÃO
AM,1303205,Novo Airão-AM,"18,133","18,586",2.50%,NÃO
AM,1303304,Novo Aripuanã-AM,"24,718","25,112",1.59%,NÃO
AM,1303403,Parintins-AM,"112,716","113,832",0.99%,NÃO
AM,1303502,Pauini-AM,"19,488","19,597",0.56%,NÃO
AM,1303536,Presidente Figueiredo-AM,"33,703","34,574",2.58%,NÃO
AM,1303569,Rio Preto da Eva-AM,"31,274","32,001",2.32%,NÃO
AM,1303601,Santa Isabel do Rio Negro-AM,"23,092","23,765",2.91%,NÃO
AM,1303700,Santo Antônio do Içá-AM,"23,378","23,075",-1.30%,NÃO
AM,1303809,São Gabriel da Cachoeira-AM,"43,831","44,553",1.65%,NÃO
AM,1303908,São Paulo de Olivença-AM,"37,300","38,047",2.00%,NÃO
AM,1303957,São Sebastião do Uatumã-AM,"13,105","13,421",2.41%,NÃO
AM,1304005,Silves-AM,"9,147","9,211",0.70%,NÃO
