id,segmento_principal,nome,cidade,regiao_metropolitana,uf,estado,regiao,pais,fonte,jornalismo
12491,Revista,REVISTA PROPÁGULO,RECIFE,RM Recife,PE,Pernambuco,Nordeste,Brasil,Atlas 2.0,1
808,Jornal,NOSSO JORNAL,ABAETÉ,n/d,MG,Minas Gerais,Sudeste,Brasil,Secom/PR,1
2880,Jornal,CORREIO ABELARDENSE,ABELARDO LUZ,n/d,SC,Santa Catarina,Sul,Brasil,Secom/PR,1
2881,Jornal,O FALCAO,ABELARDO LUZ,n/d,SC,Santa Catarina,Sul,Brasil,Secom/PR,1
5132,Jornal,TRIBUNA DE ABRE CAMPO,ABRE CAMPO,n/d,MG,Minas Gerais,Sudeste,Brasil,Atlas da Notícia,1
704,Jornal,JORNAL DO MARANHAO,AÇAILÂNDIA,n/d,MA,Maranhão,Nordeste,Brasil,Secom/PR,1
199,Jornal,FOLHA DO SERTAO,ACOPIARA,n/d,CE,Ceará,Nordeste,Brasil,Secom/PR,1
2263,Jornal,TRIBUNA DO VALE,AÇU,n/d,RN,Rio Grande do Norte,Nordeste,Brasil,Secom/PR,1
3952,Jornal,DIARIO DO OESTE PAULISTA,ADAMANTINA,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,1
5551,Jornal,JORNAL DA CIDADE,ADAMANTINA,n/d,SP,São Paulo,Sudeste,Brasil,Adjori-SP,1
12609,Jornal,JORNAL IMPACTO ADAMANTINA,ADAMANTINA,,SP,São Paulo,Sudeste,Brasil,Atlas 2.0,1
3951,Jornal,O IMPACTO,ADAMANTINA,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,1
435,Jornal,O RESGATE,AFONSO CLÁUDIO,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,1
1319,Jornal,JORNAL ACONTECENDO,ÁGUA BOA,n/d,MT,Mato Grosso,Centro-Oeste,Brasil,Secom/PR,1
1493,Online,PORTAL MPIAUI,ÁGUA BRANCA,n/d,PI,Piauí,Nordeste,Brasil,Secom/PR,1
5554,Jornal,CORREIO,AGUAÍ,n/d,SP,São Paulo,Sudeste,Brasil,Adjori-SP,1
3953,Jornal,CORREIO DE AGUAI,AGUAÍ,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,1
3954,Jornal,GAZETA DE AGUAI,AGUAÍ,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,1
5553,Jornal,O IMPARCIAL,AGUAÍ,n/d,SP,São Paulo,Sudeste,Brasil,Adjori-SP,1
4950,Jornal,FOLHA DE ÁGUAS CLARAS,ÁGUAS CLARAS,RIDE DF,DF,Distrito Federal,Centro-Oeste,Brasil,Atlas da Notícia,1
3956,Jornal,TRIBUNA DAS AGUAS,ÁGUAS DE LINDÓIA,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,1
555,Jornal,GAZETA GOIANA E DF (EX GAZETA GOIANA),ÁGUAS LINDAS DE GOIÁS,RIDE DF,GO,Goiás,Centro-Oeste,Brasil,Secom/PR,1
503,Online,IMPRENSA JA,ÁGUAS LINDAS DE GOIÁS,RIDE DF,GO,Goiás,Centro-Oeste,Brasil,Secom/PR,1
2456,Jornal,CORREIO AGUDENSE,AGUDO,n/d,RS,Rio Grande do Sul,Sul,Brasil,Secom/PR,1
2455,Jornal,DEUTSCHE INTEGRATION,AGUDO,n/d,RS,Rio Grande do Sul,Sul,Brasil,Secom/PR,1
3957,Jornal,CIDADE DE AGUDOS,AGUDOS,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,1
63,Online,ALAGOINHAS HOJE,ALAGOINHAS,n/d,BA,Bahia,Nordeste,Brasil,Secom/PR,1
111,Jornal,FOLHAO DA BAHIA,ALAGOINHAS,n/d,BA,Bahia,Nordeste,Brasil,Secom/PR,1
