nome,apenas_digital,blog_site_pag,segmento_principal,caracteristicas,modelo_negocios,proprietario,regiao,uf,cidade,codmun,endereco,link,twitter,facebook,rss,obs,colaborador,email_veiculo,organizacao,funcionarios,periodicidade,jornalismo,fechou
102 FM,Não,Não,Rádio,"Opinião/colunistas, Noticiário em tempo real","Publicidade gráfica (banners, pop-ups etc.)",Emissoras Interioranas LTDA,Sudeste,SP,BRAGANÇA PAULISTA,3507605,"Rua Coronel Osório, 13",http://www.fm102.com.br/,,https://www.facebook.com/102fmtodomundoouve/,,,Jornalista - editor / repórter / freelancer etc.,fm102@fm102.com.br,,,Diário,1,
180GRAUS,Não,Não,Online,"Blogs, Opinião/colunistas, Redes sociais, Noticiário em tempo real, Possui alguma edição impressa","Publicidade gráfica (banners, pop-ups etc.)",Grupo Eugênio,Nordeste,PI,TERESINA,2211001,"Avenida Leônidas Melo, 620, Piçarra",http://www.180graus.com,https://twitter.com/180graus,https://www.facebook.com/portal180/,,,Jornalista - editor / repórter / freelancer etc.,redacao@180graus.com,,30 a 59 colaboradores,Diário,1,
4. SISTEMA SANTAROSENSE DE COMUNICAÇÃO LTDA,Não,Não,Jornal,"Opinião/colunistas, Redes sociais, Possui alguma edição impressa","Assinatura/paywall, Publicidade gráfica (banners, pop-ups etc.), Conteúdo patrocinado, Prestação de serviços",,Sudeste,SP,SANTA ROSA DE VITERBO,3547601,"Rua José Garcia Duarte, 182 14270000 Santa Rosa de Viterbo",http://ojornalzao.com/,,https://www.facebook.com/OJornalzaoSRV/,,,Pesquisador do Atlas da Notícia / Volt Data Lab / Projor,,,1 a 5 colaboradores,Bisemanal,1,
A CIDADE SANTA GERTRUDES,Não,Não,Jornal,"Opinião/colunistas, Redes sociais, Noticiário em tempo real, Possui alguma edição impressa","Publicidade gráfica (banners, pop-ups etc.), Publicidade nativa (conteúdo jornalístico pago), Conteúdo patrocinado, Prestação de serviços, Financiamento institucional (ex. Fundações, empresas, etc)",A Cidade de Santa Gertrudes Ltda - ME,Sudeste,SP,SANTA GERTRUDES,3546702,"Avenida 1, nº 336 - Centro sala 3 - Santa Gertrudes",http://www.acidadesantagertrudes.com.br/,,https://www.facebook.com/jornalacidadesantagertrudes/,,,Pesquisador do Atlas da Notícia / Volt Data Lab / Projor,,,1 a 5 colaboradores,Diário,1,
A CIDADE VOTUPORANGA,Não,Não,Jornal,"Redes sociais, Noticiário em tempo real","Assinatura/paywall, Publicidade gráfica (banners, pop-ups etc.), Conteúdo patrocinado",Empresa Jornalística A Cidade S.A,Sudeste,SP,VOTUPORANGA,3557105,Rua Barão do Rio Branco nº 4446,http://www.acidadevotuporanga.com.br/,,https://www.facebook.com/acidadevotuporanga,,,Pesquisador do Atlas da Notícia / Volt Data Lab / Projor,,,10 a 29 colaboradores,Diário,1,
A COMARCA - AVARÉ,Não,Não,Jornal,Opinião/colunistas,"Assinatura/paywall, Publicidade gráfica (banners, pop-ups etc.), Publicidade nativa (conteúdo jornalístico pago), Publicidade (outros tipos), Conteúdo patrocinado, Prestação de serviços",,Sudeste,SP,AVARÉ,3504503,Avenida Gilberto Filgueiras 1402,https://jornalacomarca.com.br/,,https://www.facebook.com/jcomarcaavare/,,,Pesquisador do Atlas da Notícia / Volt Data Lab / Projor,redacao@jornalacomarca.com.br,,1 a 5 colaboradores,Sem periodicidade definida,1,
A CRITICA,Não,Não,Online,"Opinião/colunistas, Vídeos, Redes sociais, Noticiário em tempo real, Possui alguma edição impressa","Assinatura/paywall, Publicidade gráfica (banners, pop-ups etc.)",TEREZA CRISTINA CALDERARO CORRÊA https://www.acritica.com/sobre/expediente,Norte,AM,MANAUS,1302603,"Av. André Araújo 1924 - A, Aleixo - Cidade das Comunicações. CEP 69067-375",https://www.acritica.com/,https://twitter.com/ACritica,https://www.facebook.com/ACriticaCom/,,,Estudante,,,,Diário,1,
A CRÍTICA,Não,Não,Jornal,"Opinião/colunistas, Vídeos, Noticiário em tempo real, Possui alguma edição impressa, Ele não tem outros destaques além do produto principal","Publicidade gráfica (banners, pop-ups etc.)",Grupo Feitosa,Centro-Oeste,MS,CAMPO GRANDE,5002704,"Avenida Júlio de Castilho, 1747",http://www.acritica.net/,https://twitter.com/acritica_jornal,https://www.facebook.com/acritica.jornal,,,Pesquisador do Atlas da Notícia / Volt Data Lab / Projor,redacao.acritica@gmail.com,,,Semanal,1,
A FOLHA DE SALTINHO,Não,Não,Jornal,"Opinião/colunistas, Newsletters, Noticiário em tempo real","Publicidade nativa (conteúdo jornalístico pago), Conteúdo patrocinado, Prestação de serviços",,Sudeste,SP,SALTINHO,3545159,,,,,,,Dono / administrador / representante de veículo de jornalismo (exceto jornalista de redação),afsaltinho@gmail.com,,1 a 5 colaboradores,Semanal,1,
A FOLHA REGIONAL,Não,Não,Jornal,Opinião/colunistas,,,Sul,RS,GETÚLIO VARGAS,4308904,Rua Jacob Gremmelmaier-303,https://afolharegional-afolharegional.blogpost.com,,,,,Estudante,,,10 a 29 colaboradores,Semanal,1,
