codmun,cidade,uf,regiao,pop_dou_2017
1100015,ALTA FLORESTA D'OESTE,RO,Norte,25437
1100031,CABIXI,RO,Norte,6224
1100072,CORUMBIARA,RO,Norte,8659
1100080,COSTA MARQUES,RO,Norte,17400
1100148,NOVA BRASILÂNDIA D'OESTE,RO,Norte,21747
1100262,RIO CRESPO,RO,Norte,3829
1100296,SANTA LUZIA D'OESTE,RO,Norte,8198
1100379,ALTO ALEGRE DOS PARECIS,RO,Norte,14045
1100403,ALTO PARAÍSO,RO,Norte,20916
1100452,BURITIS,RO,Norte,39044
1100502,NOVO HORIZONTE DO OESTE,RO,Norte,10051
1100601,CACAULÂNDIA,RO,Norte,6460
1100700,CAMPO NOVO DE RONDÔNIA,RO,Norte,14484
1100908,CASTANHEIRAS,RO,Norte,3550
1100924,CHUPINGUAIA,RO,Norte,10593
1100940,CUJUBIM,RO,Norte,22443
1101203,MINISTRO ANDREAZZA,RO,Norte,10751
1101401,MONTE NEGRO,RO,Norte,16186
1101435,NOVA UNIÃO,RO,Norte,7769
1101450,PARECIS,RO,Norte,5904
1101468,PIMENTEIRAS DO OESTE,RO,Norte,2410
1101476,PRIMAVERA DE RONDÔNIA,RO,Norte,3411
1101484,SÃO FELIPE D'OESTE,RO,Norte,5994
1101492,SÃO FRANCISCO DO GUAPORÉ,RO,Norte,19694
1101500,SERINGUEIRAS,RO,Norte,12653
1101559,TEIXEIRÓPOLIS,RO,Norte,4931
1101609,THEOBROMA,RO,Norte,11350
1101708,URUPÁ,RO,Norte,13106
1101757,VALE DO ANARI,RO,Norte,11149
1101807,VALE DO PARAÍSO,RO,Norte,8047
1200013,ACRELÂNDIA,AC,Norte,14366
1200054,ASSIS BRASIL,AC,Norte,6986
1200104,BRASILÉIA,AC,Norte,24765
1200138,BUJARI,AC,Norte,9664
1200179,CAPIXABA,AC,Norte,11136
1200252,EPITACIOLÂNDIA,AC,Norte,17340
1200302,FEIJÓ,AC,Norte,32360
1200328,JORDÃO,AC,Norte,7858
1200344,MANOEL URBANO,AC,Norte,8886
1200351,MARECHAL THAUMATURGO,AC,Norte,17897
1200385,PLÁCIDO DE CASTRO,AC,Norte,18510
1200393,PORTO WALTER,AC,Norte,11353
1200427,RODRIGUES ALVES,AC,Norte,17945
1200435,SANTA ROSA DO PURUS,AC,Norte,6230
1200500,SENA MADUREIRA,AC,Norte,43139
1200807,PORTO ACRE,AC,Norte,17459
1300029,ALVARÃES,AM,Norte,15908
1300060,AMATURÁ,AM,Norte,11242
1300086,ANAMÃ,AM,Norte,12978
1300144,APUÍ,AM,Norte,21406
1300409,BARCELOS,AM,Norte,27743
1300631,BERURI,AM,Norte,18978
1300680,BOA VISTA DO RAMOS,AM,Norte,18483
1300706,BOCA DO ACRE,AM,Norte,34176
1300805,BORBA,AM,Norte,40464
1300839,CAAPIRANGA,AM,Norte,12820
1300904,CANUTAMA,AM,Norte,15490
1301159,CAREIRO DA VÁRZEA,AM,Norte,29190
1301308,CODAJÁS,AM,Norte,27817
1301407,EIRUNEPÉ,AM,Norte,34888
1301506,ENVIRA,AM,Norte,19492
1301654,GUAJARÁ,AM,Norte,16339
1301803,IPIXUNA,AM,Norte,28299
1301951,ITAMARATI,AM,Norte,8128
1302009,ITAPIRANGA,AM,Norte,9125
1302108,JAPURÁ,AM,Norte,4205
1302207,JURUÁ,AM,Norte,13956
1302306,JUTAÍ,AM,Norte,15824
1302405,LÁBREA,AM,Norte,44861
1302553,MANAQUIRI,AM,Norte,30222
1302801,MARAÃ,AM,Norte,18531
1303007,NHAMUNDÁ,AM,Norte,20902
1303106,NOVA OLINDA DO NORTE,AM,Norte,36431
1303205,NOVO AIRÃO,AM,Norte,18586
1303304,NOVO ARIPUANÃ,AM,Norte,25112
1303502,PAUINI,AM,Norte,19597
1303569,RIO PRETO DA EVA,AM,Norte,32001
1303601,SANTA ISABEL DO RIO NEGRO,AM,Norte,23765
1303700,SANTO ANTÔNIO DO IÇÁ,AM,Norte,23075
1303908,SÃO PAULO DE OLIVENÇA,AM,Norte,38047
1303957,SÃO SEBASTIÃO DO UATUMÃ,AM,Norte,13421
1304005,SILVES,AM,Norte,9211
1304062,TABATINGA,AM,Norte,63635
1304104,TAPAUÁ,AM,Norte,17930
1304237,TONANTINS,AM,Norte,18782
1304260,UARINI,AM,Norte,13428
1304302,URUCARÁ,AM,Norte,16968
1304401,URUCURITUBA,AM,Norte,22148
1400027,AMAJARI,RR,Norte,11560
1400175,CANTÁ,RR,Norte,16877
1400233,CAROEBE,RR,Norte,9493
1400282,IRACEMA,RR,Norte,10859
1400308,MUCAJAÍ,RR,Norte,16852
1400407,NORMANDIA,RR,Norte,10527
1400456,PACARAIMA,RR,Norte,12375
1400472,RORAINÓPOLIS,RR,Norte,28215
1400506,SÃO JOÃO DA BALIZA,RR,Norte,7740
1400605,SÃO LUIZ,RR,Norte,7597
1400704,UIRAMUTÃ,RR,Norte,9836
1500206,ACARÁ,PA,Norte,54096
1500305,AFUÁ,PA,Norte,38144
1500347,ÁGUA AZUL DO NORTE,PA,Norte,26682
1500701,ANAJÁS,PA,Norte,28466
1500859,ANAPU,PA,Norte,27096
1500958,AURORA DO PARÁ,PA,Norte,30471
1501006,AVEIRO,PA,Norte,15947
1501105,BAGRE,PA,Norte,29808
1501204,BAIÃO,PA,Norte,46110
1501253,BANNACH,PA,Norte,3200
1501451,BELTERRA,PA,Norte,17249
1501501,BENEVIDES,PA,Norte,60990
1501600,BONITO,PA,Norte,15834
1501758,BREJO GRANDE DO ARAGUAIA,PA,Norte,7182
1501782,BREU BRANCO,PA,Norte,64194
1501907,BUJARU,PA,Norte,28331
1501956,CACHOEIRA DO PIRIÁ,PA,Norte,32947
1502004,CACHOEIRA DO ARARI,PA,Norte,23110
1502509,CHAVES,PA,Norte,23066
1502608,COLARES,PA,Norte,11759
1502756,CONCÓRDIA DO PARÁ,PA,Norte,32395
1502764,CUMARU DO NORTE,PA,Norte,13093
1502806,CURRALINHO,PA,Norte,33490
1502855,CURUÁ,PA,Norte,13996
1502954,ELDORADO DO CARAJÁS,PA,Norte,32892
1503002,FARO,PA,Norte,7009
1503044,FLORESTA DO ARAGUAIA,PA,Norte,19746
1503077,GARRAFÃO DO NORTE,PA,Norte,25363
1503093,GOIANÉSIA DO PARÁ,PA,Norte,39352
1503101,GURUPÁ,PA,Norte,32458
1503200,IGARAPÉ-AÇU,PA,Norte,37753
1503309,IGARAPÉ-MIRI,PA,Norte,60994
1503408,INHANGAPI,PA,Norte,11388
1503507,IRITUIA,PA,Norte,31673
1503705,ITUPIRANGA,PA,Norte,51835
1503754,JACAREACANGA,PA,Norte,8059
1503804,JACUNDÁ,PA,Norte,57526
1503903,JURUTI,PA,Norte,56325
1504000,LIMOEIRO DO AJURU,PA,Norte,28138
1504109,MAGALHÃES BARATA,PA,Norte,8316
1504406,MARAPANIM,PA,Norte,27569
1504422,MARITUBA,PA,Norte,127858
1504455,MEDICILÂNDIA,PA,Norte,30726
1504505,MELGAÇO,PA,Norte,26897
1504703,MOJU,PA,Norte,79825
1504752,MOJUÍ DOS CAMPOS,PA,Norte,15646
1504950,NOVA ESPERANÇA DO PIRIÁ,PA,Norte,20789
1504976,NOVA IPIXUNA,PA,Norte,16221
1505007,NOVA TIMBOTEUA,PA,Norte,14942
1505031,NOVO PROGRESSO,PA,Norte,25071
1505205,OEIRAS DO PARÁ,PA,Norte,31619
1505437,OURILÂNDIA DO NORTE,PA,Norte,31921
1505486,PACAJÁ,PA,Norte,46383
1505494,PALESTINA DO PARÁ,PA,Norte,7386
1505551,PAU D'ARCO,PA,Norte,5341
1505601,PEIXE-BOI,PA,Norte,7860
1505635,PIÇARRA,PA,Norte,12632
1505650,PLACAS,PA,Norte,30109
1505908,PORTO DE MOZ,PA,Norte,39991
1506005,PRAINHA,PA,Norte,29067
1506112,QUATIPURU,PA,Norte,13237
1506195,RURÓPOLIS,PA,Norte,49093
1506203,SALINÓPOLIS,PA,Norte,39569
1506302,SALVATERRA,PA,Norte,23096
1506351,SANTA BÁRBARA DO PARÁ,PA,Norte,20492
1506401,SANTA CRUZ DO ARARI,PA,Norte,9845
1506500,SANTA IZABEL DO PARÁ,PA,Norte,68836
