id,meio,nome,cidade,regiao_metropolitana,uf,estado,regiao,pais,fonte,jornalismo,Duplicata,Fechamento
id10893,Televisão,PREFEITURA MUNICIPAL DE SAO GABRIEL DA PALHA,SÃO GABRIEL DA PALHA,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,Não,,
id12311,Rádio,RADIO CULTURAL VENDA NOVA FM LTDA,VENDA NOVA DO IMIGRANTE,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,,,
id12325,Rádio,FUNDACAO MAXIMO ZANDONADI,VENDA NOVA DO IMIGRANTE,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,,,
id419,Online,FOLHA DO ESPIRITO SANTO,CACHOEIRO DE ITAPEMIRIM,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id420,Online,AQUI NOTÍCIAS.COM,CACHOEIRO DE ITAPEMIRIM,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id421,Online,ESPIRITO SANTO DE FATO,CACHOEIRO DE ITAPEMIRIM,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id422,Online,MONTANHAS CAPIXABAS,DOMINGOS MARTINS,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id423,Online,PORTAL CORREIO CAPIXABA,SERRA,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id424,Online,BLOG DO MERCADO DO CAFE,VITÓRIA,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id425,Online,ES HOJE,VITÓRIA,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id426,Online,GAZETA ONLINE,VITÓRIA,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id427,Online,FOLHA VITORIA,VITÓRIA,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id428,Online,VITÓRIA NEWS,VITÓRIA,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id429,Online,COMUNHÃO,VITÓRIA,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id430,Online,SIM NOTICIAS,VITÓRIA,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id431,Online,FOLHA DIÁRIA,VITÓRIA,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id432,Online,SECULO DIARIO,VITÓRIA,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,Sim,
id433,Online,REDE TRIBUNA (TRIBUNA ONLINE),VITÓRIA,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id434,Online,ES BRASIL,VITÓRIA,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id435,Jornal,O RESGATE,AFONSO CLÁUDIO,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id436,Jornal,ESTADO DO ESPIRITO SANTO,ANCHIETA,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id437,Jornal,JORNAL JA - JORNAL DE ANCHIETA,ANCHIETA,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id438,Jornal,ANCHIETA EM FOCO,ANCHIETA,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id439,Jornal,FOLHA DO LITORAL,ARACRUZ,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id440,Jornal,O REGIONAL,BAIXO GUANDU,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id441,Jornal,O IMPACTO,BARRA DE SÃO FRANCISCO,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id442,Jornal,O VIGILANTE,BARRA DE SÃO FRANCISCO,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id443,Jornal,AQUI NOTICIAS,CACHOEIRO DE ITAPEMIRIM,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id444,Jornal,FOLHA DO ESPIRITO SANTO,CACHOEIRO DE ITAPEMIRIM,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id445,Jornal,ESPIRITO SANTO DE FATO,CACHOEIRO DE ITAPEMIRIM,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id446,Jornal,O BRADO,CACHOEIRO DE ITAPEMIRIM,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id447,Jornal,DIARIO DO NOROESTE,COLATINA,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,Sim,
id448,Jornal,O COLATINISTA,COLATINA,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id449,Jornal,RESUMO,COLATINA,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id450,Jornal,VALE DE ITAUNAS,CONCEIÇÃO DA BARRA,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id451,Jornal,O NOTICIÁRIO,DOMINGOS MARTINS,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id452,Jornal,JORNAL GUIA DO NORTE,ECOPORANGA,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id453,Jornal,FOLHA DO CAPARAÓ,GUAÇUÍ,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id454,Jornal,O CAPIXABA,GUARAPARI,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id455,Jornal,HORA AGHA,GUARAPARI,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id456,Jornal,FOLHA DA CIDADE,GUARAPARI,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id457,Jornal,PRIMEIRA PAGINA,GUARAPARI,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id458,Jornal,IMPRENSA LIVRE,GUARAPARI,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id459,Jornal,A NOTICIA,IÚNA,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id460,Jornal,MUNDO RURAL,LINHARES,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id461,Jornal,O PIONEIRO,LINHARES,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id463,Jornal,O LITORAL,MARATAÍZES,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id464,Jornal,O CENÁRIO,MONTANHA,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id465,Jornal,TRIBUNA CAPIXABA,MONTANHA,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id466,Jornal,TRIBUNA VENECIANA,NOVA VENÉCIA,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id467,Jornal,CORREIO 9,NOVA VENÉCIA,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id468,Jornal,NORTE SUL,NOVA VENÉCIA,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id469,Jornal,FOLHA DO ESTADO,NOVA VENÉCIA,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id470,Jornal,A NOTÍCIA,NOVA VENÉCIA,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,Sim,
id471,Jornal,TRIBUNA DO PAVÃO,NOVA VENÉCIA,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id472,Jornal,ES NORTE MAIS,NOVA VENÉCIA,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id473,Jornal,O ESTADAO,NOVA VENÉCIA,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id474,Jornal,O PEDREGULHO,PANCAS,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id475,Jornal,O CAPIXABA,PINHEIROS,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id476,Jornal,O PONTO,PINHEIROS,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id477,Jornal,A IMPRENSA,PINHEIROS,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id478,Jornal,NOTICIAS E NEGOCIOS,PIÚMA,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id479,Jornal,CORREIO REGIONAL,PIÚMA,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id480,Jornal,A NOTICIA,SANTA MARIA DE JETIBÁ,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id481,Jornal,HOJE NOTÍCIAS,SÃO GABRIEL DA PALHA,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id482,Jornal,A FOLHA DE SAO GABRIEL,SÃO GABRIEL DA PALHA,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id483,Jornal,EXTRA NOROESTE (EX - MAIS NOTICIA),SÃO GABRIEL DA PALHA,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id484,Jornal,TRIBUNA DE CRICARE,SÃO MATEUS,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,Sim,
id485,Jornal,JORNAL DO NORTE,SÃO MATEUS,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id486,Jornal,TEMPO NOVO,SERRA,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id4868,Jornal,A GAZETA ES,VITÓRIA,n/d,ES,Espírito Santo,Sudeste,Brasil,Atlas da Notícia,,,
id487,Jornal,ACONTECE,SERRA,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id488,Jornal,NORTE CAPIXABA,SOORETAMA,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id489,Jornal,JORNAL DA HORA ES,VARGEM ALTA,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id490,Jornal,FOLHA DA TERRA,VENDA NOVA DO IMIGRANTE,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id491,Jornal,TRIBUNA VIANENSE,VIANA,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id492,Jornal,NOSSO JORNAL,VITÓRIA,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id496,Jornal,METRO ESPÍRITO SANTO,VITÓRIA,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id497,Jornal,CORREIO CAPIXABA,VITÓRIA,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id498,Jornal,ES HOJE,VITÓRIA,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id499,Jornal,EMPRESARIOS,VITÓRIA,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id500,Jornal,ESTADO CAPIXABA,VITÓRIA,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id501,Jornal,JORNAL EM PAUTA,VITÓRIA,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id5121,Online,SECULO DIÁRIO,VITÓRIA,n/d,ES,Espírito Santo,Sudeste,Brasil,Atlas da Notícia,,,
id5634,Jornal,DIÁRIO DO NOROESTE,COLATINA,n/d,ES,Espírito Santo,Sudeste,Brasil,Central de Diários,,,
id5635,Jornal,CORREIO DO ESTADO,LINHARES,n/d,ES,Espírito Santo,Sudeste,Brasil,Central de Diários,,,
id5636,Jornal,A NOTÍCIA,NOVA VENÉCIA,n/d,ES,Espírito Santo,Sudeste,Brasil,Central de Diários,,,
id5637,Jornal,TRIBUNA DE CRICARÉ,SÃO MATEUS,n/d,ES,Espírito Santo,Sudeste,Brasil,Central de Diários,,,
id5638,Jornal,HOJE NOTÍCIAS,VILA VALÉRIO,n/d,ES,Espírito Santo,Sudeste,Brasil,Central de Diários,,,
id5854,Jornal,A GAZETA,VITÓRIA,n/d,ES,Espírito Santo,Sudeste,Brasil,ANJ,,,
id5855,Jornal,A TRIBUNA,VITÓRIA,n/d,ES,Espírito Santo,Sudeste,Brasil,ANJ,,,
