id,segmento_principal,nome,cidade,regiao_metropolitana,uf,estado,regiao,pais,fonte,jornalismo
7951,Televisão,PREFEITURA MUNICIPAL DE ABADIA DOS DOURADOS,ABADIA DOS DOURADOS,n/d,MG,Minas Gerais,Sudeste,Brasil,MCTIC,0
7950,Televisão,PREFEITURA MUNICIPAL DE ABAETE,ABAETÉ,n/d,MG,Minas Gerais,Sudeste,Brasil,MCTIC,0
11146,Televisão,PREFEITURA MUNICIPAL DE ABDON BATISTA,ABDON BATISTA,n/d,SC,Santa Catarina,Sul,Brasil,MCTIC,0
9090,Televisão,PREFEITURA MUNICIPAL DE ABEL FIGUEIREDO,ABEL FIGUEIREDO,n/d,PA,Pará,Norte,Brasil,MCTIC,0
11202,Televisão,PREFEITURA MUNICIPAL DE ABELARDO LUZ,ABELARDO LUZ,n/d,SC,Santa Catarina,Sul,Brasil,MCTIC,0
7949,Televisão,PREFEITURA MUNICIPAL DE ABRE CAMPO,ABRE CAMPO,n/d,MG,Minas Gerais,Sudeste,Brasil,MCTIC,0
7948,Televisão,PREFEITURA MUNICIPAL DE ACAIACA,ACAIACA,n/d,MG,Minas Gerais,Sudeste,Brasil,MCTIC,0
6434,Televisão,PREFEITURA MUNICIPAL DE ACAJUTIBA,ACAJUTIBA,n/d,BA,Bahia,Nordeste,Brasil,MCTIC,0
6808,Televisão,PREFEITURA MUNICIPAL DE ACOPIARA,ACOPIARA,n/d,CE,Ceará,Nordeste,Brasil,MCTIC,0
11828,Rádio,PREFEITURA MUNICIPAL DE ADAMANTINA,ADAMANTINA,n/d,SP,São Paulo,Sudeste,Brasil,MCTIC,0
12174,Televisão,PREFEITURA MUNICIPAL DE ADAMANTINA,ADAMANTINA,n/d,SP,São Paulo,Sudeste,Brasil,MCTIC,0
6949,Televisão,PREFEITURA MUNICIPAL DE AFONSO CLAUDIO,AFONSO CLÁUDIO,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,0
11256,Televisão,PREFEITURA MUNICIPAL DE AGROLANDIA,AGROLÂNDIA,n/d,SC,Santa Catarina,Sul,Brasil,MCTIC,0
11145,Televisão,PREFEITURA MUNICIPAL DE AGRONOMICA,AGRONÔMICA,n/d,SC,Santa Catarina,Sul,Brasil,MCTIC,0
8682,Televisão,PREFEITURA MUNICIPAL DE AGUA CLARA,ÁGUA CLARA,n/d,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,MCTIC,0
11257,Televisão,PREFEITURA MUNICIPAL DE AGUA DOCE,ÁGUA DOCE,n/d,SC,Santa Catarina,Sul,Brasil,MCTIC,0
7947,Televisão,PREFEITURA MUNICIPAL DE AGUANIL,AGUANIL,n/d,MG,Minas Gerais,Sudeste,Brasil,MCTIC,0
9315,Televisão,PREFEITURA MUNICIPAL DE AGUAS BELAS,ÁGUAS BELAS,n/d,PE,Pernambuco,Nordeste,Brasil,MCTIC,0
12031,Televisão,PREFEITURA MUNICIPAL DE AGUAS DA PRATA,ÁGUAS DA PRATA,n/d,SP,São Paulo,Sudeste,Brasil,MCTIC,0
11144,Televisão,PREFEITURA MUNICIPAL DE AGUAS DE CHAPECO,ÁGUAS DE CHAPECÓ,n/d,SC,Santa Catarina,Sul,Brasil,MCTIC,0
12390,Televisão,PREFEITURA MUNICIPAL DE AGUAS DE LINDOIA,ÁGUAS DE LINDÓIA,n/d,SP,São Paulo,Sudeste,Brasil,MCTIC,0
6110,Televisão,PREFEITURA MUNICIPAL DE AGUAS DE SANTA BARBARA,ÁGUAS DE SANTA BÁRBARA,n/d,SP,São Paulo,Sudeste,Brasil,MCTIC,0
8397,Televisão,PREFEITURA MUNICIPAL DE AGUAS FORMOSAS,ÁGUAS FORMOSAS,n/d,MG,Minas Gerais,Sudeste,Brasil,MCTIC,0
7946,Televisão,PREFEITURA MUNICIPAL DE AGUAS VERMELHAS,ÁGUAS VERMELHAS,n/d,MG,Minas Gerais,Sudeste,Brasil,MCTIC,0
10817,Televisão,PREFEITURA MUNICIPAL DE AGUDO,AGUDO,n/d,RS,Rio Grande do Sul,Sul,Brasil,MCTIC,0
8240,Televisão,PREFEITURA MUNICIPAL DE AIMORES,AIMORÉS,n/d,MG,Minas Gerais,Sudeste,Brasil,MCTIC,0
7945,Televisão,PREFEITURA MUNICIPAL DE AIURUOCA,AIURUOCA,n/d,MG,Minas Gerais,Sudeste,Brasil,MCTIC,0
10693,Televisão,PREFEITURA MUNICIPAL DE AJURICABA,AJURICABA,n/d,RS,Rio Grande do Sul,Sul,Brasil,MCTIC,0
9189,Televisão,PREFEITURA MUNICIPAL DE ALAGOA GRANDE,ALAGOA GRANDE,n/d,PB,Paraíba,Nordeste,Brasil,MCTIC,0
8398,Televisão,PREFEITURA MUNICIPAL DE ALBERTINA,ALBERTINA,n/d,MG,Minas Gerais,Sudeste,Brasil,MCTIC,0
6433,Televisão,PREFEITURA MUNICIPAL DE ALCOBACA,ALCOBAÇA,n/d,BA,Bahia,Nordeste,Brasil,MCTIC,0
10692,Televisão,PREFEITURA MUNICIPAL DE ALECRIM,ALECRIM,n/d,RS,Rio Grande do Sul,Sul,Brasil,MCTIC,0
6946,Televisão,PREFEITURA MUNICIPAL DE ALEGRE,ALEGRE,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,0
10691,Televisão,PREFEITURA MUNICIPAL DE ALEGRETE,ALEGRETE,n/d,RS,Rio Grande do Sul,Sul,Brasil,MCTIC,0
8241,Televisão,PREFEITURA MUNICIPAL DE ALEM PARAIBA,ALÉM PARAÍBA,n/d,MG,Minas Gerais,Sudeste,Brasil,MCTIC,0
8997,Televisão,PREFEITURA MUNICIPAL DE ALENQUER,ALENQUER,n/d,PA,Pará,Norte,Brasil,MCTIC,0
10319,Televisão,PREFEITURA MUNICIPAL DE ALEXANDRIA,ALEXANDRIA,n/d,RN,Rio Grande do Norte,Nordeste,Brasil,MCTIC,0
8540,Televisão,PREFEITURA MUNICIPAL DE ALFENAS,ALFENAS,n/d,MG,Minas Gerais,Sudeste,Brasil,MCTIC,0
11219,Televisão,PREFEITURA MUNICIPAL DE ALFREDO WAGNER,ALFREDO WAGNER,n/d,SC,Santa Catarina,Sul,Brasil,MCTIC,0
6118,Televisão,PREFEITURA MUNICIPAL DE ALIANCA DO TOCANTINS,ALIANÇA DO TOCANTINS,n/d,TO,Tocantins,Norte,Brasil,MCTIC,0
