cidade,uf,regiao,veiculos,codmun,pop_dou_2017,veiculos_por_100khab
ABADIA DE GOIÁS,GO,Centro-Oeste,1,5200050,8207,12
ABADIA DOS DOURADOS,MG,Sudeste,1,3100104,7059,14
ABARÉ,BA,Nordeste,1,2900207,20189,4
ABAÍRA,BA,Nordeste,1,2900108,9199,10
ABDON BATISTA,SC,Sul,1,4200051,2604,38
ABEL FIGUEIREDO,PA,Norte,1,1500131,7231,13
ACAIACA,MG,Sudeste,1,3100401,4065,24
ACAJUTIBA,BA,Nordeste,1,2900306,15727,6
ACARAÚ,CE,Nordeste,1,2300200,62199,1
ACREÚNA,GO,Centro-Oeste,1,5200134,22076,4
ADRIANÓPOLIS,PR,Sul,1,4100202,6254,15
AFOGADOS DA INGAZEIRA,PE,Nordeste,1,2600104,37017,2
AFRÂNIO,PE,Nordeste,1,2600203,19411,5
AGROLÂNDIA,SC,Sul,1,4200200,10581,9
AGRONÔMICA,SC,Sul,1,4200309,5437,18
AGUANIL,MG,Sudeste,1,3100807,4440,22
AGUDOS,SP,Sudeste,1,3500709,36880,2
AIURUOCA,MG,Sudeste,1,3101201,6209,16
AJURICABA,RS,Sul,1,4300208,7358,13
ALAGOA GRANDE,PB,Nordeste,1,2500304,28565,3
ALBERTINA,MG,Sudeste,1,3101409,3046,32
ALCINÓPOLIS,MS,Centro-Oeste,1,5000252,5188,19
ALCOBAÇA,BA,Nordeste,2,2900801,23376,8
ALDEIAS ALTAS,MA,Nordeste,1,2100303,26387,3
ALECRIM,RS,Sul,1,4300307,6736,14
ALEGRE,ES,Sudeste,2,3200201,32146,6
ALEXANDRIA,RN,Nordeste,1,2400505,13827,7
ALEXÂNIA,GO,Centro-Oeste,2,5200308,26770,7
ALFREDO CHAVES,ES,Sudeste,2,3200300,15082,13
ALFREDO WAGNER,SC,Sul,1,4200705,9960,10
ALIANÇA DO TOCANTINS,TO,Norte,1,1700350,5527,18
ALMEIRIM,PA,Norte,1,1500503,33195,3
ALMINO AFONSO,RN,Nordeste,1,2400604,4854,20
ALPESTRE,RS,Sul,2,4300505,7433,26
ALPINÓPOLIS,MG,Sudeste,2,3101904,19846,10
ALTAMIRA DO PARANÁ,PR,Sul,1,4100459,2948,33
ALTEROSA,MG,Sudeste,1,3102001,14551,6
ALTINHO,PE,Nordeste,1,2600807,22896,4
ALTO ALEGRE,RR,Norte,1,1400050,15933,6
ALTO GARÇAS,MT,Centro-Oeste,1,5100409,11532,8
ALTO PARANÁ,PR,Sul,2,4100608,14693,13
ALTO PARAÍSO DE GOIÁS,GO,Centro-Oeste,2,5200605,7514,26
ALTO PARNAÍBA,MA,Nordeste,1,2100501,11001,9
ALTO PIQUIRI,PR,Sul,2,4100707,10222,19
ALTO RIO DOCE,MG,Sudeste,2,3102100,11693,17
ALUMÍNIO,SP,Sudeste,2,3501152,18324,10
ALVARENGA,MG,Sudeste,1,3102209,4199,23
ALVINÓPOLIS,MG,Sudeste,1,3102308,15599,6
ALVORADA D'OESTE,RO,Norte,1,1100346,16747,5
ALVORADA DE MINAS,MG,Sudeste,1,3102407,3673,27
ALVORADA DO NORTE,GO,Centro-Oeste,1,5200803,8645,11
AMARAL FERRADOR,RS,Sul,1,4300638,6854,14
AMARANTE,PI,Nordeste,1,2200509,17322,5
AMARANTE DO MARANHÃO,MA,Nordeste,1,2100600,41106,2
AMARGOSA,BA,Nordeste,2,2901007,38259,5
AMONTADA,CE,Nordeste,2,2300754,42901,4
