uf,codmun,cidade,pop_tcu_2016,pop_dou_2017,tcg_2016_2017,remanej_limitesmunicip,regiao
RO,1100015,ALTA FLORESTA D'OESTE,25506,25437,-0.27%,NÃO,Norte
RO,1100023,ARIQUEMES,105896,107345,1.37%,NÃO,Norte
RO,1100031,CABIXI,6289,6224,-1.03%,NÃO,Norte
RO,1100049,CACOAL,87877,88507,0.72%,NÃO,Norte
RO,1100056,CEREJEIRAS,17959,17934,-0.14%,NÃO,Norte
RO,1100064,COLORADO DO OESTE,18639,18467,-0.92%,NÃO,Norte
RO,1100072,CORUMBIARA,8749,8659,-1.03%,NÃO,Norte
RO,1100080,COSTA MARQUES,17031,17400,2.17%,NÃO,Norte
RO,1100098,ESPIGÃO D'OESTE,32712,33030,0.97%,NÃO,Norte
RO,1100106,GUAJARÁ-MIRIM,47048,47451,0.86%,NÃO,Norte
RO,1100114,JARU,55806,55871,0.12%,NÃO,Norte
RO,1100122,JI-PARANÁ,131560,132667,0.84%,NÃO,Norte
RO,1100130,MACHADINHO D'OESTE,37899,38609,1.87%,NÃO,Norte
RO,1100148,NOVA BRASILÂNDIA D'OESTE,21670,21747,0.36%,NÃO,Norte
RO,1100155,OURO PRETO DO OESTE,39840,39759,-0.20%,NÃO,Norte
RO,1100189,PIMENTA BUENO,37786,38051,0.70%,NÃO,Norte
RO,1100205,PORTO VELHO,511219,519436,1.61%,NÃO,Norte
RO,1100254,PRESIDENTE MÉDICI,22337,22124,-0.95%,NÃO,Norte
RO,1100262,RIO CRESPO,3790,3829,1.03%,NÃO,Norte
RO,1100288,ROLIM DE MOURA,56664,57074,0.72%,NÃO,Norte
RO,1100296,SANTA LUZIA D'OESTE,8362,8198,-1.96%,NÃO,Norte
RO,1100304,VILHENA,93745,95630,2.01%,NÃO,Norte
RO,1100320,SÃO MIGUEL DO GUAPORÉ,24059,24181,0.51%,NÃO,Norte
RO,1100338,NOVA MAMORÉ,28255,28891,2.25%,NÃO,Norte
RO,1100346,ALVORADA D'OESTE,16902,16747,-0.92%,NÃO,Norte
RO,1100379,ALTO ALEGRE DOS PARECIS,13993,14045,0.37%,NÃO,Norte
RO,1100403,ALTO PARAÍSO,20569,20916,1.69%,NÃO,Norte
RO,1100452,BURITIS,38450,39044,1.54%,NÃO,Norte
RO,1100502,NOVO HORIZONTE DO OESTE,10161,10051,-1.08%,NÃO,Norte
RO,1100601,CACAULÂNDIA,6414,6460,0.72%,NÃO,Norte
RO,1100700,CAMPO NOVO DE RONDÔNIA,14354,14484,0.91%,NÃO,Norte
RO,1100809,CANDEIAS DO JAMARI,24719,25266,2.21%,NÃO,Norte
RO,1100908,CASTANHEIRAS,3583,3550,-0.92%,NÃO,Norte
RO,1100924,CHUPINGUAIA,10364,10593,2.21%,NÃO,Norte
RO,1100940,CUJUBIM,21720,22443,3.33%,NÃO,Norte
RO,1101005,GOVERNADOR JORGE TEIXEIRA,9933,9745,-1.89%,NÃO,Norte
RO,1101104,ITAPUÃ DO OESTE,10155,10310,1.53%,NÃO,Norte
RO,1101203,MINISTRO ANDREAZZA,10786,10751,-0.32%,NÃO,Norte
RO,1101302,MIRANTE DA SERRA,12308,12258,-0.41%,NÃO,Norte
RO,1101401,MONTE NEGRO,16032,16186,0.96%,NÃO,Norte
RO,1101435,NOVA UNIÃO,7796,7769,-0.35%,NÃO,Norte
RO,1101450,PARECIS,5802,5904,1.76%,NÃO,Norte
RO,1101468,PIMENTEIRAS DO OESTE,2417,2410,-0.29%,NÃO,Norte
RO,1101476,PRIMAVERA DE RONDÔNIA,3456,3411,-1.30%,NÃO,Norte
RO,1101484,SÃO FELIPE D'OESTE,6048,5994,-0.89%,NÃO,Norte
RO,1101492,SÃO FRANCISCO DO GUAPORÉ,19353,19694,1.76%,NÃO,Norte
