id,id_segmento,nome_veiculo,cod_ibge,pais,id_fonte,jornalismo,id_regiao_metropolitana
7951,5,PREFEITURA MUNICIPAL DE ABADIA DOS DOURADOS,3100104,Brasil,8,0,11
7950,5,PREFEITURA MUNICIPAL DE ABAETE,3100203,Brasil,8,0,11
11146,5,PREFEITURA MUNICIPAL DE ABDON BATISTA,4200051,Brasil,8,0,11
9090,5,PREFEITURA MUNICIPAL DE ABEL FIGUEIREDO,1500131,Brasil,8,0,11
11202,5,PREFEITURA MUNICIPAL DE ABELARDO LUZ,4200101,Brasil,8,0,11
7949,5,PREFEITURA MUNICIPAL DE ABRE CAMPO,3100302,Brasil,8,0,11
7948,5,PREFEITURA MUNICIPAL DE ACAIACA,3100401,Brasil,8,0,11
6434,5,PREFEITURA MUNICIPAL DE ACAJUTIBA,2900306,Brasil,8,0,11
6808,5,PREFEITURA MUNICIPAL DE ACOPIARA,2300309,Brasil,8,0,11
11828,4,PREFEITURA MUNICIPAL DE ADAMANTINA,3500105,Brasil,8,0,11
12174,5,PREFEITURA MUNICIPAL DE ADAMANTINA,3500105,Brasil,8,0,11
6949,5,PREFEITURA MUNICIPAL DE AFONSO CLAUDIO,3200102,Brasil,8,0,11
11256,5,PREFEITURA MUNICIPAL DE AGROLANDIA,4200200,Brasil,8,0,11
11145,5,PREFEITURA MUNICIPAL DE AGRONOMICA,4200309,Brasil,8,0,11
8682,5,PREFEITURA MUNICIPAL DE AGUA CLARA,5000203,Brasil,8,0,11
11257,5,PREFEITURA MUNICIPAL DE AGUA DOCE,4200408,Brasil,8,0,11
7947,5,PREFEITURA MUNICIPAL DE AGUANIL,3100807,Brasil,8,0,11
9315,5,PREFEITURA MUNICIPAL DE AGUAS BELAS,2600500,Brasil,8,0,11
12031,5,PREFEITURA MUNICIPAL DE AGUAS DA PRATA,3500402,Brasil,8,0,11
11144,5,PREFEITURA MUNICIPAL DE AGUAS DE CHAPECO,4200507,Brasil,8,0,11
12390,5,PREFEITURA MUNICIPAL DE AGUAS DE LINDOIA,3500501,Brasil,8,0,11
6110,5,PREFEITURA MUNICIPAL DE AGUAS DE SANTA BARBARA,3500550,Brasil,8,0,11
8397,5,PREFEITURA MUNICIPAL DE AGUAS FORMOSAS,3100906,Brasil,8,0,11
7946,5,PREFEITURA MUNICIPAL DE AGUAS VERMELHAS,3101003,Brasil,8,0,11
10817,5,PREFEITURA MUNICIPAL DE AGUDO,4300109,Brasil,8,0,11
8240,5,PREFEITURA MUNICIPAL DE AIMORES,3101102,Brasil,8,0,11
7945,5,PREFEITURA MUNICIPAL DE AIURUOCA,3101201,Brasil,8,0,11
10693,5,PREFEITURA MUNICIPAL DE AJURICABA,4300208,Brasil,8,0,11
9189,5,PREFEITURA MUNICIPAL DE ALAGOA GRANDE,2500304,Brasil,8,0,11
8398,5,PREFEITURA MUNICIPAL DE ALBERTINA,3101409,Brasil,8,0,11
6433,5,PREFEITURA MUNICIPAL DE ALCOBACA,2900801,Brasil,8,0,11
10692,5,PREFEITURA MUNICIPAL DE ALECRIM,4300307,Brasil,8,0,11
6946,5,PREFEITURA MUNICIPAL DE ALEGRE,3200201,Brasil,8,0,11
10691,5,PREFEITURA MUNICIPAL DE ALEGRETE,4300406,Brasil,8,0,11
8241,5,PREFEITURA MUNICIPAL DE ALEM PARAIBA,3101508,Brasil,8,0,11
8997,5,PREFEITURA MUNICIPAL DE ALENQUER,1500404,Brasil,8,0,11
10319,5,PREFEITURA MUNICIPAL DE ALEXANDRIA,2400505,Brasil,8,0,11
8540,5,PREFEITURA MUNICIPAL DE ALFENAS,3101607,Brasil,8,0,11
11219,5,PREFEITURA MUNICIPAL DE ALFREDO WAGNER,4200705,Brasil,8,0,11
6118,5,PREFEITURA MUNICIPAL DE ALIANCA DO TOCANTINS,1700350,Brasil,8,0,11
9091,5,PREFEITURA MUNICIPAL DE ALMEIRIM,1500503,Brasil,8,0,11
10271,5,PREFEITURA MUNICIPAL DE ALMINO AFONSO,2400604,Brasil,8,0,11
8399,5,PREFEITURA MUNICIPAL DE ALPINOPOLIS,3101904,Brasil,8,0,11
9092,5,PREFEITURA MUNICIPAL DE ALTAMIRA,1500602,Brasil,8,0,11
9731,5,PREFEITURA MUNICIPAL DE ALTAMIRA DO PARANA,4100459,Brasil,8,0,11
9314,5,PREFEITURA MUNICIPAL DE ALTINHO,2600807,Brasil,8,0,11
12334,5,PREFEITURA MUNICIPAL DE ALTINOPOLIS,3501004,Brasil,8,0,11
10428,5,PREFEITURA MUNICIPAL DE ALTO ALEGRE,1400050,Brasil,8,0,11
8804,5,PREFEITURA MUNICIPAL DE ALTO ARAGUAIA,5100300,Brasil,8,0,11
8803,5,PREFEITURA MUNICIPAL DE ALTO GARCAS,5100409,Brasil,8,0,11
9730,5,PREFEITURA MUNICIPAL DE ALTO PARANA,4100608,Brasil,8,0,11
7364,5,PREFEITURA MUNICIPAL DE ALTO PARNAIBA,2100501,Brasil,8,0,11
9885,5,PREFEITURA MUNICIPAL DE ALTO PIQUIRI,4100707,Brasil,8,0,11
7944,5,PREFEITURA MUNICIPAL DE ALTO RIO DOCE,3102100,Brasil,8,0,11
9464,5,PREFEITURA MUNICIPAL DE ALTOS,2200400,Brasil,8,0,11
7943,5,PREFEITURA MUNICIPAL DE ALVARENGA,3102209,Brasil,8,0,11
8400,5,PREFEITURA MUNICIPAL DE ALVINOPOLIS,3102308,Brasil,8,0,11
7942,5,PREFEITURA MUNICIPAL DE ALVORADA DE MINAS,3102407,Brasil,8,0,11
7107,5,PREFEITURA MUNICIPAL DE ALVORADA DO NORTE,5200803,Brasil,8,0,11
8724,5,PREFEITURA MUNICIPAL DE AMAMBAI,5000609,Brasil,8,0,11
6432,5,PREFEITURA MUNICIPAL DE AMARGOSA,2901007,Brasil,8,0,11
12335,5,PREFEITURA MUNICIPAL DE AMERICO DE CAMPOS,3501806,Brasil,8,0,11
11827,4,PREFEITURA MUNICIPAL DE AMPARO,3501905,Brasil,8,0,11
12060,5,PREFEITURA MUNICIPAL DE AMPARO,3501905,Brasil,8,0,11
7941,5,PREFEITURA MUNICIPAL DE AMPARO DO SERRA,3102506,Brasil,8,0,11
6557,5,PREFEITURA MUNICIPAL DE ANAGE,2901205,Brasil,8,0,11
7419,5,PREFEITURA MUNICIPAL DE ANAJATUBA,2100709,Brasil,8,0,11
7106,5,PREFEITURA MUNICIPAL DE ANAPOLIS,5201108,Brasil,8,0,11
8623,5,PREFEITURA MUNICIPAL DE ANASTACIO,5000708,Brasil,8,0,11
11350,5,PREFEITURA MUNICIPAL DE ANCHIETA,4200804,Brasil,8,0,11
6431,5,PREFEITURA MUNICIPAL DE ANDARAI,2901304,Brasil,8,0,11
8181,5,ANDRADAS PREFEITURA,3102605,Brasil,8,0,11
10690,5,PREFEITURA MUNICIPAL DE ANDRE DA ROCHA,4300661,Brasil,8,0,11
12336,5,PREFEITURA MUNICIPAL DE ANGATUBA,3502200,Brasil,8,0,11
11351,5,PREFEITURA MUNICIPAL DE ANGELINA,4200903,Brasil,8,0,11
10270,5,PREFEITURA MUNICIPAL DE ANGICOS,2400802,Brasil,8,0,11
10152,5,PREFEITURA MUNICIPAL DE ANGRA DOS REIS,3300100,Brasil,8,0,11
7105,5,PREFEITURA MUNICIPAL DE ANHANGUERA,5201207,Brasil,8,0,11
11220,5,PREFEITURA MUNICIPAL DE ANITA GARIBALDI,4201000,Brasil,8,0,11
11143,5,PREFEITURA MUNICIPAL DE ANITAPOLIS,4201109,Brasil,8,0,11
8541,5,PREFEITURA MUNICIPAL DE ANTONIO DIAS,3103009,Brasil,8,0,11
8725,5,PREFEITURA MUNICIPAL DE ANTONIO JOAO,5000906,Brasil,8,0,11
10782,5,PREFEITURA MUNICIPAL DE ANTONIO PRADO,4300802,Brasil,8,0,11
6172,5,PREFEITURA MUNICIPAL DE ANTONIO PRADO DE MINAS GERAIS,3103108,Brasil,8,0,11
6371,5,PREFEITURA MUNICIPAL DE APARECIDA DO TABOADO,5001003,Brasil,8,0,11
6908,5,PREFEITURA MUNICIPAL DE APIACA,3200508,Brasil,8,0,11
11352,5,PREFEITURA MUNICIPAL DE APIUNA,4201257,Brasil,8,0,11
10320,5,PREFEITURA MUNICIPAL DE APODI,2401008,Brasil,8,0,11
7104,5,PREFEITURA MUNICIPAL DE APORE,5201504,Brasil,8,0,11
7940,5,PREFEITURA MUNICIPAL DE ARACITABA,3103306,Brasil,8,0,11
8802,5,PREFEITURA MUNICIPAL DE ARAGUAINHA,5101209,Brasil,8,0,11
7103,5,PREFEITURA MUNICIPAL DE ARAGUAPAZ,5202155,Brasil,8,0,11
8622,5,PREFEITURA MUNICIPAL DE ARAL MOREIRA,5001243,Brasil,8,0,11
12337,5,PREFEITURA MUNICIPAL DE ARANDU,3503109,Brasil,8,0,11
7939,5,PREFEITURA MUNICIPAL DE ARANTINA,3103603,Brasil,8,0,11
6063,5,PREFEITURA MUNICIPAL DE ARAPIRACA,2700300,Brasil,8,0,11
12455,5,PREFEITURA MUNICIPAL DE ARAPOEMA,1702307,Brasil,8,0,11
7938,5,PREFEITURA MUNICIPAL DE ARAPONGA,3103702,Brasil,8,0,11
7937,5,PREFEITURA MUNICIPAL DE ARAPUA,3103801,Brasil,8,0,11
12025,5,PREFEITURA MUNICIPAL DE ARARAS,3503307,Brasil,8,0,11
10689,5,PREFEITURA MUNICIPAL DE ARATIBA,4300901,Brasil,8,0,11
8543,5,PREFEITURA MUNICIPAL DE ARCOS,3104205,Brasil,8,0,11
8173,5,PREFEITURA MUNICIPAL DE AREADO,3104304,Brasil,8,0,11
12338,5,PREFEITURA MUNICIPAL DE AREALVA,3503406,Brasil,8,0,11
9218,5,PREFEITURA MUNICIPAL DE AREIA,2501104,Brasil,8,0,11
9188,5,PREFEITURA MUNICIPAL DE AREIAL,2501203,Brasil,8,0,11
11826,5,PREFEITURA MUNICIPAL DE AREIAS,3503505,Brasil,8,0,11
12176,5,PREFEITURA MUNICIPAL DE AREIOPOLIS,3503604,Brasil,8,0,11
7102,5,PREFEITURA MUNICIPAL DE ARENOPOLIS,5202353,Brasil,8,0,11
10321,5,PREFEITURA MUNICIPAL DE ARES,2401206,Brasil,8,0,11
8544,5,PREFEITURA MUNICIPAL DE ARGIRITA,3104403,Brasil,8,0,11
8242,5,PREFEITURA MUNICIPAL DE ARINOS,3104502,Brasil,8,0,11
11258,5,PREFEITURA MUNICIPAL DE ARMAZEM,4201505,Brasil,8,0,11
6739,5,PREFEITURA MUNICIPAL DE ARNEIROZ,2301505,Brasil,8,0,11
12454,5,PREFEITURA MUNICIPAL DE ARRAIAS,1702406,Brasil,8,0,11
10688,5,PREFEITURA MUNICIPAL DE ARROIO DO TIGRE,4301206,Brasil,8,0,11
10851,5,PREFEITURA MUNICIPAL DE ARROIO GRANDE,4301305,Brasil,8,0,11
11259,5,PREFEITURA MUNICIPAL DE ARROIO TRINTA,4201604,Brasil,8,0,11
10991,5,PREFEITURA MUNICIPAL DE ARVOREZINHA,4301404,Brasil,8,0,11
9964,5,PREFEITURA MUNICIPAL DE ASSIS CHATEAUBRIAND,4102000,Brasil,8,0,11
8545,5,PREFEITURA MUNICIPAL DE ASTOLFO DUTRA,3104601,Brasil,8,0,11
6088,5,PREFEITURA MUNICIPAL DE ATALAIA,2700409,Brasil,8,0,11
11353,5,PREFEITURA MUNICIPAL DE ATALANTA,4201802,Brasil,8,0,11
7936,5,PREFEITURA MUNICIPAL DE ATALEIA,3104700,Brasil,8,0,11
12032,5,PREFEITURA MUNICIPAL DE ATIBAIA,3504107,Brasil,8,0,11
6988,5,PREFEITURA MUNICIPAL DE ATILIO VIVACQUA,3200706,Brasil,8,0,11
8996,5,PREFEITURA MUNICIPAL DE AUGUSTO CORREA,1500909,Brasil,8,0,11
10269,5,PREFEITURA MUNICIPAL DE AUGUSTO SEVERO,2401305,Brasil,8,0,11
6558,5,PREFEITURA MUNICIPAL DE AURELINDO LEAL,2902401,Brasil,8,0,11
7101,5,PREFEITURA MUNICIPAL DE AURILANDIA,5202601,Brasil,8,0,11
11260,5,PREFEITURA MUNICIPAL DE AURORA,4201901,Brasil,8,0,11
12419,5,PREFEITURA MUNICIPAL DE AVAI,3504305,Brasil,8,0,11
11845,4,MUNICÍPIO DE AVARE,3504503,Brasil,8,0,11
11846,5,MUNICÍPIO DE AVARE,3504503,Brasil,8,0,11
8401,5,PREFEITURA MUNICIPAL DE BAEPENDI,3104908,Brasil,8,0,11
10322,5,PREFEITURA MUNICIPAL DE BAIA FORMOSA,2401404,Brasil,8,0,11
6430,5,PREFEITURA MUNICIPAL DE BAIXA GRANDE,2902609,Brasil,8,0,11
6680,5,PREFEITURA MUNICIPAL DE BAIXIO,2301802,Brasil,8,0,11
6967,5,PREFEITURA MUNICIPAL DE BAIXO GUANDU,3200805,Brasil,8,0,11
11142,5,PREFEITURA MUNICIPAL DE BALNEARIO CAMBORIU,4202008,Brasil,8,0,11
8164,5,BAMBUI PREFEITURA MUNICIPAL,3105103,Brasil,8,0,11
12420,5,PREFEITURA MUNICIPAL DE BANANAL,3504909,Brasil,8,0,11
9219,5,PREFEITURA MUNICIPAL DE BANANEIRAS,2501500,Brasil,8,0,11
7935,5,PREFEITURA MUNICIPAL DE BANDEIRA,3105202,Brasil,8,0,11
