cidade_01,nome,id.x,meio,regiao_metropolitana.x,uf.x,estado01,regiao01,pais.x,fonte,name,about,category,description,general_info,likes,link,city,state,country,latitude,longitude,talking_about_count,username,website,,
TERESINA,180 GRAUS,id1500,Online,n/d,PI,Piauí,NE,Brasil,Secom/PR,180graus,"Maior portal do Piauí apresenta, de forma independente, as últimas notícias do Piauí e do Brasil nas áreas de política, municípios, economia, e muito mais.",Newspaper,"Fundado em 2001, o portal 180graus, surgiu como a grande novidade na imprensa local. Diferente das redes de comunicação já existentes, que agregam radio, tv, jornal e portal, o 180 tem o DNA puro na web.
 
Após construir uma ampla rede relacionamentos envolvendo todos os municípios do Piauí e, por sua independência, tornou-se um dos veículos mais influentes na sociedade piauiense, sendo uma de suas principais fontes de informação.

Com media diária de 150 mil acessos únicos por dia, é hoje a maneira mais abrangente e veloz de comunicação com o grande público do Estado, apresentando excelente relação custo-benefício para anunciantes e personalidades públicas.",NA,452234,https://www.facebook.com/portal180/,Teresina,PI,Brazil,-5.095368376,-42.79601812,32054,portal180,www.180graus.com,,
TERESINA,180GRAUS,id4866,Online,n/d,PI,Piauí,NE,Brasil,Atlas da NotÃ­cia,Últimas Notícias 180graus, Últimas Notícias do Portal 180graus,Website,NA,NA,25586,https://www.facebook.com/ultimas180graus/,NA,NA,NA,NA,NA,166,ultimas180graus,http://180graus.com/ultimas-noticias,,
TERESINA,24 HORAS PIAUI,id1506,Online,n/d,PI,Piauí,NE,Brasil,Secom/PR,UDI 24 horas,"A UDI 24 Horas é referência em Radiologia, Diagnóstico por Imagem e Medicina Nuclear no estado do Piauí. ",Hospital,"A UDI ( Unidade de Diagnósticos Por Imagem ) possibilita a precisão e a segurança que os clientes necessitam, através do uso de máquinas com alta e moderna tecnologia para atender aos seus pacientes, juntamente com o conforto e segurança disponível para a realização de exames. Uma clínica que oferece clareza e confiança, através de uma equipe de profissionais de inquestionável credibilidade.",NA,9120,https://www.facebook.com/uditeresina/,Teresina,PI,Brazil,-5.085847838,-42.80686878,103,uditeresina,www.udi24horas.com.br,,
CUIABÁ,24 HORASNEWS,id1285,Online,n/d,MT,Mato Grosso,CO,Brasil,Secom/PR,Plantão 24horas News,VOCÊ BEM INFORMADO COM NOTÍCIAS DE ITAITUBA E REGIÃO!,News & Media Website,NA,NA,50843,https://www.facebook.com/plantao24horasnews/,NA,NA,NA,NA,NA,2019,plantao24horasnews,http://www.plantao24horasnews.com.br/,,
SÃO PAULO,360MERIDIANOS,id3693,Online,RM SÃ£o Paulo,SP,São Paulo,SE,Brasil,Secom/PR,360meridianos,"Dicas de viagem, turismo e estilo de vida.  http://www.360meridianos.com",Local & Travel Website,NA,NA,57971,https://www.facebook.com/360meridianos/,NA,NA,NA,NA,NA,850,360meridianos,http://www.360meridianos.com/,,
TERESINA,45 GRAUS,id1499,Online,n/d,PI,Piauí,NE,Brasil,Secom/PR,45graus,"O 45Graus consolidou-se como um dos maiores e melhores portais do Piauí por sua forma arrojada, independente e inovadora de informar.",Website,"Notícias do Piauí, Brasil e do Mundo em destaque. Politica, Economia, Esporte, Entretenimento, Curiosidades e muito mais.",NA,14285,https://www.facebook.com/45graus/,Teresina,PI,Brazil,-5.062338419,-42.78358877,26,45graus,www.45graus.com.br,,
ARAPIRACA,7 SEGUNDOS,id13,Online,n/d,AL,Alagoas,NE,Brasil,Secom/PR,7 Segundos,Pagina oficial da banda 7Segundos no Facebook.,Musician/Band,"Atitude e coração!
Foco, diversão e dedicação são as bases do encontro entre seis amigos que querem fazer da musica um sonho!",NA,767,https://www.facebook.com/7segundosOFC/,Niterói,RJ,Brazil,NA,NA,5,7segundosOFC,NA,,
PALMAS,A BOCA DO POVO,id4832,Online,n/d,TO,Tocantins,N,Brasil,Secom/PR,7ª A  na boca do povo,NA,Artist,a melhor sala do ano de 2012! da escola gabriel jose pereira,NA,16,https://www.facebook.com/7aANaBocaDoPovo/,NA,NA,NA,NA,NA,0,7aANaBocaDoPovo,NA,,
ANGRA DOS REIS,A CIDADE,id1994,Jornal,n/d,RJ,Rio de Janeiro,SE,Brasil,Secom/PR,Jornal A Cidade,"Notícia, credibilidade e informação! 
Acesse: www.acidadevotuporanga.com.br",Advertising/Marketing,"A nossa primeira edição circulou no dia 1º de janeiro de 1985, em formato tablóide germânico, apresentando uma nova proposta para o jornalismo regional da época.
Com uma linha editorial ousada, o A Cidade levantou bandeiras em defesa dos interesses coletivos da população. Uma luta marcante foi a tomada de posição do jornal contrária ao Projeto Cura, uma proposta considerada de risco para o município. Tratava-se de um financiamento para a Prefeitura, que seria quitado mensalmente,  comprometendo o orçamento do município. A população respondeu ao questionamento do jornal e com a Câmara Municipal lotada pelos munícipes, os vereadores rejeitaram o projeto. Outras empreitadas foram assumidas em defesa da população. A Cidade ganhou credibilidade e triplicou o número de assinantes nos seus primeiros cinco anos de circulação. A empresa Disdroga, primeira mantenedora do jornal, vendeu todas as cotas ao jornalista João Carlos Ferreira, que assumiu a direção a partir de 3 de junho de 1987. O então máquina gráfico ainda trabalhado com chumbo e tipos de ferro deu lugar ao moderno sistema off set nos anos 90. A Cidade tornou-se pioneira a nível de região Noroeste Paulista ao lançar, em 1994, o seu primeiro site entrando definitivamente na internet e levando as notícias de Votuporanga para o mundo. A Cidade orgulha-se de sempre manter gráfica própria no seu endereço comercial. Hoje, possui tiragem acima de três mil exemplares e um quadro de 45 colaboradores entre jornalistas, atendimento e departamento comercial, A Cidade é o órgão de imprensa de maior penetração nos municípios de Votuporanga, Álvares Florence, Cardoso, Parisi, Américo de Campos, Valentim Gentil, Nhandeara, Cosmorama e Pontes Gestal. O jornal A Cidade faz parte do grupo Cidade de Comunicações, que conta ainda com as emissoras de rádio: Rádio Cidade AM (1190) de Votuporanga e Cidade FM (88.5) em Cardoso.",NA,33524,https://www.facebook.com/acidadevotuporanga/,Votuporanga,SP,Brazil,-20.4125863,-49.9723268,8825,acidadevotuporanga,http://www.acidadevotuporanga.com.br,,
RIO DO SUL,A CIDADE DE RIO DO SUL,id3125,Jornal,n/d,SC,Santa Catarina,S,Brasil,Secom/PR,Pertinho de Você.,Produtos Personalizados Pertinho de você.,Gift Shop,"Contato, Informações e Vendas

Para solicitar mais informações, orçamentos ou compras, entre em contato pelos seguintes meios: email: pertinhodevoceestampas@gmail.com
WhatsApp: 51996426399
facebook: Pertinhodvoce


Política de Vendas
Leia atentamente. 
1 - Não será enviada arte para aprovação sem a confirmação de pagamento.
2 - O prazo para confecção dos produtos inicia após pagamento de entrada de 50% do valor total.
- Forma de pagamento:
Somente desenvolveremos artes depois do pagamento de 50% de entrada e o restante na data de retirada dos produtos. Pagamento através de depósito bancário pelo Banco Caixa Econômica Federal(Juliana da Silva Estigarribia - Agência: 3240 - Conta Corrente: 00024480-7 - Operação: 001) pessoalmente ou cartão de crédito(consultar taxas no momento da compra a crédito). O produto só será produzido após pagamento de entrada do valor.
***É imprescindível o envio do comprovante de depósito com a identificação do depositante, para localizarmos o seu pagamento.

A partir do pagamento, daremos inicio na produção do produto.
Para agilizar o processo envie os seguintes dados:

* Nome do homenageado;
* Tipo do evento (Aniversário, Formatura, 15 anos...);
* Tema de fundo que deve constar no produto; (Flores, Listrado, Poá...);
* Cores Principais;
* Itens que tenha interesse que conste; (Corações, Estrelas, Gatinhos...);
* Frase.
(Artes prontas, confecciondas pelo cliente, não serão feitas alterações, seram utilizadas conforme recebidas. Não nos responsabilizamos por eventuais erros nos textos ou imagens confecciondas pelos clientes.)

3 – Quando receber a arte para aprovação, conferir minuciosamente tudo, principalmente o texto (ortografia, acentuação, etc). 
4 - Caso haja alterações, as mesmas deverão ser solicitadas SOMENTE por escrito por algum dos caniais de contato.
5 - Em caso 100% aprovado, responder por um dos meios de contato. Ex.: Aprovado. Autorizo a impressão ou pode produzir. Após aprovação não serão feitas alterações na arte o produto","A estamparia Pertinho de Você trás uma amostra dos produtos que disponibilizamos  para nossos clientes.

Entre em contato  conosco e faça o seu orçamento!!!


Almofadas Personalizadas 
Canecas magicas
Canecas plasticas
Canecas de cerâmica 
Canecos de chopp  500ml 
Canecos de chopp  750ml 
Canecos de chopp Acrilica 300ml 
Canecos de chopp Acrilica 500ml 
Capas de almofadas 40x40 
Camisetas brancas
Camisetas coloridas 
Chinelos Havaianas 
Ecobegs 40x35 
Jogo Americano 
Kit Higiene  
Squeeze Plasticos e  aluminio 
Tolha de rosto 
Tolha de Banho 
Entre outros produtos!

Todos os nossos produtos são personalizados, para cada cliente.
Montamos a arte e mandamos para o cliente aprovar! 
Não trabalhamos com quantidade minima, o cliente determina a quantidade que quer adquirir.
Aceitamos todos os cartões de credito.
Precisando de algum dos nossos produtos entre em contato conosco
Canecas personalizadas entregamos no outro dia até 50 und. pedindo na parte da manha para entrega a tarde/noite.
Precisando vamos com os equipamentos estampar na hora.
http://facebook.com/pertinhodvoce
",2285,https://www.facebook.com/pertinhodvoce/,Feliz,RS,Brazil,-29.45394,-51.30727,55,pertinhodvoce,https://www.elo7.com.br/almochaveiros-personalizados/dp/A230A7,,
