regiao_metropolitana,uf,veiculos_mapeados,T_ANALF15M,T_SUPER25M,ESPVIDA,MORT1,T_ENV,PIND,PMPOB,GINI,R1040,R2040,POP,PESO65,I_ESCOLARIDADE,I_FREQ_PROP,IDHM_E,IDHM_L,IDHM_R,IDHM,RDPC
n/d,PR,810,5.11,16.23,76.78,9.71,9.9,1.67,4.47,0.468,10.66,7.6,10930980.0,1108019.0,0.649,0.805,0.749,0.863,0.758,0.79,895.04
RM São Paulo,SP,627,3.53,18.46,77.79,10.16,10.45,1.75,3.82,0.482,11.6,8.1,42074767.0,4649533.0,0.72,0.859,0.81,0.88,0.768,0.819,954.58
RM Rio de Janeiro,RJ,175,3.02,16.46,75.88,11.89,12.15,1.16,4.32,0.53,14.93,9.94,16115050.0,2014541.0,0.726,0.724,0.724,0.848,0.765,0.779,932.21
RIDE DF,GO,121,6.09,13.08,74.0,15.35,8.48,1.89,4.76,0.447,9.57,6.91,6443217.0,562445.0,0.64,0.77,0.724,0.817,0.728,0.756,741.56
RM Porto Alegre,RS,94,3.53,13.54,77.5,9.88,12.03,1.45,4.79,0.464,10.43,7.51,10988987.0,1355431.0,0.606,0.746,0.696,0.875,0.763,0.778,921.89
RM Curitiba,PR,61,5.11,16.23,76.78,9.71,9.9,1.67,4.47,0.468,10.66,7.6,10930980.0,1108019.0,0.649,0.805,0.749,0.863,0.758,0.79,895.04
RM Belo Horizonte,MG,38,6.79,12.04,76.97,11.41,10.38,1.97,7.2,0.492,12.48,8.5,20680736.0,2169236.0,0.58,0.785,0.71,0.866,0.731,0.769,755.97
RM Salvador,BA,23,13.52,7.28,73.23,18.11,9.62,6.63,18.37,0.509,13.89,9.53,14984863.0,1464122.0,0.537,0.679,0.628,0.804,0.663,0.698,493.98
RM Recife,PE,14,15.36,9.96,73.48,13.26,10.44,7.3,17.69,0.521,14.69,9.84,9217551.0,977339.0,0.552,0.719,0.658,0.808,0.665,0.71,500.13
RM Fortaleza,CE,12,17.33,7.22,73.62,15.07,10.65,8.76,21.32,0.491,12.7,8.89,8688588.0,950311.0,0.546,0.779,0.692,0.81,0.644,0.715,438.94
RM Belém,PA,9,9.94,7.1,71.91,17.09,7.13,4.59,16.38,0.471,10.97,7.85,8048141.0,583779.0,0.556,0.648,0.616,0.782,0.647,0.682,448.4
