cidade,uf,total de jornais online
SÃO PAULO,SP,698
RIO DE JANEIRO,RJ,218
BRASÍLIA,DF,197
PORTO ALEGRE,RS,119
CURITIBA,PR,77
FLORIANÓPOLIS,SC,70
GOIÂNIA,GO,65
BELO HORIZONTE,MG,57
CUIABÁ,MT,42
PORTO VELHO,RO,34
CAMPO GRANDE,MS,33
CAMPINAS,SP,30
SANTOS,SP,30
MANAUS,AM,29
SALVADOR,BA,29
PALMAS,TO,27
JOÃO PESSOA,PB,25
VITÓRIA,ES,23
RIBEIRÃO PRETO,SP,22
FORTALEZA,CE,21
MOGI DAS CRUZES,SP,21
SÃO BERNARDO DO CAMPO,SP,21
SÃO LUÍS,MA,21
TERESINA,PI,21
CRICIÚMA,SC,20
RECIFE,PE,20
SANTO ANDRÉ,SP,20
BELÉM,PA,19
CHAPECÓ,SC,19
NITERÓI,RJ,19
ARACAJU,SE,18
GUARULHOS,SP,17
NATAL,RN,17
BARUERI,SP,16
RIO BRANCO,AC,16
APARECIDA DE GOIÂNIA,GO,15
BAURU,SP,15
DUQUE DE CAXIAS,RJ,15
ITAJAÍ,SC,15
JOINVILLE,SC,15
MACEIÓ,AL,15
OSASCO,SP,15
BALNEÁRIO CAMBORIÚ,SC,14
BARRETOS,SP,14
LONDRINA,PR,14
SÃO CAETANO DO SUL,SP,14
CASCAVEL,PR,13
CAXIAS DO SUL,RS,13
CONTAGEM,MG,13
MARINGÁ,PR,13
TUBARÃO,SC,13
BLUMENAU,SC,12
CACHOEIRINHA,PE,12
CANOAS,RS,12
DOURADOS,MS,12
IPATINGA,MG,12
ITABIRA,MG,12
JARAGUÁ DO SUL,SC,12
JOAÇABA,SC,12
MAFRA,SC,12
PIRACICABA,SP,12
RIO CLARO,SP,12
SÃO JOSÉ DOS CAMPOS,SP,12
UMUARAMA,PR,12
ARARAQUARA,SP,11
INDAIATUBA,SP,11
JUIZ DE FORA,MG,11
PONTA GROSSA,PR,11
SÃO MIGUEL DO OESTE,SC,11
ARARUAMA,RJ,10
CATALÃO,GO,10
FOZ DO IGUAÇU,PR,10
JUNDIAÍ,SP,10
MARÍLIA,SP,10
NOVO HAMBURGO,RS,10
RIO DO SUL,SC,10
SOROCABA,SP,10
SÃO JOSÉ DO RIO PRETO,SP,10
VIAMÃO,RS,10
ANÁPOLIS,GO,9
ARARANGUÁ,SC,9
CABO FRIO,RJ,9
FEIRA DE SANTANA,BA,9
GUAÍRA,SP,9
ITAÚNA,MG,9
LAGES,SC,9
PALHOÇA,SC,9
SETE LAGOAS,MG,9
SÃO GONÇALO,RJ,9
SÃO JOSÉ,SC,9
SÃO LEOPOLDO,RS,9
TAUBATÉ,SP,9
TEÓFILO OTONI,MG,9
UBERLÂNDIA,MG,9
ALVORADA,RS,8
ANDRADINA,SP,8
ARAGUARI,MG,8
ASSIS,SP,8
BRAÇO DO NORTE,SC,8
CANOINHAS,SC,8
CORNÉLIO PROCÓPIO,PR,8
COTIA,SP,8
CRUZ ALTA,RS,8
DIVINÓPOLIS,MG,8
GOVERNADOR VALADARES,MG,8
GUARAPUAVA,PR,8
ITAPEMA,SC,8
ITU,SP,8
NOVA VENÉCIA,ES,8
OURINHOS,SP,8
PASSO FUNDO,RS,8
PELOTAS,RS,8
POÇOS DE CALDAS,MG,8
RIO VERDE,GO,8
RONDONÓPOLIS,MT,8
SANTA MARIA,RS,8
SÃO BENTO DO SUL,SC,8
SÃO CARLOS,SP,8
TABOÃO DA SERRA,SP,8
TEIXEIRA DE FREITAS,BA,8
TIMBÓ,SC,8
UBERABA,MG,8
APUCARANA,PR,7
BENTO GONÇALVES,RS,7
BRUSQUE,SC,7
CACHOEIRO DE ITAPEMIRIM,ES,7
CAMPO LARGO,PR,7
CARAPICUÍBA,SP,7
CATAGUASES,MG,7
CONCÓRDIA,SC,7
CORUMBÁ,MS,7
FERNANDÓPOLIS,SP,7
GUARATINGUETÁ,SP,7
GUAÍBA,RS,7
INDAIAL,SC,7
ITABUNA,BA,7
ITAPERUNA,RJ,7
LAGUNA,SC,7
LARANJEIRAS DO SUL,PR,7
MACAPÁ,AP,7
MOGI GUAÇU,SP,7
MOSSORÓ,RN,7
PETRÓPOLIS,RJ,7
POÁ,SP,7
PRESIDENTE PRUDENTE,SP,7
RIO GRANDE,RS,7
SANTA BÁRBARA D`OESTE,SP,7
SÃO JOSÉ DOS PINHAIS,PR,7
VIDEIRA,SC,7
VOLTA REDONDA,RJ,7
ALTA FLORESTA,MT,6
ARIQUEMES,RO,6
BAGÉ,RS,6
BARRA MANSA,RJ,6
BIGUAÇU,SC,6
BOA VISTA,RR,6
BOTUCATU,SP,6
BRAGANÇA PAULISTA,SP,6
CALDAS NOVAS,GO,6
CAÇADOR,SC,6
CAÇAPAVA,SP,6
CONSELHEIRO LAFAIETE,MG,6
CUBATÃO,SP,6
FRANCA,SP,6
FRANCISCO BELTRÃO,PR,6
GRAVATAÍ,RS,6
GUARUJÁ,SP,6
IJUÍ,RS,6
IMBITUBA,SC,6
JAÚ,SP,6
JUAZEIRO DO NORTE,CE,6
LAJEADO,RS,6
MANHUAÇU,MG,6
MARICÁ,RJ,6
MONTENEGRO,RS,6
MONTES CLAROS,MG,6
MURIAÉ,MG,6
