id,nome,meio,cidade,uf,estado,regiao,pais,fonte
id01,PAGINA 20,Online,Rio Branco,AC,Acre,Norte,Brasil,Secom/PR
id02,EMPRESA O RIO BRANCO,Online,Rio Branco,AC,Acre,Norte,Brasil,Secom/PR
id03,JORNAL A TRIBUNA,Online,Rio Branco,AC,Acre,Norte,Brasil,Secom/PR
id04,A GAZETA.NET,Online,Rio Branco,AC,Acre,Norte,Brasil,Secom/PR
id05,AC24HORAS,Online,Rio Branco,AC,Acre,Norte,Brasil,Secom/PR
id06,CONTILNET NOTÍCIAS,Online,Rio Branco,AC,Acre,Norte,Brasil,Secom/PR
id07,ECOS DA NOTICIA,Online,Rio Branco,AC,Acre,Norte,Brasil,Secom/PR
id08,JORNAL OPINIÃO,Jornal,Rio Branco,AC,Acre,Norte,Brasil,Secom/PR
id10,PAGINA 20,Jornal,Rio Branco,AC,Acre,Norte,Brasil,Secom/PR
id100,UPB - UNIAO DOS MUNICIPIO DA BAHIA,Online,Salvador,BA,Bahia,Nordeste,Brasil,Secom/PR
id1000,O PAPEL,Jornal,Lagoa da Prata,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1001,FOLHA DE LAGOA,Jornal,Lagoa da Prata,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1002,EMPRESARIAL,Jornal,Lagoa Santa,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1003,LAVRAS NEWS,Jornal,Lavras,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1004,TRIBUNA DE LAVRAS,Jornal,Lavras,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1005,TRIBUNA DO POVO,Jornal,Leopoldina,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1006,LEOPOLDINENSE,Jornal,Leopoldina,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1007,LD & CIA,Jornal,Lima Duarte,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1008,JORNAL DE LUZ,Jornal,Luz,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1009,JORNAL VITRINE,Jornal,Luz,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id101,VARELA NOTÍCIAS,Online,Salvador,BA,Bahia,Nordeste,Brasil,Secom/PR
id1010,JORNAL VISAO,Jornal,Luz,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1011,FOLHA MACHADENSE,Jornal,Machado,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1012,TRIBUNA DO LESTE,Jornal,Manhuaçu,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1013,GAZETA DO CAPARAO,Jornal,Manhuaçu,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1014,JORNAL DAS MONTANHAS,Jornal,Manhuaçu,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1015,DIARIO DE MANHUAÇU,Jornal,Manhuaçu,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1016,A SEMANA,Jornal,Mariana,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1017,O MUNDO DOS INCONFIDENTES ( EX- O TEMPO DOS INCONFIDENTES),Jornal,Mariana,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1018,PONTO FINAL,Jornal,Mariana,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1019,JORNAL DE JUATUBA E MATEUS LEME,Jornal,Mateus Leme,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id102,BAHIA NOTICIAS,Online,Salvador,BA,Bahia,Nordeste,Brasil,Secom/PR
id1020,O VALE DA PEDRA,Jornal,Matozinhos,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1021,CORREIO DE MONTE CARMELO,Jornal,Monte Carmelo,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1022,O NORTE DE MINAS,Jornal,Montes Claros,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1023,JORNAL DE NOTICIAS,Jornal,Montes Claros,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1024,GAZETA NORTE MINEIRA,Jornal,Montes Claros,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1025,FOLHA DO SUDESTE,Jornal,Muriaé,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1026,IMPRENSA REGIONAL,Jornal,Muriaé,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1027,GAZETA DE MURIAE,Jornal,Muriaé,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1028,JORNAL DE MURIAE,Jornal,Muriaé,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1029,A NOTICIA REGIONAL,Jornal,Muriaé,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id103,PLANETA AGORA,Online,São Gonçalo dos Campos,BA,Bahia,Nordeste,Brasil,Secom/PR
id1030,CORREIO MURIAENSE,Jornal,Muriaé,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1031,A FOLHA REGIONAL,Jornal,Muzambinho,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1032,FOLHA DE NANUQUE,Jornal,Nanuque,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1033,NOVO TEMPO,Jornal,Nova Era,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1034,A VOZ DO POVO,Jornal,Nova Era,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1035,TRIBUNA LAGOANA,Jornal,Nova Era,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1036,BOLA NO BARBANTE,Jornal,Nova Lima,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1037,O CORREIO DE LIMA,Jornal,Nova Lima,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1038,O POPULAR,Jornal,Nova Serrana,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1039,DIARIO DE NOVA SERRANA,Jornal,Nova Serrana,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id104,SÃO GONÇALO AGORA,Online,São Gonçalo dos Campos,BA,Bahia,Nordeste,Brasil,Secom/PR
id1040,GAZETA DE MINAS,Jornal,Oliveira,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1041,O ALTO PARAOPEBA,Jornal,Ouro Branco,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1042,JORNAL PONTO DE VISTA,Jornal,Ouro Branco,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1043,JORNAL DA CIDADE,Jornal,Ouro Fino,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1044,GAZETA DE OURO FINO,Jornal,Ouro Fino,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1045,O LIBERAL,Jornal,Ouro Preto,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1046,O INCONFIDENTE,Jornal,Ouro Preto,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1047,TRIBUNA LIVRE,Jornal,Ouro Preto,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1048,JORNAL DO POVO,Jornal,Ouro Preto,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1049,GAZETA PARAMINENSE,Jornal,Pará de Minas,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id105,PAUTA DIÁRIA,Online,Teixeira de Freitas,BA,Bahia,Nordeste,Brasil,Secom/PR
id1050,DIARIO,Jornal,Pará de Minas,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1051,CORREIO MINEIRO,Jornal,Paracatu,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1052,O LABARO,Jornal,Paracatu,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1053,O MOVIMENTO,Jornal,Paracatu,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1054,A VOZ DA CIDADE,Jornal,Paraguaçu,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1055,FOLHA DA MANHA,Jornal,Passos,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1056,FOLHA PATENSE,Jornal,Patos de Minas,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
