ANO,UF,Município,T_ANALF15M,T_SUPER25M,ESPVIDA,MORT1,T_ENV,PIND,PMPOB,GINI,R1040,R2040,RDPC,POP,PESO65,I_ESCOLARIDADE,IDHM_E,IDHM_L,IDHM_R,IDHM
2010,11,ALTA FLORESTA D'OESTE,11.99,5.51,70.75,23.8,5.84,14.29,26.04,0.58,21.68,14.45,476.99,24097,1425,0.368,0.526,0.763,0.657,0.641
2010,11,ARIQUEMES,7.9,8.13,73.36,19.2,4.36,4.36,11.54,0.53,15.54,10.22,689.95,89766,3943,0.514,0.6,0.806,0.716,0.702
2010,11,CABIXI,13.63,4.93,70.39,24.8,6.87,7.27,21.2,0.51,13.32,9.67,457.17,6303,434,0.357,0.559,0.757,0.65,0.65
2010,11,CACOAL,8.29,8.71,74.27,14.3,5.57,5.97,13.08,0.57,18.77,12.04,738.06,78141,4378,0.488,0.62,0.821,0.727,0.718
2010,11,CEREJEIRAS,10.29,7.09,72.94,18.1,6.44,4.72,13.7,0.5,13.27,9.2,577.18,16942,1097,0.43,0.602,0.799,0.688,0.692
2010,11,COLORADO DO OESTE,12.43,7.88,73.81,16.1,7.51,6.64,15.76,0.49,12.92,9.16,535.41,18540,1397,0.426,0.584,0.814,0.676,0.685
2010,11,CORUMBIARA,12.47,4.52,71.45,21.9,5.67,10.16,24.02,0.48,12.33,8.97,402.15,8647,498,0.316,0.473,0.774,0.63,0.613
2010,11,COSTA MARQUES,8.6,4.98,70.04,25.8,3.82,9.66,30.48,0.52,14.38,10.26,370.77,13539,522,0.379,0.493,0.751,0.616,0.611
2010,11,ESPIGÃO D'OESTE,11.33,5.72,74.15,15.4,5.21,6.6,13.86,0.52,14.67,9.98,590.8,28510,1496,0.402,0.536,0.819,0.691,0.672
2010,11,GUAJARÁ-MIRIM,8.06,7.06,74.39,14.8,4.82,10.38,23.47,0.54,16.96,12.16,494.69,39928,2006,0.486,0.519,0.823,0.663,0.657
2010,11,JARU,10.66,6.94,74.51,14.6,5.62,4.32,13.78,0.49,12.32,8.71,575.14,51715,2923,0.43,0.577,0.825,0.687,0.689
2010,11,JI-PARANÁ,7.79,8.73,73.6,16.2,5.05,2.67,8.56,0.53,15.26,10.15,743.35,115896,5887,0.532,0.617,0.81,0.728,0.714
2010,11,MACHADINHO D'OESTE,11.79,3.72,70.32,25.0,4.05,17.59,28.55,0.55,19.1,13.43,401.42,31020,1262,0.32,0.446,0.755,0.629,0.596
2010,11,NOVA BRASILÂNDIA D'OESTE,11.25,4.76,70.75,23.8,5.49,10.3,23.16,0.56,19.04,12.83,499.59,19526,1092,0.364,0.524,0.763,0.664,0.643
2010,11,OURO PRETO DO OESTE,10.36,6.2,73.72,16.3,6.04,3.71,11.73,0.48,11.4,8.03,576.51,37661,2289,0.433,0.569,0.812,0.687,0.682
2010,11,PIMENTA BUENO,8.35,8.07,73.15,17.6,5.07,2.29,9.33,0.54,15.6,10.04,734.76,33611,1715,0.496,0.613,0.803,0.726,0.71
2010,11,PORTO VELHO,5.1,12.21,74.14,15.52,3.52,2.64,7.95,0.56,17.42,11.65,929.19,422555,15099,0.619,0.638,0.819,0.764,0.736
2010,11,PRESIDENTE MÉDICI,12.17,5.06,72.51,19.2,7.07,9.3,19.39,0.53,14.88,10.43,520.2,22262,1579,0.38,0.55,0.792,0.671,0.664
2010,11,RIO CRESPO,13.29,3.58,73.77,16.2,6.36,16.85,28.5,0.58,21.54,15.24,420.61,3286,211,0.367,0.513,0.813,0.637,0.643
2010,11,ROLIM DE MOURA,9.04,8.47,73.46,16.9,5.56,3.96,10.77,0.53,15.02,10.14,657.65,50379,2818,0.474,0.598,0.808,0.709,0.7
2010,11,SANTA LUZIA D'OESTE,13.03,5.42,73.73,16.3,6.89,8.2,16.49,0.49,12.35,8.76,476.08,8865,612,0.401,0.564,0.812,0.657,0.67
2010,11,VILHENA,6.08,10.6,73.49,16.98,4.46,2.1,6.37,0.5,13.02,8.92,768.98,75614,3398,0.554,0.659,0.808,0.734,0.731
2010,11,SÃO MIGUEL DO GUAPORÉ,10.81,3.86,71.87,20.8,4.64,21.83,33.34,0.62,31.81,20.97,440.6,21700,1013,0.346,0.537,0.781,0.644,0.646
2010,11,NOVA MAMORÉ,13.07,3.49,71.15,22.7,3.78,11.73,28.2,0.52,15.16,10.51,377.34,22263,852,0.294,0.424,0.769,0.619,0.587
2010,11,ALVORADA D'OESTE,12.96,5.43,70.75,23.8,6.12,11.71,23.63,0.53,16.36,11.4,469.26,16694,1032,0.373,0.534,0.763,0.654,0.643
2010,11,ALTO ALEGRE DOS PARECIS,13.53,3.14,71.64,21.4,4.86,21.1,33.84,0.54,19.04,13.88,341.22,12760,623,0.274,0.443,0.777,0.603,0.592
2010,11,ALTO PARAÍSO,11.81,3.02,73.22,17.4,4.92,8.34,18.03,0.54,15.6,10.6,498.49,17112,843,0.309,0.457,0.804,0.664,0.625
2010,11,BURITIS,9.85,4.03,70.08,25.7,3.8,9.18,20.83,0.5,13.29,9.38,458.05,32264,1230,0.349,0.479,0.751,0.65,0.616
2010,11,NOVO HORIZONTE DO OESTE,14.35,4.25,72.92,18.2,6.51,16.6,32.25,0.51,14.76,11.49,346.38,10198,667,0.35,0.527,0.799,0.606,0.634
2010,11,CACAULÂNDIA,13.22,3.59,73.08,17.8,5.93,8.8,22.02,0.56,17.66,11.74,499.93,5724,340,0.312,0.506,0.801,0.664,0.646
