ANO,UF,UFN,ESPVIDA,FECTOT,MORT1,MORT5,RAZDEP,SOBRE40,SOBRE60,T_ENV,E_ANOSESTUDO,T_ANALF11A14,T_ANALF15A17,T_ANALF15M,T_ANALF18A24,T_ANALF18M,T_ANALF25A29,T_ANALF25M,T_ATRASO_0_BASICO,T_ATRASO_0_FUND,T_ATRASO_0_MED,T_ATRASO_1_BASICO,T_ATRASO_1_FUND,T_ATRASO_1_MED,T_ATRASO_2_BASICO,T_ATRASO_2_FUND,T_ATRASO_2_MED,T_FBBAS,T_FBFUND,T_FBMED,T_FBPRE,T_FBSUPER,T_FLBAS,T_FLFUND,T_FLMED,T_FLPRE,T_FLSUPER,T_FREQ0A3,T_FREQ11A14,T_FREQ15A17,T_FREQ18A24,T_FREQ25A29,T_FREQ4A5,T_FREQ4A6,T_FREQ5A6,T_FREQ6,T_FREQ6A14,T_FREQ6A17,T_FREQFUND1517,T_FREQFUND1824,T_FREQFUND45,T_FREQMED1824,T_FREQMED614,T_FREQSUPER1517,T_FUND11A13,T_FUND12A14,T_FUND15A17,T_FUND16A18,T_FUND18A24,T_FUND18M,T_FUND25M,T_MED18A20,T_MED18A24,T_MED18M,T_MED19A21,T_MED25M,T_SUPER25M,CORTE1,CORTE2,CORTE3,CORTE4,CORTE9,GINI,PIND,PINDCRI,PMPOB,PMPOBCRI,PPOB,PPOBCRI,PREN10RICOS,PREN20,PREN20RICOS,PREN40,PREN60,PREN80,PRENTRAB,R1040,R2040,RDPC,RDPC1,RDPC10,RDPC2,RDPC3,RDPC4,RDPC5,RDPCT,RIND,RMPOB,RPOB,THEIL,CPR,EMP,P_AGRO,P_COM,P_CONSTR,P_EXTR,P_FORMAL,P_FUND,P_MED,P_SERV,P_SIUP,P_SUPER,P_TRANSF,REN0,REN1,REN2,REN3,REN5,RENOCUP,T_ATIV,T_ATIV1014,T_ATIV1517,T_ATIV1824,T_ATIV18M,T_ATIV2529,T_DES,T_DES1014,T_DES1517,T_DES1824,T_DES18M,T_DES2529,THEILtrab,TRABCC,TRABPUB,TRABSC,T_AGUA,T_BANAGUA,T_DENS,T_LIXO,T_LUZ,AGUA_ESGOTO,PAREDE,T_CRIFUNDIN_TODOS,T_FORA4A5,T_FORA6A14,T_FUNDIN_TODOS,T_FUNDIN_TODOS_MMEIO,T_FUNDIN18MINF,T_M10A14CF,T_M15A17CF,T_MULCHEFEFIF014,T_NESTUDA_NTRAB_MMEIO,T_OCUPDESLOC_1,T_RMAXIDOSO,T_SLUZ,HOMEM0A4,HOMEM10A14,HOMEM15A19,HOMEM20A24,HOMEM25A29,HOMEM30A34,HOMEM35A39,HOMEM40A44,HOMEM45A49,HOMEM50A54,HOMEM55A59,HOMEM5A9,HOMEM60A64,HOMEM65A69,HOMEM70A74,HOMEM75A79,HOMEMTOT,HOMENS80,MULH0A4,MULH10A14,MULH15A19,MULH20A24,MULH25A29,MULH30A34,MULH35A39,MULH40A44,MULH45A49,MULH50A54,MULH55A59,MULH5A9,MULH60A64,MULH65A69,MULH70A74,MULH75A79,MULHER80,MULHERTOT,PEA,PEA1014,PEA1517,PEA18M,peso1,PESO1114,PESO1113,PESO1214,peso13,PESO15,peso1517,PESO1524,PESO1618,PESO18,Peso1820,PESO1824,Peso1921,PESO25,peso4,peso5,peso6,PESO610,Peso617,PESO65,PESOM1014,PESOM1517,PESOM15M,PESOM25M,pesoRUR,pesotot,pesourb,PIA,PIA1014,PIA1517,PIA18M,POP,POPT,I_ESCOLARIDADE,I_FREQ_PROP,IDHM,IDHM_E,IDHM_L,IDHM_R
1991,11,Rondônia,63.11,3.55,42.41,54.06,74.36,84.85,68.68,2.23,7.55,8.71,7.14,20.29,9.08,22.03,12.92,26.78,32.65,36.53,49.53,22.81,24.88,35.35,44.54,38.59,15.12,70.04,84.91,18.68,13.02,2.05,63.59,70.04,7.59,13.02,0.8,,72.75,43.51,13.89,4.04,,,24.28,33.28,70.43,64.39,33.37,6.56,,4.47,0.1,0.04,26.31,33.36,10.81,14.31,23.91,20.9,19.79,5.66,8.89,10.84,7.55,11.55,2.56,56.41,110.14,188.04,372.95,626.8,0.62,25.17,31.18,48.19,56.44,70.14,76.92,50.31,1.91,65.93,7.27,16.85,34.07,92.38,27.67,18.13,304.9,29.05,1533.92,81.82,146.06,262.47,1005.11,315.52,35.78,66.97,104.92,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.51,37.0,55.52,60.65,60.2,3.81,,,,29.57,32.77,25.73,,0.38,10.31,13.83,,,2.37,39.8,79011,75034,63671,56590,52448,43665,34675,27257,20584,16857,12917,79026,10169,7158,4039,2054,586495,1340,75921,72908,63709,54787,48988,40277,31997,23091,17063,13250,10200,75921,7423,4940,2690,1719,1313,546197,,,,,31095,116320,88807,85251,92356,674871,78735,238757,76333,596136,71369,160022,68903,436114,31481,31418,30537,155151,350206,25253,72908,38709,321447,202951,473365,1132692,659327,,,,,1120423,1082709,0.209,0.168,0.407,0.181,0.635,0.585
1991,12,Acre,63.72,4.86,41.85,50.63,90.47,85.84,69.37,3.11,6.56,32.64,26.09,34.79,27.38,36.06,28.41,39.33,30.2,34.85,46.07,19.52,21.58,32.55,50.28,43.57,21.39,64.18,75.55,22.21,13.81,4.01,56.45,58.87,7.78,13.81,1.88,,65.9,49.96,19.85,8.05,,,25.67,31.29,59.24,57.26,39.1,7.89,,6.26,0.18,0.11,20.7,28.42,10.03,14.21,25.74,22.77,21.66,5.17,9.92,12.19,8.4,13.04,2.78,53.03,98.72,169.24,331.42,587.63,0.63,28.43,36.8,52.54,62.35,73.58,80.75,51.61,2.17,66.94,7.36,16.55,33.06,88.83,28.06,18.2,284.96,30.94,1470.63,73.87,131.0,235.25,953.71,291.46,39.68,67.98,102.63,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.69,23.01,69.55,56.26,62.87,14.91,,,,40.76,26.48,21.37,,0.41,11.79,20.44,,,3.86,37.13,32160,31287,24086,19569,15884,13407,11355,9330,7130,5574,4189,33237,3764,3073,2035,1285,218240,876,31478,30639,24533,19593,16240,13383,11233,8600,6381,4925,3710,32317,3161,2393,1615,1159,960,212318,,,,,12568,46528,35909,33756,36703,239441,29725,85436,28572,203726,25700,55711,24577,151660,12379,12593,12455,63496,139749,13395,30639,14433,117885,73759,159198,417718,258520,,,,,412309,403101,0.228,0.154,0.402,0.176,0.645,0.574
1991,13,Amazonas,63.67,4.5,50.36,61.49,86.67,84.36,69.86,2.73,6.52,24.61,17.07,23.82,16.26,24.82,17.89,28.08,27.08,31.93,46.09,20.24,23.04,34.02,52.68,45.03,19.89,71.35,83.69,26.16,16.31,2.68,59.64,60.69,8.01,16.31,1.36,,70.28,56.94,24.33,6.78,,,27.08,32.72,61.04,60.16,47.17,14.19,,7.6,0.18,0.04,22.7,31.92,11.45,16.52,30.99,28.16,27.09,8.22,12.91,15.6,11.08,16.61,2.81,62.68,119.09,215.2,428.73,720.82,0.62,22.97,29.01,45.0,54.01,65.45,74.17,49.99,1.92,65.92,7.07,16.47,34.08,89.8,28.28,18.65,345.82,33.16,1728.62,89.09,162.55,304.53,1139.76,357.88,37.31,68.65,106.47,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.16,43.71,76.66,60.06,73.06,20.85,,,,38.96,21.26,15.92,,0.43,8.74,19.58,,,2.86,26.94,150832,150092,119622,96733,81640,70422,55653,45501,32770,26582,18968,160996,15977,12137,7644,4843,1054000,3588,148154,147255,121491,96364,82735,70055,55014,41843,30578,24144,18418,156106,15311,11763,7371,5126,4674,1036404,,,,,55413,234719,180706,170621,181722,1176967,152633,436555,146376,1030324,132333,283922,126217,742757,63839,64446,65200,320147,707499,57145,147255,71785,584888,367033,600489,2103243,1502754,,,,,2058501,1988579,0.282,0.174,0.43,0.204,0.645,0.605
1991,14,Roraima,62.66,4.04,49.25,63.11,69.89,82.84,68.87,2.09,7.14,12.27,9.29,20.62,10.7,21.9,13.1,25.98,33.61,38.59,47.62,22.56,24.53,31.69,43.83,36.88,20.69,75.67,89.37,26.29,19.79,2.24,66.69,70.12,10.88,19.79,1.34,,77.67,57.75,18.28,6.09,,,32.93,40.17,70.6,67.81,42.97,7.08,,5.46,0.14,0.1,32.67,42.82,17.3,24.12,32.2,27.03,25.24,7.48,11.11,13.23,8.91,13.96,2.68,67.16,155.13,284.75,572.18,940.2,0.63,20.47,24.91,36.75,44.04,55.99,64.18,47.98,1.02,65.17,6.01,15.96,34.83,91.42,31.91,21.67,437.24,22.2,2097.82,109.28,217.37,412.68,1424.69,485.25,23.08,58.43,104.89,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.43,43.39,65.95,69.97,77.71,2.17,,,,29.4,20.98,14.13,,0.34,11.09,17.83,,,2.55,22.29,15147,12794,11142,13551,14544,11203,7721,6037,3937,3003,1960,15165,1513,1115,658,408,120197,299,14574,12695,10815,9746,9104,7258,5558,3822,2570,1998,1418,14588,1170,922,503,323,322,97386,,,,,5821,19871,15322,14400,17763,132620,13431,45254,13147,119189,12916,31823,13409,87366,6137,6067,6078,29304,62606,4550,12695,6259,55529,34968,76765,217583,140818,,,,,191382,172314,0.27,0.226,0.459,0.24,0.628,0.643
1991,15,Pará,63.42,4.24,52.55,64.44,84.28,84.83,68.86,3.21,6.48,25.04,15.85,24.39,15.95,25.6,18.1,29.14,24.11,27.84,43.07,18.72,21.0,34.44,57.17,51.16,22.49,74.79,88.1,27.51,20.8,3.74,65.2,68.05,8.45,20.8,2.15,,76.29,57.53,21.98,5.64,,,34.01,40.37,68.41,66.02,46.02,9.73,,8.2,0.17,0.09,18.69,26.92,10.63,15.9,28.78,23.67,21.8,6.71,10.71,12.27,9.44,12.84,2.67,56.41,96.37,161.18,308.39,546.33,0.62,26.43,33.99,53.85,63.74,75.18,82.54,51.52,2.63,66.24,8.23,17.54,33.76,88.74,25.03,16.09,273.22,35.91,1407.48,76.55,127.09,221.58,904.95,276.9,42.45,71.88,104.7,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.53,31.97,71.37,47.14,63.99,16.07,,,,31.59,24.7,19.94,,0.38,8.82,15.14,,,3.37,36.01,361358,337416,280345,230595,190137,164506,135473,110873,86083,69345,51493,366078,42437,31188,20226,14099,2502422,10770,351432,333845,281994,228428,189302,159626,131668,101412,79640,62778,49527,354800,40453,30381,20977,16051,15324,2447638,,,,,139816,527604,404318,384670,428891,2845131,351442,1021362,340680,2493689,307935,669920,295654,1823769,144083,145113,143523,719422,1598468,159016,333845,168644,1407561,897139,2353672,4950060,2596388,,,,,4863829,4798981,0.237,0.175,0.413,0.194,0.64,0.567
1991,16,Amapá,65.05,4.72,43.72,54.31,92.24,86.6,72.03,2.59,7.81,13.67,9.53,19.25,10.55,20.74,12.78,24.8,34.75,40.2,44.58,22.16,24.43,33.52,43.09,35.37,21.9,78.56,90.48,34.48,17.45,1.65,70.2,72.87,12.54,17.45,0.92,,80.29,61.99,20.71,4.25,,,28.78,38.57,73.25,70.86,47.11,7.69,,9.96,0.18,0.25,35.67,47.32,16.74,23.02,37.94,31.92,29.52,9.15,13.99,16.87,11.45,18.02,3.86,86.5,152.78,250.72,485.77,846.18,0.58,15.11,19.3,36.43,44.1,60.38,68.39,45.45,2.68,62.3,8.9,19.3,37.7,90.22,20.42,14.0,378.57,50.78,1720.52,117.74,196.74,348.28,1179.29,383.54,42.14,78.32,122.58,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.97,46.59,74.49,69.11,84.64,12.96,,,,26.75,15.35,10.21,,0.42,12.98,21.98,,,2.46,15.36,23160,20315,16437,13130,11025,9185,7493,5537,4493,3423,2537,22896,1932,1387,896,655,145187,686,22382,20326,17028,13481,11241,9255,7332,5248,4199,3221,2430,22274,1909,1335,924,704,921,144210,,,,,9204,31844,24400,23263,27497,158044,21066,60076,20295,136978,18132,39010,17178,97968,8841,9161,9161,44806,97716,7508,20326,9916,79228,48719,55266,289397,234131,,,,,284283,280598,0.319,0.226,0.472,0.254,0.668,0.62
1991,17,Tocantins,60.32,3.96,63.65,83.26,83.41,80.99,64.42,3.78,6.36,24.34,15.17,31.42,17.22,33.72,20.51,39.3,21.64,25.63,45.82,17.56,20.23,34.23,60.79,54.14,19.95,76.34,92.17,20.95,11.22,1.76,65.47,67.25,6.56,11.22,0.85,,77.03,59.73,22.68,4.9,,,28.32,37.14,67.5,65.77,52.28,14.45,,6.56,0.12,0.1,17.67,26.55,8.6,12.77,23.05,16.7,14.57,5.11,8.81,8.59,7.76,8.51,1.44,47.01,85.11,141.03,272.66,470.1,0.63,31.86,41.01,59.08,68.93,78.56,84.73,52.69,2.49,67.08,7.92,17.0,32.92,91.0,26.62,16.94,243.58,30.38,1283.48,66.06,110.66,193.84,816.95,247.1,40.91,67.91,97.22,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.97,24.0,62.36,35.78,52.4,9.7,,,,32.5,34.46,29.36,,0.38,8.55,15.92,,,4.06,47.6,63498,63935,53331,40978,34871,28889,24763,21369,17638,14913,11971,67132,9214,7344,5071,3301,470868,2650,61444,62962,50784,40148,34175,28292,24219,19368,15612,12875,10254,64571,7867,6123,4342,3080,2879,448995,,,,,24801,100731,76414,73860,74635,536321,66621,185241,62629,469700,54517,118620,51953,351080,25506,26511,26190,131358,298710,34790,62962,30714,260018,169086,389227,919863,530636,,,,,904011,891048,0.167,0.149,0.369,0.155,0.589,0.549
1991,21,Maranhão,58.04,4.74,81.97,106.43,93.4,80.5,59.97,4.2,6.29,37.61,26.5,41.44,27.85,43.54,31.86,48.85,24.6,28.52,46.52,18.27,20.45,33.71,57.13,51.04,19.77,67.1,79.12,21.56,22.48,1.65,59.02,60.65,7.75,22.48,0.94,,68.73,53.61,18.85,4.02,,,33.37,38.16,60.9,59.38,44.72,10.37,,6.58,0.11,0.03,16.95,24.65,9.92,14.71,25.83,18.24,15.67,6.97,11.07,10.4,9.67,10.18,1.32,36.04,60.46,94.02,173.94,289.58,0.6,45.57,55.02,73.27,80.82,88.08,91.9,50.56,2.81,64.67,8.95,18.86,35.33,87.47,22.59,14.44,156.47,21.95,791.14,48.11,77.46,128.89,505.94,159.3,38.67,61.21,81.86,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.12,19.21,70.13,26.3,59.0,32.78,,,,39.1,29.2,27.07,,0.33,9.21,17.98,,,5.74,41.0,368118,342438,267634,203449,163708,137573,119387,103791,83610,71249,56330,382437,45627,40515,28231,18217,2446865,14551,361736,344666,268948,211496,176811,147844,127768,104884,84164,70806,58422,374431,45763,39466,28582,19756,17845,2483388,,,,,143043,540894,414993,392245,434657,2756427,339786,951527,325305,2416641,287490,611741,270532,1804900,152154,151266,151883,751812,1632492,207163,344666,164527,1402555,922111,2957832,4930253,1972421,,,,,4891092,4803826,0.182,0.168,0.357,0.173,0.551,0.478
1991,22,Piauí,60.71,3.83,64.73,84.8,83.69,82.81,65.57,4.55,5.89,40.08,28.08,41.67,27.04,43.63,30.75,49.14,21.15,24.87,40.92,17.79,20.37,34.23,61.06,54.76,24.85,71.92,87.06,20.99,25.02,3.19,62.38,65.87,5.7,25.02,1.71,,71.49,52.17,22.36,5.39,,,36.51,41.65,66.11,62.91,44.79,12.04,,7.38,0.04,0.03,13.33,19.73,7.11,10.68,23.21,18.3,16.67,4.97,9.07,10.46,7.56,10.93,1.87,31.34,56.41,94.02,178.64,319.67,0.64,47.84,58.21,73.22,80.89,87.05,90.84,54.24,2.28,68.23,7.52,16.37,31.77,82.34,28.85,18.14,167.03,19.08,906.03,43.74,73.86,128.68,569.8,169.2,36.53,57.89,78.13,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.2,28.94,62.72,43.3,53.76,35.51,,,,33.89,32.86,30.89,,0.16,4.91,16.32,,,6.0,46.24,172532,175344,147650,105730,89054,73101,62591,54867,45230,37763,30434,184608,25943,21838,14809,10795,1261278,8989,168695,177578,153084,117393,100041,82166,70083,59695,48251,40532,34152,180316,27930,22322,15745,12134,10742,1320859,,,,,63771,282479,214224,209324,205490,1523064,192083,523857,183752,1330981,156368,331774,145486,999207,71966,73973,75261,361394,835956,117374,177578,91512,794270,523793,1214953,2582137,1367184,,,,,2551985,2519187,0.183,0.155,0.362,0.164,0.595,0.488
1991,23,Ceará,61.76,3.72,63.13,82.7,78.61,83.62,67.63,5.36,6.27,33.09,26.03,37.38,25.3,38.79,27.57,42.97,24.76,28.3,48.83,18.9,21.13,31.66,56.34,50.57,19.51,72.68,87.65,22.6,33.93,4.09,64.39,68.29,8.59,33.93,2.49,,73.06,52.22,19.16,4.28,,,43.9,49.5,68.6,64.83,42.31,9.46,,6.33,0.13,0.11,18.8,25.57,10.51,15.18,26.63,21.04,19.31,7.33,11.45,12.3,10.38,12.56,3.06,39.7,70.52,115.64,225.65,413.69,0.66,39.76,50.76,66.36,75.61,82.66,87.98,56.39,2.27,70.02,7.19,15.44,29.98,82.41,31.37,19.47,219.83,24.95,1239.52,54.09,90.65,159.89,769.58,220.93,39.33,63.31,87.43,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.23,36.42,54.64,62.56,65.51,35.89,,,,31.4,30.25,27.68,,0.21,5.51,14.13,,,6.22,34.49,421840,396397,338232,269281,239874,185473,156422,141986,113024,99521,76738,421174,69147,62129,40834,30398,3090243,27773,410628,396412,350924,295715,266110,209038,180426,160375,127147,113268,91493,414644,80370,68051,44415,34202,33186,3276404,,,,,154593,626011,475565,461494,506425,3905552,432886,1254152,419802,3472666,370280,821266,355894,2651400,171450,174666,169737,827950,1886847,340988,396412,206290,2054720,1408081,2204640,6366647,4162007,,,,,6286483,6255093,0.21,0.201,0.405,0.204,0.613,0.532
