ANO,UF,UFN,ESPVIDA,FECTOT,MORT1,MORT5,RAZDEP,SOBRE40,SOBRE60,T_ENV,E_ANOSESTUDO,T_ANALF11A14,T_ANALF15A17,T_ANALF15M,T_ANALF18A24,T_ANALF18M,T_ANALF25A29,T_ANALF25M,T_ATRASO_0_BASICO,T_ATRASO_0_FUND,T_ATRASO_0_MED,T_ATRASO_1_BASICO,T_ATRASO_1_FUND,T_ATRASO_1_MED,T_ATRASO_2_BASICO,T_ATRASO_2_FUND,T_ATRASO_2_MED,T_FBBAS,T_FBFUND,T_FBMED,T_FBPRE,T_FBSUPER,T_FLBAS,T_FLFUND,T_FLMED,T_FLPRE,T_FLSUPER,T_FREQ0A3,T_FREQ11A14,T_FREQ15A17,T_FREQ18A24,T_FREQ25A29,T_FREQ4A5,T_FREQ4A6,T_FREQ5A6,T_FREQ6,T_FREQ6A14,T_FREQ6A17,T_FREQFUND1517,T_FREQFUND1824,T_FREQFUND45,T_FREQMED1824,T_FREQMED614,T_FREQSUPER1517,T_FUND11A13,T_FUND12A14,T_FUND15A17,T_FUND16A18,T_FUND18A24,T_FUND18M,T_FUND25M,T_MED18A20,T_MED18A24,T_MED18M,T_MED19A21,T_MED25M,T_SUPER25M,CORTE1,CORTE2,CORTE3,CORTE4,CORTE9,GINI,PIND,PINDCRI,PMPOB,PMPOBCRI,PPOB,PPOBCRI,PREN10RICOS,PREN20,PREN20RICOS,PREN40,PREN60,PREN80,PRENTRAB,R1040,R2040,RDPC,RDPC1,RDPC10,RDPC2,RDPC3,RDPC4,RDPC5,RDPCT,RIND,RMPOB,RPOB,THEIL,CPR,EMP,P_AGRO,P_COM,P_CONSTR,P_EXTR,P_FORMAL,P_FUND,P_MED,P_SERV,P_SIUP,P_SUPER,P_TRANSF,REN0,REN1,REN2,REN3,REN5,RENOCUP,T_ATIV,T_ATIV1014,T_ATIV1517,T_ATIV1824,T_ATIV18M,T_ATIV2529,T_DES,T_DES1014,T_DES1517,T_DES1824,T_DES18M,T_DES2529,THEILtrab,TRABCC,TRABPUB,TRABSC,T_AGUA,T_BANAGUA,T_DENS,T_LIXO,T_LUZ,AGUA_ESGOTO,PAREDE,T_CRIFUNDIN_TODOS,T_FORA4A5,T_FORA6A14,T_FUNDIN_TODOS,T_FUNDIN_TODOS_MMEIO,T_FUNDIN18MINF,T_M10A14CF,T_M15A17CF,T_MULCHEFEFIF014,T_NESTUDA_NTRAB_MMEIO,T_OCUPDESLOC_1,T_RMAXIDOSO,T_SLUZ,HOMEM0A4,HOMEM10A14,HOMEM15A19,HOMEM20A24,HOMEM25A29,HOMEM30A34,HOMEM35A39,HOMEM40A44,HOMEM45A49,HOMEM50A54,HOMEM55A59,HOMEM5A9,HOMEM60A64,HOMEM65A69,HOMEM70A74,HOMEM75A79,HOMEMTOT,HOMENS80,MULH0A4,MULH10A14,MULH15A19,MULH20A24,MULH25A29,MULH30A34,MULH35A39,MULH40A44,MULH45A49,MULH50A54,MULH55A59,MULH5A9,MULH60A64,MULH65A69,MULH70A74,MULH75A79,MULHER80,MULHERTOT,PEA,PEA1014,PEA1517,PEA18M,peso1,PESO1114,PESO1113,PESO1214,peso13,PESO15,peso1517,PESO1524,PESO1618,PESO18,Peso1820,PESO1824,Peso1921,PESO25,peso4,peso5,peso6,PESO610,Peso617,PESO65,PESOM1014,PESOM1517,PESOM15M,PESOM25M,pesoRUR,pesotot,pesourb,PIA,PIA1014,PIA1517,PIA18M,POP,POPT,I_ESCOLARIDADE,I_FREQ_PROP,IDHM,IDHM_E,IDHM_L,IDHM_R
2010,RO,Rondônia,72.97,2.16,18.02,19.34,46.74,95.8,86.77,4.69,9.2,1.59,1.22,8.73,1.39,9.42,2.08,11.46,58.7,63.23,68.9,20.5,20.22,23.3,20.79,16.55,7.8,96.57,109.79,59.6,45.92,25.75,86.22,91.78,36.63,41.23,11.63,10.31,96.22,80.33,27.97,13.72,56.74,67.15,77.58,88.08,95.91,91.81,29.42,3.15,10.52,5.9,1.65,1.07,86.81,87.64,52.34,61.83,69.01,48.0,42.68,36.47,41.45,31.53,42.33,29.02,8.04,173.71,306.0,500.0,816.67,1267.5,0.56,6.39,9.16,14.8,22.68,33.33,47.2,44.72,2.84,59.49,10.02,21.89,40.51,83.35,17.86,11.92,670.82,95.11,2999.96,240.84,398.26,624.65,2002.81,685.13,23.87,72.55,144.93,0.56,27.22,1.64,22.58,15.2,8.46,0.52,51.72,53.83,36.93,39.26,1.0,9.37,6.98,8.12,24.71,70.51,82.92,91.9,1203.77,60.04,11.97,36.39,67.71,69.42,75.88,5.82,9.92,16.6,10.4,5.19,6.05,0.47,37.17,8.23,18.33,95.13,79.62,27.15,94.64,97.26,12.43,3.9,34.25,43.26,4.09,30.19,15.49,41.1,0.43,8.13,17.68,10.29,0.52,1.61,2.74,64854,79940,78756,76790,73349,66371,57891,54364,47198,37245,28045,71216,20627,14731,10744,6775,795157,6261,63074,76618,77199,74562,72890,66583,58600,51215,43422,34616,26308,68618,18542,13486,9541,6240,5738,767252,777441,18698,34904,723839,24973,124406,92492,94169,76063,1135560,95649,306622,93377,1039911,89923,210973,89907,828938,26471,27460,27004,143639,332749,73326,76381,47469,557830,406370,413229,1562409,1149180,1294956,156276,95920,1042760,1547341,1515025,0.48,0.633,0.69,0.577,0.8,0.712
2010,AC,Acre,71.63,2.95,23.01,24.93,61.34,94.62,84.53,4.32,8.69,6.64,4.47,16.48,5.87,17.79,9.03,21.29,58.21,60.76,70.57,19.22,18.83,23.27,22.57,20.41,6.15,93.9,104.0,61.95,49.54,26.72,82.67,87.57,37.94,42.45,10.5,11.25,91.84,77.76,31.03,16.9,63.97,71.13,78.72,86.34,91.83,88.45,23.98,4.24,17.27,7.39,1.67,1.14,75.96,77.48,52.93,61.15,65.32,48.8,43.98,31.98,38.35,33.09,38.29,31.56,8.98,98.5,194.5,335.0,624.4,1020.5,0.63,15.59,22.69,29.46,42.26,50.97,66.4,50.56,1.4,65.77,6.89,16.78,34.23,78.86,29.35,19.05,522.15,36.53,2639.9,143.34,258.19,455.62,1713.43,550.76,23.3,62.69,119.68,0.73,21.58,1.04,18.58,13.85,7.81,0.07,46.45,55.2,39.61,47.64,0.95,10.75,4.41,10.12,29.81,74.84,84.27,92.24,1081.76,53.08,10.32,24.02,58.94,64.86,71.2,8.33,13.1,25.65,16.21,7.46,8.55,0.5,38.17,5.46,24.52,86.51,47.42,46.05,93.63,91.14,28.09,9.06,41.14,36.03,8.17,33.21,24.79,43.75,0.86,12.22,28.72,17.41,0.93,2.91,8.86,39475,44447,38440,35188,33369,29128,23836,19940,15765,12883,10218,42008,7713,5757,4085,2816,368324,3256,37890,43260,38543,35147,34049,29977,23941,19988,15716,13036,10239,40150,7507,5864,4000,2692,3236,365235,304651,9054,11629,283968,14588,69153,52205,51515,46757,486011,47910,147216,45988,438101,43582,99306,42654,338795,15931,16315,15950,84224,185895,31684,43209,23949,243796,170151,201280,733559,532279,573909,87707,48412,437790,728620,690774,0.488,0.599,0.663,0.559,0.777,0.671
2010,AM,Amazonas,73.3,2.59,17.01,18.22,59.33,96.03,87.24,4.03,8.54,6.54,3.96,9.84,4.25,10.47,5.18,12.3,52.91,57.85,65.31,20.4,20.69,24.58,26.68,21.46,10.11,102.02,113.93,65.08,45.45,25.36,83.45,87.2,31.16,35.8,10.06,11.63,91.66,80.39,36.02,18.25,67.43,73.44,80.52,86.03,91.2,88.57,36.34,7.09,27.89,10.05,1.39,0.79,75.33,77.55,42.36,52.18,64.41,54.87,52.07,28.76,37.26,37.66,35.47,37.77,8.23,88.29,187.78,325.0,600.0,1020.0,0.65,16.43,23.38,30.78,42.8,51.78,66.07,53.64,1.31,67.91,6.4,15.68,32.09,79.15,33.55,21.4,539.8,35.22,2895.5,137.41,250.49,442.85,1846.94,565.89,25.54,63.11,117.5,0.8,25.59,1.06,18.95,14.92,6.41,0.42,44.56,60.21,44.01,41.07,0.82,9.6,11.54,10.99,30.91,75.4,85.29,92.53,1114.57,53.99,10.95,25.21,57.48,65.32,70.41,10.16,13.98,21.88,18.24,9.55,11.81,0.53,34.23,7.23,22.11,77.32,62.16,57.95,92.98,92.18,20.98,7.36,33.69,32.57,8.8,26.49,20.65,39.68,1.08,12.38,25.77,17.09,3.44,3.31,7.82,188508,203204,182739,170186,161251,142484,116779,98237,80095,63713,48371,195961,34510,25717,17663,11747,1753179,12014,182807,197225,182055,169446,162153,143036,116053,93807,77238,62231,47873,188308,35037,26005,18906,12939,15687,1730806,1473043,43891,57371,1371781,73242,313173,235083,233653,221213,2322154,227065,702692,219891,2095089,206219,475627,200313,1619462,76190,77817,75046,392448,860215,140414,196928,113264,1160287,809444,728495,3483985,2755490,2728336,400697,227553,2100087,3460784,3301221,0.549,0.567,0.674,0.561,0.805,0.677
2010,RR,Roraima,73.51,2.41,16.11,17.23,57.5,96.24,87.67,3.45,8.69,5.13,3.95,10.33,3.91,11.01,4.85,13.07,58.27,61.25,72.17,20.14,20.3,21.9,21.59,18.45,5.93,95.54,105.76,63.42,49.97,37.1,84.37,88.29,40.34,41.65,13.58,15.62,92.3,82.13,32.61,18.38,71.1,76.52,83.38,87.12,91.69,89.38,27.12,3.73,21.8,6.97,1.47,1.5,81.04,83.41,54.93,65.07,74.03,58.74,54.3,40.53,48.56,42.67,48.61,40.97,10.16,101.8,220.0,383.33,747.67,1306.0,0.63,15.66,22.26,26.65,37.48,45.72,59.92,49.85,1.16,66.04,6.45,16.24,33.96,84.37,30.89,20.32,605.59,35.02,3018.81,160.41,296.43,536.32,1985.21,641.28,21.03,56.87,115.71,0.75,21.44,1.38,14.85,13.73,7.08,0.38,47.99,66.08,50.44,48.94,0.83,12.25,3.76,9.48,25.34,70.44,80.05,88.8,1274.5,55.85,10.4,27.61,61.26,67.61,72.99,8.22,13.18,18.99,15.08,7.6,8.85,0.51,27.9,16.66,24.52,93.35,74.04,51.22,96.68,90.73,12.44,13.21,28.92,28.9,8.31,23.24,17.26,35.56,0.92,12.74,22.84,15.71,0.9,2.45,9.27,24319,26321,23737,21828,21398,18326,14909,13039,11142,8831,6719,25254,4942,3213,2200,1334,228859,1347,23284,25590,23250,21788,21792,18669,14839,12269,10379,8087,5928,24113,4131,2793,1960,1241,1507,221620,197525,5441,8041,184044,9389,40756,30701,30708,28669,300411,28995,90222,28274,271416,26330,61227,25542,210189,9363,9823,9780,50272,110759,15551,25486,14341,148062,103204,105620,450479,344859,353679,52332,29123,272223,445981,421159,0.587,0.65,0.707,0.628,0.809,0.695
2010,PA,Pará,72.36,2.5,20.29,21.87,55.83,95.26,85.74,4.75,8.49,6.32,3.55,11.74,4.13,12.58,6.0,14.98,47.91,52.39,62.11,20.84,21.71,26.15,31.25,25.9,11.74,104.53,116.72,67.85,57.16,16.8,87.15,91.33,31.01,45.45,6.84,13.71,94.46,81.52,32.33,13.95,72.35,78.24,85.52,90.2,94.48,91.24,39.38,6.53,20.62,11.21,1.38,0.64,73.13,78.27,39.85,49.96,60.79,47.35,43.53,24.1,31.31,29.13,30.43,28.51,6.21,89.5,170.5,288.0,510.0,860.25,0.62,15.9,22.76,32.33,44.85,55.99,70.23,50.17,1.75,64.65,7.65,17.81,35.35,77.11,26.25,17.17,446.76,39.0,2241.39,131.79,227.12,391.81,1466.05,463.8,28.42,68.2,122.69,0.7,30.89,1.17,24.54,17.08,7.14,0.91,37.38,52.11,34.22,37.45,0.66,7.39,6.61,10.29,38.32,80.35,88.76,94.35,911.98,52.89,10.58,25.92,56.87,63.13,69.45,9.5,12.47,18.63,17.44,9.03,10.9,0.53,26.38,7.14,25.45,84.7,57.5,49.4,91.92,91.89,29.05,11.16,40.81,27.65,5.52,33.07,25.24,46.68,0.69,10.76,23.91,18.4,2.19,3.78,8.11,375416,425547,396977,375541,352748,310021,259525,221142,179840,148706,117257,397851,88058,67039,46729,30050,3821837,29390,361239,410621,390200,373463,354717,307254,255011,213683,174157,145503,115770,383727,86379,67347,48614,32675,38854,3759214,3206614,88495,126117,2992002,142086,659242,491367,496254,441660,5220214,484432,1534217,474053,4735782,453989,1049785,445723,3685997,152325,155342,151424,801839,1788279,360432,410270,239987,2601851,1838710,2389492,7581051,5191559,6062304,836356,486649,4739298,7524487,7247979,0.474,0.557,0.646,0.528,0.789,0.646
2010,AP,Amapá,73.8,2.48,15.14,16.16,57.67,96.47,88.14,3.44,9.44,3.81,2.28,8.4,2.38,9.09,3.62,11.2,58.39,61.84,69.29,19.52,19.7,22.79,22.08,18.46,7.92,100.96,108.98,76.58,56.2,31.21,87.61,91.32,42.37,45.7,12.95,10.66,95.62,83.19,34.03,15.99,66.74,74.21,82.79,89.23,95.34,92.33,28.3,3.76,17.49,10.34,1.87,1.2,80.89,84.02,54.3,63.61,73.97,61.75,57.89,35.73,45.66,44.31,44.73,43.89,10.84,123.33,227.86,386.18,767.5,1300.0,0.6,9.93,14.45,24.07,33.95,45.22,58.26,47.44,2.16,63.96,7.88,17.82,36.04,84.31,24.07,16.22,598.98,64.76,2841.57,171.38,297.5,545.6,1915.43,609.44,31.75,75.92,132.64,0.68,24.43,1.23,9.87,17.23,8.1,1.06,49.11,66.72,50.87,49.95,1.01,12.54,4.33,5.18,23.83,68.58,78.97,88.97,1295.24,56.38,7.72,22.92,60.57,69.7,74.72,12.25,21.57,27.44,23.38,11.49,13.72,0.5,33.98,12.3,23.53,91.44,66.38,53.98,96.38,98.27,21.51,4.77,24.29,33.26,4.66,18.76,13.34,32.55,0.75,10.58,27.37,16.02,1.71,2.49,1.73,35654,39930,36543,34046,31171,27068,23214,18839,14774,11706,8462,37067,5694,4382,2921,1851,335135,1813,34319,39301,36731,34503,32630,28224,23540,18439,14185,11145,8170,35589,5495,4450,3057,2079,2534,334391,297107,6109,10381,280616,14090,62323,46612,46817,41600,446905,45329,141605,44345,401576,41749,96276,40913,305300,14121,13990,13812,75216,168256,23052,39225,22697,224852,153724,68490,669526,601036,526975,79104,45288,402583,664167,652768,0.618,0.634,0.708,0.629,0.813,0.694
2010,TO,Tocantins,72.56,2.41,19.56,21.05,52.9,95.43,86.08,5.82,9.8,2.9,2.05,13.09,2.59,14.14,4.37,17.14,62.68,67.63,69.24,18.51,17.8,22.8,18.8,14.57,7.96,102.67,112.93,72.89,52.06,30.12,89.52,93.18,43.87,44.32,14.35,15.59,97.05,84.66,31.96,14.16,71.22,78.49,86.87,93.16,97.02,93.86,29.34,3.75,18.72,8.4,1.96,1.71,87.12,88.86,57.15,66.53,74.76,52.55,46.78,40.73,47.46,37.13,47.88,34.45,10.25,127.83,239.8,382.33,679.33,1162.5,0.6,10.21,14.96,22.15,33.04,44.71,59.87,49.03,2.24,64.01,8.41,18.67,35.99,80.71,23.33,15.18,586.62,65.73,2876.41,180.83,301.17,507.97,1871.05,597.07,28.82,72.4,137.04,0.68,20.77,1.66,20.16,14.33,8.65,0.22,47.16,61.15,45.29,44.52,0.93,12.64,5.22,8.84,27.13,73.94,83.97,91.56,1138.78,55.98,8.29,30.44,64.31,66.06,75.19,7.71,16.57,22.12,13.94,6.9,7.65,0.52,28.96,13.96,26.96,94.33,80.41,31.22,94.35,94.74,8.07,8.06,30.3,28.78,2.98,26.79,17.6,40.72,0.57,10.06,17.92,14.32,0.93,3.5,5.26,62124,73785,70724,66400,62448,56784,48335,42919,36444,29635,24421,67070,19275,14903,11453,7658,702424,8046,60585,70475,68595,65465,62726,57682,47057,42049,34847,28526,22862,63933,17633,13401,10430,6930,7825,681021,632410,11961,26098,594351,23701,114798,85689,86966,72941,984639,85486,270993,83949,899153,79934,185507,78511,713646,25960,26064,25293,134142,306550,80564,70418,41877,485657,351685,293339,1383445,1090106,1129714,144244,85736,899735,1373823,1349770,0.526,0.68,0.699,0.624,0.793,0.69
2010,MA,Maranhão,70.4,2.56,28.03,30.61,58.65,93.45,82.45,6.02,9.26,7.59,4.73,20.87,6.38,22.51,11.17,27.15,54.91,59.87,64.52,19.91,19.94,25.77,25.18,20.19,9.7,107.17,117.95,74.37,76.13,16.09,89.62,93.35,38.14,57.49,6.97,20.33,95.59,83.15,30.15,13.15,88.21,90.56,93.85,95.43,96.25,93.01,35.85,5.77,24.4,11.15,1.4,0.5,81.56,84.86,47.84,57.47,64.56,44.36,38.53,29.6,35.49,28.4,35.66,26.36,5.43,57.8,142.75,244.89,434.2,677.6,0.62,22.47,31.42,39.53,53.43,63.58,77.47,50.06,1.34,64.85,7.0,17.44,35.15,71.74,28.61,18.53,360.34,24.21,1803.95,101.92,188.09,319.08,1168.32,373.4,28.61,62.13,113.11,0.74,28.09,0.95,30.45,14.91,8.34,0.46,33.2,51.08,35.2,36.07,0.69,7.17,4.96,16.73,48.74,85.24,91.32,95.55,735.96,49.28,9.53,24.32,55.24,58.78,66.16,8.99,11.98,17.3,17.19,8.56,10.61,0.58,22.86,6.28,28.13,82.12,51.79,42.7,79.08,96.1,23.99,24.92,42.56,11.79,3.75,34.72,27.91,50.99,0.67,10.38,26.94,21.56,3.34,5.54,3.9,322491,367451,343012,326817,293601,245825,197752,173251,147551,123305,103290,343766,84051,67114,51196,34466,3261515,36576,312910,357576,339239,329948,301572,254730,205619,182285,157769,133670,112796,329882,88292,69987,55175,36751,45073,3313274,2594571,69132,100920,2424519,119888,570208,425969,430422,382669,4536475,417090,1337753,411882,4119385,396218,920663,389424,3198722,132328,134487,131936,692870,1544711,396009,357302,207312,2311315,1642604,2427640,6574789,4147149,5264736,725332,414954,4124450,6547083,6317987,0.444,0.632,0.639,0.562,0.757,0.612
2010,PI,Piauí,71.62,1.99,23.05,24.98,51.7,94.61,84.51,7.44,9.23,6.5,4.32,22.92,6.0,24.55,11.42,29.16,51.59,56.82,62.27,20.48,20.63,27.1,27.93,22.55,10.63,110.05,120.28,80.66,72.98,25.37,91.43,95.18,37.85,56.76,12.29,20.22,97.04,85.45,36.41,16.1,89.33,91.88,95.24,97.03,97.58,94.45,39.06,5.37,21.05,12.58,1.3,0.95,80.08,84.54,45.23,56.63,65.49,41.81,35.92,29.44,36.52,26.87,36.5,24.47,7.29,77.75,168.29,271.67,509.75,778.33,0.61,18.77,27.6,34.11,48.8,58.13,74.36,49.91,1.65,64.34,7.55,17.96,35.66,68.57,26.43,16.9,416.93,34.34,2080.95,123.1,216.98,368.93,1330.15,424.02,31.73,65.71,120.32,0.73,23.27,1.07,28.04,14.8,8.49,0.22,36.52,48.54,33.38,39.43,0.87,9.6,5.84,17.07,48.28,84.28,90.97,95.24,753.91,50.93,9.11,24.2,55.69,59.43,68.47,8.16,9.47,17.27,17.15,7.81,9.66,0.61,26.39,6.16,28.46,81.6,67.12,31.44,87.61,93.01,8.15,11.11,44.37,10.67,2.42,36.5,27.2,52.4,0.38,8.01,20.81,18.45,1.85,4.99,6.99,126239,157981,151945,148966,134984,119947,99900,91166,80771,67688,56415,139027,46866,36603,28635,18940,1528422,22349,121292,151933,149923,152483,140387,127146,106679,98599,88624,75963,64861,133564,52290,40609,33811,22856,28918,1589938,1323248,28190,44583,1250474,46723,247312,183521,188627,147667,2281641,183617,601512,180099,2098024,176966,417895,177622,1680129,52324,52692,51566,280680,652068,232053,151490,90800,1179986,878421,1067401,3118360,2050959,2597953,309431,184255,2104268,3102747,3050838,0.418,0.625,0.646,0.547,0.777,0.635
2010,CE,Ceará,72.6,1.99,19.29,20.76,50.32,95.5,86.2,7.54,9.82,4.65,3.49,18.74,4.82,20.14,8.12,23.95,62.74,67.55,71.55,18.72,18.19,21.42,18.54,14.26,7.03,101.34,112.93,70.23,80.03,20.27,88.71,92.93,43.23,60.17,9.68,27.51,95.9,81.54,26.6,11.82,92.24,94.01,96.29,97.61,96.89,92.72,28.52,3.31,20.57,7.87,2.1,0.75,86.02,87.35,56.89,66.65,72.69,48.83,42.88,37.39,43.35,32.05,43.26,29.23,7.16,99.14,180.44,299.88,510.0,837.0,0.61,14.69,22.38,30.32,44.95,54.85,71.73,50.76,2.07,64.14,8.13,18.37,35.86,70.33,24.97,16.66,460.63,47.67,2337.98,139.63,235.76,402.84,1560.46,465.38,34.39,72.0,128.56,0.72,22.35,1.26,19.59,16.15,6.62,0.21,41.62,56.88,39.66,39.18,0.98,8.88,12.76,10.74,41.46,84.15,90.55,94.95,821.34,51.43,7.86,24.35,60.6,60.34,71.38,8.07,11.69,20.18,15.95,7.56,8.97,0.58,33.36,4.39,29.76,86.08,76.28,34.13,93.56,99.08,10.99,4.62,33.99,7.76,3.11,27.76,19.66,45.64,0.44,7.11,21.98,19.63,1.85,4.6,0.92,328694,431154,425466,406534,364393,319976,277797,258829,228511,173702,143692,354622,123545,93990,75849,48627,4120088,64707,316006,416153,421375,416303,378499,337965,298631,282318,250729,200514,169422,341621,144374,111093,95031,63394,88865,4332293,3657038,66645,127830,3462563,125304,674842,496266,516206,382186,6229587,522552,1660287,510197,5707035,480091,1137735,474580,4569300,133261,133948,130446,724866,1751396,637693,413562,259614,3240887,2407812,2105824,8452381,6346557,7111302,847464,524991,5738848,8403301,8317604,0.488,0.691,0.682,0.615,0.793,0.651
