SIGLA,NOME CURTO,NOME LONGO,DEFINIÇÃO
UF,Código da Unidade da Federação,Código da Unidade da Federação,Código utilizado pelo IBGE para identificação do estado.
UFN,Nome da Unidade da Federação,Nome da Unidade da Federação,Nome da Unidade da Federação.
CODMUN6,Código do Município,Código do Município,Código utilizado pelo IBGE para identificação do município.
CODMUN7,Código do Município,Código do Município,Código utilizado pelo IBGE para identificação do município(com digito verificador).
NOMEMUN,Nome do Município,Nome do município,Nome do município.
ESPVIDA,Esperança de vida ao nascer ,Esperança de vida ao nascer,"Número médio de anos que as pessoas deverão viver a partir do nascimento, se permanecerem constantes ao longo da vida o nível e o padrão de mortalidade por idade prevalecentes no ano do Censo."
FECTOT,Taxa de fecundidade total,Taxa de fecundidade total,Número médio de filhos que uma mulher deverá ter ao terminar o período reprodutivo (15 a 49 anos de idade).
MORT1,Mortalidade infantil,Mortalidade até um ano de idade,Número de crianças que não deverão sobreviver ao primeiro ano de vida em cada 1000 crianças nascidas vivas.
MORT5,Mortalidade até 5 anos de idade,Mortalidade até cinco anos de idade,"Probabilidade de morrer entre o nascimento e a idade exata de 5 anos, por 1000 crianças nascidas vivas."
RAZDEP,Razão de dependência,Percentual da população de menos de 15 anos e da população de 65 anos e mais em relação à população de 15 a 64 anos,Razão de dependência é medida pela razão entre o número de pessoas com 14 anos ou menos e de 65 anos ou mais de idade (população dependente) e o número de pessoas com idade de 15 a 64 anos (população potencialmente ativa) multiplicado por 100.
SOBRE40,Probabilidade de sobrevivência até 40 anos,Probabilidade de sobrevivência até 40 anos,"Probabilidade de uma criança recém-nascida viver até os 40 anos, se permanecerem constantes ao longo da vida o nível e o padrão de mortalidade por idade prevalecentes no ano do Censo."
SOBRE60,Probabilidade de sobrevivência até 60 anos,Probabilidade de sobrevivência até 60 anos,"Probabilidade de uma criança recém-nascida viver até os 60 anos, se permanecerem constantes ao longo da vida o nível e o padrão de mortalidade por idade prevalecentes no ano do Censo."
T_ENV,Taxa de envelhecimento,Taxa de envelhecimento,Razão entre a população de 65 anos ou mais de idade e a população total multiplicado por 100.
