id,meio,nome,cidade,regiao_metropolitana,uf,estado,regiao,pais,fonte,T_ANALF15M,T_SUPER25M,ESPVIDA,MORT1,T_ENV,PIND,PMPOB,GINI,R1040,R2040,RDPC,POP,PESO65,I_ESCOLARIDADE,IDHM_E,IDHM_L,IDHM_R,IDHM
id2880,Jornal,CORREIO ABELARDENSE,ABELARDO LUZ,n/d,SC,Santa Catarina,Sul,Brasil,Secom/PR,11.05,7.23,76.1,12.1,5.92,10.6,19.55,0.53,16.17,11.25,562.88,17016.0,1013.0,0.404,0.578,0.852,0.684,0.696
id2881,Jornal,O FALCAO,ABELARDO LUZ,n/d,SC,Santa Catarina,Sul,Brasil,Secom/PR,11.05,7.23,76.1,12.1,5.92,10.6,19.55,0.53,16.17,11.25,562.88,17016.0,1013.0,0.404,0.578,0.852,0.684,0.696
id5370,Jornal,O FALCÃO,ABELARDO LUZ,n/d,SC,Santa Catarina,Sul,Brasil,Adjori-Sc,11.05,7.23,76.1,12.1,5.92,10.6,19.55,0.53,16.17,11.25,562.88,17016.0,1013.0,0.404,0.578,0.852,0.684,0.696
id704,Jornal,JORNAL DO MARANHAO,AÇAILÂNDIA,n/d,MA,Maranhão,Nordeste,Brasil,Secom/PR,17.69,4.68,72.07,23.2,4.57,10.12,25.17,0.56,18.01,11.44,438.56,103752.0,4756.0,0.464,0.602,0.785,0.643,0.672
id199,Jornal,FOLHA DO SERTAO,ACOPIARA,n/d,CE,Ceará,Nordeste,Brasil,Secom/PR,32.87,2.52,68.41,31.5,10.6,29.5,45.21,0.57,24.15,15.8,266.65,51083.0,5425.0,0.302,0.517,0.724,0.563,0.595
id2263,Jornal,TRIBUNA DO VALE,AÇU,n/d,RN,Rio Grande do Norte,Nordeste,Brasil,Secom/PR,22.48,5.94,72.69,21.19,6.99,7.68,22.16,0.53,15.06,10.26,432.38,53079.0,3720.0,0.427,0.568,0.795,0.641,0.661
id3951,Jornal,O IMPACTO,ADAMANTINA,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,6.14,16.49,76.13,12.0,12.61,0.5,2.57,0.51,12.85,8.55,975.43,33490.0,4263.0,0.608,0.75,0.852,0.772,0.79
id3952,Jornal,DIARIO DO OESTE PAULISTA,ADAMANTINA,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,6.14,16.49,76.13,12.0,12.61,0.5,2.57,0.51,12.85,8.55,975.43,33490.0,4263.0,0.608,0.75,0.852,0.772,0.79
id5551,Jornal,JORNAL DA CIDADE,ADAMANTINA,n/d,SP,São Paulo,Sudeste,Brasil,Adjori-SP,6.14,16.49,76.13,12.0,12.61,0.5,2.57,0.51,12.85,8.55,975.43,33490.0,4263.0,0.608,0.75,0.852,0.772,0.79
id5552,Jornal,JORNAL IMPACTO,ADAMANTINA,n/d,SP,São Paulo,Sudeste,Brasil,Adjori-SP,6.14,16.49,76.13,12.0,12.61,0.5,2.57,0.51,12.85,8.55,975.43,33490.0,4263.0,0.608,0.75,0.852,0.772,0.79
id435,Jornal,O RESGATE,AFONSO CLÁUDIO,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,14.3,5.79,74.51,14.8,9.5,5.31,19.02,0.5,13.37,9.46,489.59,30918.0,2954.0,0.366,0.544,0.825,0.661,0.667
id1319,Jornal,JORNAL ACONTECENDO,ÁGUA BOA,n/d,MT,Mato Grosso,Centro-Oeste,Brasil,Secom/PR,7.69,10.05,74.71,15.8,4.49,1.45,7.38,0.49,11.97,8.12,720.74,20400.0,936.0,0.514,0.646,0.829,0.723,0.729
id1493,Online,PORTAL MPIAUI,ÁGUA BRANCA,n/d,PI,Piauí,Nordeste,Brasil,Secom/PR,24.14,4.79,70.79,25.5,9.1,14.39,30.26,0.49,12.56,9.13,335.63,16436.0,1497.0,0.424,0.569,0.763,0.6,0.639
id3953,Jornal,CORREIO DE AGUAI,AGUAÍ,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,7.73,7.65,76.49,12.5,7.81,1.03,6.89,0.47,10.79,7.3,636.07,32089.0,2512.0,0.467,0.606,0.858,0.703,0.715
id3954,Jornal,GAZETA DE AGUAI,AGUAÍ,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,7.73,7.65,76.49,12.5,7.81,1.03,6.89,0.47,10.79,7.3,636.07,32089.0,2512.0,0.467,0.606,0.858,0.703,0.715
id5553,Jornal,O IMPARCIAL,AGUAÍ,n/d,SP,São Paulo,Sudeste,Brasil,Adjori-SP,7.73,7.65,76.49,12.5,7.81,1.03,6.89,0.47,10.79,7.3,636.07,32089.0,2512.0,0.467,0.606,0.858,0.703,0.715
id5554,Jornal,CORREIO,AGUAÍ,n/d,SP,São Paulo,Sudeste,Brasil,Adjori-SP,7.73,7.65,76.49,12.5,7.81,1.03,6.89,0.47,10.79,7.3,636.07,32089.0,2512.0,0.467,0.606,0.858,0.703,0.715
id3956,Jornal,TRIBUNA DAS AGUAS,ÁGUAS DE LINDÓIA,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,5.96,10.74,75.76,12.5,10.77,0.07,2.38,0.43,8.96,6.43,730.13,17120.0,1860.0,0.51,0.675,0.846,0.725,0.745
id503,Online,IMPRENSA JA,ÁGUAS LINDAS DE GOIÁS,RIDE DF,GO,Goiás,Centro-Oeste,Brasil,Secom/PR,7.01,1.97,75.85,11.62,2.31,3.17,11.6,0.43,8.57,6.22,449.38,158508.0,3674.0,0.488,0.588,0.848,0.647,0.686
