cidade,meio,cod_municipal,veiculos_mapeados,regiao_metropolitana,uf,estado,regiao,pais,POP,RDPC,I_ESCOLARIDADE,IDHM,IDHM_E,IDHM_L,IDHM_R
SÃO PAULO,Jornal,355030,124,RM São Paulo,SP,São Paulo,Sudeste,Brasil,11172609,1516.21,0.677,0.805,0.725,0.855,0.843
BRASÍLIA,Jornal,530010,79,RIDE DF,DF,Distrito Federal,Centro-Oeste,Brasil,2543802,1715.11,0.723,0.824,0.742,0.873,0.863
RIO DE JANEIRO,Jornal,330455,56,RM Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Brasil,6265402,1492.63,0.722,0.799,0.719,0.845,0.84
PORTO ALEGRE,Jornal,431490,38,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,1394270,1758.27,0.748,0.805,0.702,0.857,0.867
GOIÂNIA,Jornal,520870,31,n/d,GO,Goiás,Centro-Oeste,Brasil,1297161,1348.55,0.714,0.799,0.739,0.838,0.824
FLORIANÓPOLIS,Jornal,420540,30,n/d,SC,Santa Catarina,Sul,Brasil,417579,1798.12,0.8,0.847,0.8,0.873,0.87
CURITIBA,Jornal,410690,23,RM Curitiba,PR,Paraná,Sul,Brasil,1740948,1581.04,0.74,0.823,0.768,0.855,0.85
SANTOS,Jornal,354850,19,n/d,SP,São Paulo,Sudeste,Brasil,416553,1693.65,0.758,0.84,0.807,0.852,0.861
CUIABÁ,Jornal,510340,18,n/d,MT,Mato Grosso,Centro-Oeste,Brasil,547297,1161.49,0.702,0.785,0.726,0.834,0.8
CHAPECÓ,Jornal,420420,17,n/d,SC,Santa Catarina,Sul,Brasil,181705,1017.34,0.63,0.79,0.727,0.871,0.779
CAMPINAS,Jornal,350950,16,n/d,SP,São Paulo,Sudeste,Brasil,1071983,1390.83,0.677,0.805,0.731,0.86,0.829
NITERÓI,Jornal,330330,15,RM Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Brasil,482950,2000.29,0.794,0.837,0.773,0.854,0.887
SANTO ANDRÉ,Jornal,354780,15,RM São Paulo,SP,São Paulo,Sudeste,Brasil,674948,1304.31,0.707,0.815,0.769,0.861,0.819
SÃO BERNARDO DO CAMPO,Jornal,354870,15,RM São Paulo,SP,São Paulo,Sudeste,Brasil,761343,1212.65,0.702,0.805,0.752,0.861,0.807
CAMPO GRANDE,Jornal,500270,14,n/d,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,777917,1089.37,0.667,0.784,0.724,0.844,0.79
SÃO LUÍS,Jornal,211130,13,n/d,MA,Maranhão,Nordeste,Brasil,1005101,805.36,0.735,0.768,0.752,0.813,0.741
GUARULHOS,Jornal,351880,13,RM São Paulo,SP,São Paulo,Sudeste,Brasil,1213492,829.91,0.639,0.763,0.717,0.831,0.746
MOGI DAS CRUZES,Jornal,353060,13,RM São Paulo,SP,São Paulo,Sudeste,Brasil,386276,916.81,0.662,0.783,0.74,0.851,0.762
CRICIÚMA,Jornal,420460,13,n/d,SC,Santa Catarina,Sul,Brasil,190535,1062.53,0.639,0.788,0.737,0.846,0.786
RIBEIRÃO PRETO,Jornal,354340,12,n/d,SP,São Paulo,Sudeste,Brasil,599026,1314.04,0.683,0.8,0.739,0.844,0.82
MANAUS,Jornal,130260,11,n/d,AM,Amazonas,Norte,Brasil,1793443,790.27,0.679,0.737,0.658,0.826,0.738
PALMAS,Jornal,172100,11,n/d,TO,Tocantins,Norte,Brasil,225432,1087.35,0.746,0.788,0.749,0.827,0.789
FORTALEZA,Jornal,230440,11,RM Fortaleza,CE,Ceará,Nordeste,Brasil,2427422,846.36,0.658,0.754,0.695,0.824,0.749
VITÓRIA,Jornal,320530,11,n/d,ES,Espírito Santo,Sudeste,Brasil,325399,1866.58,0.789,0.845,0.805,0.855,0.876
DUQUE DE CAXIAS,Jornal,330170,11,RM Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Brasil,853747,592.81,0.584,0.711,0.624,0.833,0.692
BARRETOS,Jornal,350550,11,n/d,SP,São Paulo,Sudeste,Brasil,111603,917.0,0.628,0.789,0.738,0.875,0.762
OSASCO,Jornal,353440,11,RM São Paulo,SP,São Paulo,Sudeste,Brasil,665237,1003.4,0.648,0.776,0.718,0.84,0.776
BLUMENAU,Jornal,420240,11,n/d,SC,Santa Catarina,Sul,Brasil,306393,1253.17,0.659,0.806,0.722,0.894,0.812
JOAÇABA,Jornal,420900,11,n/d,SC,Santa Catarina,Sul,Brasil,26807,1338.5,0.674,0.827,0.771,0.891,0.823
MAFRA,Jornal,421010,11,n/d,SC,Santa Catarina,Sul,Brasil,52665,789.53,0.562,0.777,0.723,0.88,0.738
TUBARÃO,Jornal,421870,11,n/d,SC,Santa Catarina,Sul,Brasil,96823,1077.62,0.648,0.796,0.74,0.866,0.788
CAXIAS DO SUL,Jornal,430510,11,n/d,RS,Rio Grande do Sul,Sul,Brasil,433304,1253.93,0.668,0.782,0.686,0.86,0.812
APARECIDA DE GOIÂNIA,Jornal,520140,11,n/d,GO,Goiás,Centro-Oeste,Brasil,452269,689.3,0.57,0.718,0.62,0.834,0.716
PORTO VELHO,Jornal,110020,10,n/d,RO,Rondônia,Norte,Brasil,422555,929.19,0.619,0.736,0.638,0.819,0.764
BELÉM,Jornal,150140,10,RM Belém,PA,Pará,Norte,Brasil,1385193,853.82,0.692,0.746,0.673,0.822,0.751
SALVADOR,Jornal,292740,10,RM Salvador,BA,Bahia,Nordeste,Brasil,2650633,973.0,0.697,0.759,0.679,0.835,0.772
ARARUAMA,Jornal,330020,10,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,111398,680.88,0.556,0.718,0.617,0.839,0.714
SÃO CAETANO DO SUL,Jornal,354880,10,RM São Paulo,SP,São Paulo,Sudeste,Brasil,148195,2043.74,0.762,0.862,0.811,0.887,0.891
MARINGÁ,Jornal,411520,10,n/d,PR,Paraná,Sul,Brasil,354512,1202.63,0.691,0.808,0.768,0.852,0.806
BALNEÁRIO CAMBORIÚ,Jornal,420200,10,n/d,SC,Santa Catarina,Sul,Brasil,107149,1625.59,0.763,0.845,0.789,0.894,0.854
ITAJAÍ,Jornal,420820,10,n/d,SC,Santa Catarina,Sul,Brasil,182637,1014.0,0.646,0.795,0.73,0.884,0.778
JOINVILLE,Jornal,420910,10,n/d,SC,Santa Catarina,Sul,Brasil,512406,1126.74,0.709,0.809,0.749,0.889,0.795
CANOAS,Jornal,430460,10,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,322949,952.13,0.646,0.75,0.636,0.864,0.768
CATALÃO,Jornal,520510,10,n/d,GO,Goiás,Centro-Oeste,Brasil,86253,959.4,0.613,0.766,0.715,0.819,0.769
BARUERI,Jornal,350570,9,RM São Paulo,SP,São Paulo,Sudeste,Brasil,240055,1095.84,0.631,0.786,0.708,0.866,0.791
INDAIATUBA,Jornal,352050,9,n/d,SP,São Paulo,Sudeste,Brasil,201009,1098.31,0.657,0.788,0.738,0.837,0.791
RIO CLARO,Jornal,354390,9,n/d,SP,São Paulo,Sudeste,Brasil,185172,1049.16,0.671,0.803,0.766,0.862,0.784
