cidade,meio,cod_municipal,veiculos_mapeados,regiao_metropolitana,uf,estado,regiao,pais,POP,RDPC,I_ESCOLARIDADE,IDHM,IDHM_E,IDHM_L,IDHM_R
SÃO PAULO,Online,355030,574,RM São Paulo,SP,São Paulo,Sudeste,Brasil,11172609,1516.21,0.677,0.805,0.725,0.855,0.843
RIO DE JANEIRO,Online,330455,161,RM Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Brasil,6265402,1492.63,0.722,0.799,0.719,0.845,0.84
BRASÍLIA,Online,530010,118,RIDE DF,DF,Distrito Federal,Centro-Oeste,Brasil,2543802,1715.11,0.723,0.824,0.742,0.873,0.863
PORTO ALEGRE,Online,431490,81,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,1394270,1758.27,0.748,0.805,0.702,0.857,0.867
CURITIBA,Online,410690,54,RM Curitiba,PR,Paraná,Sul,Brasil,1740948,1581.04,0.74,0.823,0.768,0.855,0.85
FLORIANÓPOLIS,Online,420540,40,n/d,SC,Santa Catarina,Sul,Brasil,417579,1798.12,0.8,0.847,0.8,0.873,0.87
GOIÂNIA,Online,520870,34,n/d,GO,Goiás,Centro-Oeste,Brasil,1297161,1348.55,0.714,0.799,0.739,0.838,0.824
PORTO VELHO,Online,110020,24,n/d,RO,Rondônia,Norte,Brasil,422555,929.19,0.619,0.736,0.638,0.819,0.764
CUIABÁ,Online,510340,24,n/d,MT,Mato Grosso,Centro-Oeste,Brasil,547297,1161.49,0.702,0.785,0.726,0.834,0.8
JOÃO PESSOA,Online,250750,19,n/d,PB,Paraíba,Nordeste,Brasil,713290,964.82,0.663,0.763,0.693,0.832,0.77
SALVADOR,Online,292740,19,RM Salvador,BA,Bahia,Nordeste,Brasil,2650633,973.0,0.697,0.759,0.679,0.835,0.772
CAMPO GRANDE,Online,500270,19,n/d,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,777917,1089.37,0.667,0.784,0.724,0.844,0.79
MANAUS,Online,130260,18,n/d,AM,Amazonas,Norte,Brasil,1793443,790.27,0.679,0.737,0.658,0.826,0.738
TERESINA,Online,221100,17,n/d,PI,Piauí,Nordeste,Brasil,806168,757.57,0.642,0.751,0.707,0.82,0.731
PALMAS,Online,172100,16,n/d,TO,Tocantins,Norte,Brasil,225432,1087.35,0.746,0.788,0.749,0.827,0.789
CAMPINAS,Online,350950,14,n/d,SP,São Paulo,Sudeste,Brasil,1071983,1390.83,0.677,0.805,0.731,0.86,0.829
BAURU,Online,350600,13,n/d,SP,São Paulo,Sudeste,Brasil,339422,1163.86,0.672,0.801,0.752,0.854,0.8
RECIFE,Online,261160,12,RM Recife,PE,Pernambuco,Nordeste,Brasil,1524313,1144.26,0.664,0.772,0.698,0.825,0.798
ARACAJU,Online,280030,12,n/d,SE,Sergipe,Nordeste,Brasil,565274,1052.03,0.695,0.77,0.708,0.823,0.784
VITÓRIA,Online,320530,12,n/d,ES,Espírito Santo,Sudeste,Brasil,325399,1866.58,0.789,0.845,0.805,0.855,0.876
NATAL,Online,240810,11,n/d,RN,Rio Grande do Norte,Nordeste,Brasil,797986,950.34,0.659,0.763,0.694,0.835,0.768
SANTOS,Online,354850,11,n/d,SP,São Paulo,Sudeste,Brasil,416553,1693.65,0.758,0.84,0.807,0.852,0.861
FORTALEZA,Online,230440,10,RM Fortaleza,CE,Ceará,Nordeste,Brasil,2427422,846.36,0.658,0.754,0.695,0.824,0.749
RIBEIRÃO PRETO,Online,354340,10,n/d,SP,São Paulo,Sudeste,Brasil,599026,1314.04,0.683,0.8,0.739,0.844,0.82
BELÉM,Online,150140,9,RM Belém,PA,Pará,Norte,Brasil,1385193,853.82,0.692,0.746,0.673,0.822,0.751
