cidade,cod_municipal,veiculos_mapeados,vei100milh,regiao_metropolitana,uf,estado,regiao,pais,POP,RDPC,I_ESCOLARIDADE,IDHM,IDHM_E,IDHM_L,IDHM_R
FLORIANÓPOLIS,420540,70.0,16.763295089073,n/d,SC,Santa Catarina,Sul,Brasil,417579.0,1798.12,0.8,0.847,0.8,0.873,0.87
BALNEÁRIO CAMBORIÚ,420200,14.0,13.0659175540602,n/d,SC,Santa Catarina,Sul,Brasil,107149.0,1625.59,0.763,0.845,0.789,0.894,0.854
BARRETOS,350550,14.0,12.5444656505649,n/d,SP,São Paulo,Sudeste,Brasil,111603.0,917.0,0.628,0.789,0.738,0.875,0.762
PALMAS,172100,27.0,11.9770041520281,n/d,TO,Tocantins,Norte,Brasil,225432.0,1087.35,0.746,0.788,0.749,0.827,0.789
CRICIÚMA,420460,20.0,10.49675912562,n/d,SC,Santa Catarina,Sul,Brasil,190535.0,1062.53,0.639,0.788,0.737,0.846,0.786
CHAPECÓ,420420,19.0,10.4565091769627,n/d,SC,Santa Catarina,Sul,Brasil,181705.0,1017.34,0.63,0.79,0.727,0.871,0.779
SÃO CAETANO DO SUL,354880,14.0,9.44701238233409,RM São Paulo,SP,São Paulo,Sudeste,Brasil,148195.0,2043.74,0.762,0.862,0.811,0.887,0.891
CACHOEIRINHA,430310,11.0,9.3227449551237,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,117991.0,844.04,0.66,0.757,0.675,0.857,0.749
ARARUAMA,330020,10.0,8.97682184599364,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,111398.0,680.88,0.556,0.718,0.617,0.839,0.714
PORTO ALEGRE,431490,119.0,8.53493225845783,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,1394270.0,1758.27,0.748,0.805,0.702,0.857,0.867
JARAGUÁ DO SUL,420890,12.0,8.43964947322521,n/d,SC,Santa Catarina,Sul,Brasil,142186.0,1111.85,0.687,0.803,0.755,0.865,0.793
ITAJAÍ,420820,15.0,8.21301269731763,n/d,SC,Santa Catarina,Sul,Brasil,182637.0,1014.0,0.646,0.795,0.73,0.884,0.778
PORTO VELHO,110020,34.0,8.04628983209286,n/d,RO,Rondônia,Norte,Brasil,422555.0,929.19,0.619,0.736,0.638,0.819,0.764
OURINHOS,353470,8.0,7.78952698097408,n/d,SP,São Paulo,Sudeste,Brasil,102702.0,868.91,0.601,0.778,0.727,0.859,0.753
BRASÍLIA,530010,197.0,7.7443134331996,RIDE DF,DF,Distrito Federal,Centro-Oeste,Brasil,2543802.0,1715.11,0.723,0.824,0.742,0.873,0.863
CUIABÁ,510340,42.0,7.67407824270917,n/d,MT,Mato Grosso,Centro-Oeste,Brasil,547297.0,1161.49,0.702,0.785,0.726,0.834,0.8
SANTOS,354850,30.0,7.20196469596906,n/d,SP,São Paulo,Sudeste,Brasil,416553.0,1693.65,0.758,0.84,0.807,0.852,0.861
VITÓRIA,320530,23.0,7.0682454463597,n/d,ES,Espírito Santo,Sudeste,Brasil,325399.0,1866.58,0.789,0.845,0.805,0.855,0.876
CORUMBÁ,500320,7.0,6.82287808491559,n/d,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,102596.0,627.1,0.546,0.7,0.586,0.834,0.701
BRUSQUE,420290,7.0,6.67384899939935,n/d,SC,Santa Catarina,Sul,Brasil,104887.0,1116.93,0.591,0.795,0.707,0.894,0.794
BARUERI,350570,16.0,6.66513923892441,RM São Paulo,SP,São Paulo,Sudeste,Brasil,240055.0,1095.84,0.631,0.786,0.708,0.866,0.791
POÁ,353980,7.0,6.62145161137755,RM São Paulo,SP,São Paulo,Sudeste,Brasil,105717.0,664.31,0.677,0.771,0.754,0.856,0.71
PALHOÇA,421190,9.0,6.58380822098187,n/d,SC,Santa Catarina,Sul,Brasil,136699.0,862.74,0.609,0.757,0.672,0.859,0.752
