cidade,cod_municipal,veiculos_mapeados,regiao_metropolitana,uf,estado,regiao,pais,POP,RDPC,I_ESCOLARIDADE,IDHM,IDHM_E,IDHM_L,IDHM_R
SÃO PAULO,355030,698,RM São Paulo,SP,São Paulo,Sudeste,Brasil,11172609,1516.21,0.677,0.805,0.725,0.855,0.843
RIO DE JANEIRO,330455,217,RM Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Brasil,6265402,1492.63,0.722,0.799,0.719,0.845,0.84
BRASÍLIA,530010,197,RIDE DF,DF,Distrito Federal,Centro-Oeste,Brasil,2543802,1715.11,0.723,0.824,0.742,0.873,0.863
PORTO ALEGRE,431490,119,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,1394270,1758.27,0.748,0.805,0.702,0.857,0.867
CURITIBA,410690,77,RM Curitiba,PR,Paraná,Sul,Brasil,1740948,1581.04,0.74,0.823,0.768,0.855,0.85
FLORIANÓPOLIS,420540,70,n/d,SC,Santa Catarina,Sul,Brasil,417579,1798.12,0.8,0.847,0.8,0.873,0.87
GOIÂNIA,520870,65,n/d,GO,Goiás,Centro-Oeste,Brasil,1297161,1348.55,0.714,0.799,0.739,0.838,0.824
CUIABÁ,510340,42,n/d,MT,Mato Grosso,Centro-Oeste,Brasil,547297,1161.49,0.702,0.785,0.726,0.834,0.8
PORTO VELHO,110020,34,n/d,RO,Rondônia,Norte,Brasil,422555,929.19,0.619,0.736,0.638,0.819,0.764
CAMPO GRANDE,500270,33,n/d,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,777917,1089.37,0.667,0.784,0.724,0.844,0.79
CAMPINAS,350950,30,n/d,SP,São Paulo,Sudeste,Brasil,1071983,1390.83,0.677,0.805,0.731,0.86,0.829
SANTOS,354850,30,n/d,SP,São Paulo,Sudeste,Brasil,416553,1693.65,0.758,0.84,0.807,0.852,0.861
MANAUS,130260,29,n/d,AM,Amazonas,Norte,Brasil,1793443,790.27,0.679,0.737,0.658,0.826,0.738
SALVADOR,292740,29,RM Salvador,BA,Bahia,Nordeste,Brasil,2650633,973.0,0.697,0.759,0.679,0.835,0.772
PALMAS,172100,27,n/d,TO,Tocantins,Norte,Brasil,225432,1087.35,0.746,0.788,0.749,0.827,0.789
JOÃO PESSOA,250750,25,n/d,PB,Paraíba,Nordeste,Brasil,713290,964.82,0.663,0.763,0.693,0.832,0.77
VITÓRIA,320530,23,n/d,ES,Espírito Santo,Sudeste,Brasil,325399,1866.58,0.789,0.845,0.805,0.855,0.876
RIBEIRÃO PRETO,354340,22,n/d,SP,São Paulo,Sudeste,Brasil,599026,1314.04,0.683,0.8,0.739,0.844,0.82
SÃO LUÍS,211130,21,n/d,MA,Maranhão,Nordeste,Brasil,1005101,805.36,0.735,0.768,0.752,0.813,0.741
TERESINA,221100,21,n/d,PI,Piauí,Nordeste,Brasil,806168,757.57,0.642,0.751,0.707,0.82,0.731
FORTALEZA,230440,21,RM Fortaleza,CE,Ceará,Nordeste,Brasil,2427422,846.36,0.658,0.754,0.695,0.824,0.749
MOGI DAS CRUZES,353060,21,RM São Paulo,SP,São Paulo,Sudeste,Brasil,386276,916.81,0.662,0.783,0.74,0.851,0.762
SÃO BERNARDO DO CAMPO,354870,21,RM São Paulo,SP,São Paulo,Sudeste,Brasil,761343,1212.65,0.702,0.805,0.752,0.861,0.807
RECIFE,261160,20,RM Recife,PE,Pernambuco,Nordeste,Brasil,1524313,1144.26,0.664,0.772,0.698,0.825,0.798
SANTO ANDRÉ,354780,20,RM São Paulo,SP,São Paulo,Sudeste,Brasil,674948,1304.31,0.707,0.815,0.769,0.861,0.819
CRICIÚMA,420460,20,n/d,SC,Santa Catarina,Sul,Brasil,190535,1062.53,0.639,0.788,0.737,0.846,0.786
BELÉM,150140,19,RM Belém,PA,Pará,Norte,Brasil,1385193,853.82,0.692,0.746,0.673,0.822,0.751
NITERÓI,330330,19,RM Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Brasil,482950,2000.29,0.794,0.837,0.773,0.854,0.887
CHAPECÓ,420420,19,n/d,SC,Santa Catarina,Sul,Brasil,181705,1017.34,0.63,0.79,0.727,0.871,0.779
ARACAJU,280030,18,n/d,SE,Sergipe,Nordeste,Brasil,565274,1052.03,0.695,0.77,0.708,0.823,0.784
NATAL,240810,17,n/d,RN,Rio Grande do Norte,Nordeste,Brasil,797986,950.34,0.659,0.763,0.694,0.835,0.768
GUARULHOS,351880,17,RM São Paulo,SP,São Paulo,Sudeste,Brasil,1213492,829.91,0.639,0.763,0.717,0.831,0.746
RIO BRANCO,120040,16,n/d,AC,Acre,Norte,Brasil,333052,744.67,0.607,0.727,0.661,0.798,0.729
BARUERI,350570,16,RM São Paulo,SP,São Paulo,Sudeste,Brasil,240055,1095.84,0.631,0.786,0.708,0.866,0.791
MACEIÓ,270430,15,n/d,AL,Alagoas,Nordeste,Brasil,924611,792.54,0.591,0.721,0.635,0.799,0.739
DUQUE DE CAXIAS,330170,15,RM Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Brasil,853747,592.81,0.584,0.711,0.624,0.833,0.692
BAURU,350600,15,n/d,SP,São Paulo,Sudeste,Brasil,339422,1163.86,0.672,0.801,0.752,0.854,0.8
OSASCO,353440,15,RM São Paulo,SP,São Paulo,Sudeste,Brasil,665237,1003.4,0.648,0.776,0.718,0.84,0.776
ITAJAÍ,420820,15,n/d,SC,Santa Catarina,Sul,Brasil,182637,1014.0,0.646,0.795,0.73,0.884,0.778
JOINVILLE,420910,15,n/d,SC,Santa Catarina,Sul,Brasil,512406,1126.74,0.709,0.809,0.749,0.889,0.795
APARECIDA DE GOIÂNIA,520140,15,n/d,GO,Goiás,Centro-Oeste,Brasil,452269,689.3,0.57,0.718,0.62,0.834,0.716
BARRETOS,350550,14,n/d,SP,São Paulo,Sudeste,Brasil,111603,917.0,0.628,0.789,0.738,0.875,0.762
SÃO CAETANO DO SUL,354880,14,RM São Paulo,SP,São Paulo,Sudeste,Brasil,148195,2043.74,0.762,0.862,0.811,0.887,0.891
BALNEÁRIO CAMBORIÚ,420200,14,n/d,SC,Santa Catarina,Sul,Brasil,107149,1625.59,0.763,0.845,0.789,0.894,0.854
CASCAVEL,410480,13,n/d,PR,Paraná,Sul,Brasil,281772,1003.38,0.63,0.782,0.728,0.846,0.776
LONDRINA,411370,13,n/d,PR,Paraná,Sul,Brasil,503548,1083.35,0.649,0.778,0.712,0.837,0.789
MARINGÁ,411520,13,n/d,PR,Paraná,Sul,Brasil,354512,1202.63,0.691,0.808,0.768,0.852,0.806
TUBARÃO,421870,13,n/d,SC,Santa Catarina,Sul,Brasil,96823,1077.62,0.648,0.796,0.74,0.866,0.788
CAXIAS DO SUL,430510,13,n/d,RS,Rio Grande do Sul,Sul,Brasil,433304,1253.93,0.668,0.782,0.686,0.86,0.812
PIRACICABA,353870,12,n/d,SP,São Paulo,Sudeste,Brasil,363011,1143.2,0.64,0.785,0.717,0.848,0.797
RIO CLARO,354390,12,n/d,SP,São Paulo,Sudeste,Brasil,185172,1049.16,0.671,0.803,0.766,0.862,0.784
UMUARAMA,412810,12,n/d,PR,Paraná,Sul,Brasil,99898,880.6,0.567,0.761,0.698,0.836,0.755
BLUMENAU,420240,12,n/d,SC,Santa Catarina,Sul,Brasil,306393,1253.17,0.659,0.806,0.722,0.894,0.812
JARAGUÁ DO SUL,420890,12,n/d,SC,Santa Catarina,Sul,Brasil,142186,1111.85,0.687,0.803,0.755,0.865,0.793
JOAÇABA,420900,12,n/d,SC,Santa Catarina,Sul,Brasil,26807,1338.5,0.674,0.827,0.771,0.891,0.823
MAFRA,421010,12,n/d,SC,Santa Catarina,Sul,Brasil,52665,789.53,0.562,0.777,0.723,0.88,0.738
CANOAS,430460,12,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,322949,952.13,0.646,0.75,0.636,0.864,0.768
DOURADOS,500370,12,n/d,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,194084,866.4,0.587,0.747,0.657,0.843,0.753
ARARAQUARA,350320,11,n/d,SP,São Paulo,Sudeste,Brasil,206646,1080.66,0.687,0.815,0.782,0.877,0.788
INDAIATUBA,352050,11,n/d,SP,São Paulo,Sudeste,Brasil,201009,1098.31,0.657,0.788,0.738,0.837,0.791
SÃO JOSÉ DOS CAMPOS,354990,11,n/d,SP,São Paulo,Sudeste,Brasil,627707,1190.96,0.703,0.807,0.764,0.855,0.804
PONTA GROSSA,411990,11,n/d,PR,Paraná,Sul,Brasil,309810,877.1,0.614,0.763,0.703,0.837,0.755
SÃO MIGUEL DO OESTE,421720,11,n/d,SC,Santa Catarina,Sul,Brasil,36117,1072.6,0.611,0.801,0.739,0.884,0.787
CACHOEIRINHA,430310,11,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,117991,844.04,0.66,0.757,0.675,0.857,0.749
ARARUAMA,330020,10,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,111398,680.88,0.556,0.718,0.617,0.839,0.714
JUNDIAÍ,352590,10,n/d,SP,São Paulo,Sudeste,Brasil,368777,1431.55,0.674,0.822,0.768,0.866,0.834
MARÍLIA,352900,10,n/d,SP,São Paulo,Sudeste,Brasil,213999,953.2,0.673,0.798,0.776,0.854,0.768
SÃO JOSÉ DO RIO PRETO,354980,10,n/d,SP,São Paulo,Sudeste,Brasil,405342,1169.16,0.661,0.797,0.748,0.846,0.801
SOROCABA,355220,10,n/d,SP,São Paulo,Sudeste,Brasil,581667,1107.19,0.677,0.798,0.762,0.843,0.792
FOZ DO IGUAÇU,410830,10,n/d,PR,Paraná,Sul,Brasil,254276,842.26,0.591,0.751,0.661,0.858,0.748
RIO DO SUL,421480,10,n/d,SC,Santa Catarina,Sul,Brasil,60758,1114.31,0.612,0.802,0.727,0.894,0.793
NOVO HAMBURGO,431340,10,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,237941,1011.62,0.552,0.747,0.629,0.852,0.778
VIAMÃO,432300,10,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,237679,707.05,0.576,0.717,0.591,0.866,0.72
CATALÃO,520510,10,n/d,GO,Goiás,Centro-Oeste,Brasil,86253,959.4,0.613,0.766,0.715,0.819,0.769
FEIRA DE SANTANA,291080,9,n/d,BA,Bahia,Nordeste,Brasil,552741,662.24,0.576,0.712,0.619,0.82,0.71
CABO FRIO,330070,9,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,185301,815.75,0.606,0.735,0.64,0.836,0.743
SÃO GONÇALO,330490,9,RM Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Brasil,996948,669.3,0.645,0.739,0.681,0.833,0.711
TAUBATÉ,355410,9,n/d,SP,São Paulo,Sudeste,Brasil,276215,1011.95,0.682,0.8,0.746,0.883,0.778
ARARANGUÁ,420140,9,n/d,SC,Santa Catarina,Sul,Brasil,60793,827.2,0.565,0.76,0.691,0.853,0.745
LAGES,420930,9,n/d,SC,Santa Catarina,Sul,Brasil,156106,878.34,0.608,0.77,0.697,0.867,0.755
PALHOÇA,421190,9,n/d,SC,Santa Catarina,Sul,Brasil,136699,862.74,0.609,0.757,0.672,0.859,0.752
SÃO JOSÉ,421660,9,n/d,SC,Santa Catarina,Sul,Brasil,208673,1157.43,0.728,0.809,0.752,0.88,0.799
SÃO LEOPOLDO,431870,9,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,213161,939.93,0.599,0.739,0.612,0.861,0.766
ANÁPOLIS,520110,9,n/d,GO,Goiás,Centro-Oeste,Brasil,333067,785.17,0.609,0.737,0.66,0.822,0.737
TEIXEIRA DE FREITAS,293135,8,n/d,BA,Bahia,Nordeste,Brasil,136656,560.73,0.503,0.685,0.588,0.8,0.683
NOVA VENÉCIA,320390,8,n/d,ES,Espírito Santo,Sudeste,Brasil,45632,592.06,0.473,0.712,0.621,0.841,0.692
ANDRADINA,350210,8,n/d,SP,São Paulo,Sudeste,Brasil,54242,919.36,0.58,0.779,0.702,0.885,0.762
