cidade,Codmun6,Codmun7,veiculos_mapeados,vei100milh,regiao_metropolitana,uf,estado,regiao,pais,POP,RDPC,I_ESCOLARIDADE,IDHM,IDHM_E,IDHM_L,IDHM_R
FLORIANÓPOLIS,420540.0,4205407.0,70,16.76,n/d,SC,Santa Catarina,Sul,Brasil,417579.0,1798.12,0.8,0.847,0.8,0.873,0.87
BALNEÁRIO CAMBORIÚ,420200.0,4202008.0,14,13.07,n/d,SC,Santa Catarina,Sul,Brasil,107149.0,1625.59,0.763,0.845,0.789,0.894,0.854
BARRETOS,350550.0,3505500.0,14,12.54,n/d,SP,São Paulo,Sudeste,Brasil,111603.0,917.0,0.628,0.789,0.738,0.875,0.762
PALMAS,172100.0,1721000.0,27,11.98,n/d,TO,Tocantins,Norte,Brasil,225432.0,1087.35,0.746,0.788,0.749,0.827,0.789
ITABIRA,313170.0,3131703.0,12,10.96,n/d,MG,Minas Gerais,Sudeste,Brasil,109507.0,744.61,0.576,0.756,0.678,0.873,0.729
CRICIÚMA,420460.0,4204608.0,20,10.5,n/d,SC,Santa Catarina,Sul,Brasil,190535.0,1062.53,0.639,0.788,0.737,0.846,0.786
CHAPECÓ,420420.0,4204202.0,19,10.46,n/d,SC,Santa Catarina,Sul,Brasil,181705.0,1017.34,0.63,0.79,0.727,0.871,0.779
SÃO CAETANO DO SUL,354880.0,3548807.0,14,9.45,RM São Paulo,SP,São Paulo,Sudeste,Brasil,148195.0,2043.74,0.762,0.862,0.811,0.887,0.891
CACHOEIRINHA,430310.0,4303103.0,11,9.32,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,117991.0,844.04,0.66,0.757,0.675,0.857,0.749
ARARUAMA,330020.0,3300209.0,10,8.98,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,111398.0,680.88,0.556,0.718,0.617,0.839,0.714
PORTO ALEGRE,431490.0,4314902.0,119,8.53,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,1394270.0,1758.27,0.748,0.805,0.702,0.857,0.867
JARAGUÁ DO SUL,420890.0,4208906.0,12,8.44,n/d,SC,Santa Catarina,Sul,Brasil,142186.0,1111.85,0.687,0.803,0.755,0.865,0.793
ITAJAÍ,420820.0,4208203.0,15,8.21,n/d,SC,Santa Catarina,Sul,Brasil,182637.0,1014.0,0.646,0.795,0.73,0.884,0.778
PORTO VELHO,110020.0,1100205.0,34,8.05,n/d,RO,Rondônia,Norte,Brasil,422555.0,929.19,0.619,0.736,0.638,0.819,0.764
OURINHOS,353470.0,3534708.0,8,7.79,n/d,SP,São Paulo,Sudeste,Brasil,102702.0,868.91,0.601,0.778,0.727,0.859,0.753
BRASÍLIA,530010.0,5300108.0,197,7.74,RIDE DF,DF,Distrito Federal,Centro-Oeste,Brasil,2543802.0,1715.11,0.723,0.824,0.742,0.873,0.863
CUIABÁ,510340.0,5103403.0,42,7.67,n/d,MT,Mato Grosso,Centro-Oeste,Brasil,547297.0,1161.49,0.702,0.785,0.726,0.834,0.8
ARAGUARI,310350.0,3103504.0,8,7.32,n/d,MG,Minas Gerais,Sudeste,Brasil,109297.0,798.63,0.585,0.773,0.716,0.871,0.74
SANTOS,354850.0,3548500.0,30,7.2,n/d,SP,São Paulo,Sudeste,Brasil,416553.0,1693.65,0.758,0.84,0.807,0.852,0.861
VITÓRIA,320530.0,3205309.0,23,7.07,n/d,ES,Espírito Santo,Sudeste,Brasil,325399.0,1866.58,0.789,0.845,0.805,0.855,0.876
CORUMBÁ,500320.0,5003207.0,7,6.82,n/d,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,102596.0,627.1,0.546,0.7,0.586,0.834,0.701
TEÓFILO OTONI,316860.0,3168606.0,9,6.76,n/d,MG,Minas Gerais,Sudeste,Brasil,133143.0,615.34,0.492,0.701,0.598,0.824,0.698
BARUERI,350570.0,3505708.0,16,6.67,RM São Paulo,SP,São Paulo,Sudeste,Brasil,240055.0,1095.84,0.631,0.786,0.708,0.866,0.791
BRUSQUE,420290.0,4202909.0,7,6.67,n/d,SC,Santa Catarina,Sul,Brasil,104887.0,1116.93,0.591,0.795,0.707,0.894,0.794
POÁ,353980.0,3539806.0,7,6.62,RM São Paulo,SP,São Paulo,Sudeste,Brasil,105717.0,664.31,0.677,0.771,0.754,0.856,0.71
PALHOÇA,421190.0,4211900.0,9,6.58,n/d,SC,Santa Catarina,Sul,Brasil,136699.0,862.74,0.609,0.757,0.672,0.859,0.752
BENTO GONÇALVES,430210.0,4302105.0,7,6.56,n/d,RS,Rio Grande do Sul,Sul,Brasil,106666.0,1196.56,0.614,0.778,0.695,0.842,0.805
RIO CLARO,354390.0,3543907.0,12,6.48,n/d,SP,São Paulo,Sudeste,Brasil,185172.0,1049.16,0.671,0.803,0.766,0.862,0.784
GUARATINGUETÁ,351840.0,3518404.0,7,6.28,n/d,SP,São Paulo,Sudeste,Brasil,111540.0,926.78,0.673,0.798,0.751,0.886,0.764
CAMPO LARGO,410420.0,4104204.0,7,6.26,RM Curitiba,PR,Paraná,Sul,Brasil,111827.0,749.21,0.528,0.745,0.664,0.854,0.73
SÃO PAULO,355030.0,3550308.0,698,6.25,RM São Paulo,SP,São Paulo,Sudeste,Brasil,11172609.0,1516.21,0.677,0.805,0.725,0.855,0.843
DOURADOS,500370.0,5003702.0,12,6.18,n/d,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,194084.0,866.4,0.587,0.747,0.657,0.843,0.753
TRÊS LAGOAS,500830.0,5008305.0,6,5.93,n/d,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,101171.0,863.66,0.579,0.744,0.645,0.849,0.752
TEIXEIRA DE FREITAS,293135.0,2931350.0,8,5.85,n/d,BA,Bahia,Nordeste,Brasil,136656.0,560.73,0.503,0.685,0.588,0.8,0.683
APUCARANA,410140.0,4101408.0,7,5.81,n/d,PR,Paraná,Sul,Brasil,120486.0,804.81,0.548,0.748,0.668,0.845,0.741
LAGES,420930.0,4209300.0,9,5.77,n/d,SC,Santa Catarina,Sul,Brasil,156106.0,878.34,0.608,0.77,0.697,0.867,0.755
SANTANA DE PARNAÍBA,354730.0,3547304.0,6,5.54,RM São Paulo,SP,São Paulo,Sudeste,Brasil,108248.0,1858.69,0.657,0.814,0.725,0.849,0.876
INDAIATUBA,352050.0,3520509.0,11,5.47,n/d,SP,São Paulo,Sudeste,Brasil,201009.0,1098.31,0.657,0.788,0.738,0.837,0.791
MOGI DAS CRUZES,353060.0,3530607.0,21,5.44,RM São Paulo,SP,São Paulo,Sudeste,Brasil,386276.0,916.81,0.662,0.783,0.74,0.851,0.762
ARARAQUARA,350320.0,3503208.0,11,5.32,n/d,SP,São Paulo,Sudeste,Brasil,206646.0,1080.66,0.687,0.815,0.782,0.877,0.788
ITU,352390.0,3523909.0,8,5.22,n/d,SP,São Paulo,Sudeste,Brasil,153310.0,1038.14,0.621,0.773,0.692,0.854,0.782
CONSELHEIRO LAFAIETE,311830.0,3118304.0,6,5.17,n/d,MG,Minas Gerais,Sudeste,Brasil,116043.0,781.59,0.603,0.761,0.697,0.86,0.736
BAGÉ,430160.0,4301602.0,6,5.17,n/d,RS,Rio Grande do Sul,Sul,Brasil,116108.0,795.56,0.585,0.74,0.647,0.848,0.739
MOGI GUAÇU,353070.0,3530706.0,7,5.12,n/d,SP,São Paulo,Sudeste,Brasil,136821.0,802.19,0.598,0.774,0.736,0.852,0.74
SANTA CRUZ DO SUL,431680.0,4316808.0,6,5.12,n/d,RS,Rio Grande do Sul,Sul,Brasil,117169.0,1036.87,0.619,0.773,0.693,0.852,0.782
CUBATÃO,351350.0,3513504.0,6,5.08,n/d,SP,São Paulo,Sudeste,Brasil,118004.0,689.21,0.593,0.737,0.681,0.821,0.716
IPATINGA,313130.0,3131307.0,12,5.04,n/d,MG,Minas Gerais,Sudeste,Brasil,238052.0,862.91,0.625,0.771,0.705,0.864,0.752
GOIÂNIA,520870.0,5208707.0,65,5.01,n/d,GO,Goiás,Centro-Oeste,Brasil,1297161.0,1348.55,0.714,0.799,0.739,0.838,0.824
CABO FRIO,330070.0,3300704.0,9,4.86,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,185301.0,815.75,0.606,0.735,0.64,0.836,0.743
GUARAPUAVA,410940.0,4109401.0,8,4.82,n/d,PR,Paraná,Sul,Brasil,165849.0,750.09,0.519,0.731,0.628,0.853,0.73
RIO BRANCO,120040.0,1200401.0,16,4.8,n/d,AC,Acre,Norte,Brasil,333052.0,744.67,0.607,0.727,0.661,0.798,0.729
GUARAPARI,320240.0,3202405.0,5,4.78,n/d,ES,Espírito Santo,Sudeste,Brasil,104656.0,830.51,0.564,0.731,0.626,0.837,0.746
BOTUCATU,350750.0,3507506.0,6,4.73,n/d,SP,São Paulo,Sudeste,Brasil,126813.0,1089.1,0.653,0.8,0.746,0.869,0.79
MARICÁ,330270.0,3302700.0,6,4.72,RM Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Brasil,127228.0,910.41,0.655,0.765,0.692,0.85,0.761
MARÍLIA,352900.0,3529005.0,10,4.67,n/d,SP,São Paulo,Sudeste,Brasil,213999.0,953.2,0.673,0.798,0.776,0.854,0.768
POUSO ALEGRE,315250.0,3152501.0,6,4.63,n/d,MG,Minas Gerais,Sudeste,Brasil,129577.0,878.26,0.619,0.774,0.704,0.872,0.755
