meio,cidade,Codmun6,Codmun7,veiculos_mapeados,regiao_metropolitana,uf,estado,regiao,pais,POP,RDPC,I_ESCOLARIDADE,IDHM,IDHM_E,IDHM_L,IDHM_R
Online,SÃO PAULO,355030.0,3550308.0,574,RM São Paulo,SP,São Paulo,Sudeste,Brasil,11172609.0,1516.21,0.677,0.805,0.725,0.855,0.843
Online,RIO DE JANEIRO,330455.0,3304557.0,161,RM Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Brasil,6265402.0,1492.63,0.722,0.799,0.719,0.845,0.84
Online,BRASÍLIA,530010.0,5300108.0,118,RIDE DF,DF,Distrito Federal,Centro-Oeste,Brasil,2543802.0,1715.11,0.723,0.824,0.742,0.873,0.863
Online,PORTO ALEGRE,431490.0,4314902.0,81,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,1394270.0,1758.27,0.748,0.805,0.702,0.857,0.867
Online,CURITIBA,410690.0,4106902.0,54,RM Curitiba,PR,Paraná,Sul,Brasil,1740948.0,1581.04,0.74,0.823,0.768,0.855,0.85
Online,FLORIANÓPOLIS,420540.0,4205407.0,40,n/d,SC,Santa Catarina,Sul,Brasil,417579.0,1798.12,0.8,0.847,0.8,0.873,0.87
Online,GOIÂNIA,520870.0,5208707.0,34,n/d,GO,Goiás,Centro-Oeste,Brasil,1297161.0,1348.55,0.714,0.799,0.739,0.838,0.824
Online,BELO HORIZONTE,310620.0,3106200.0,32,RM Belo Horizonte,MG,Minas Gerais,Sudeste,Brasil,2356435.0,1497.29,0.702,0.81,0.737,0.856,0.841
Online,PORTO VELHO,110020.0,1100205.0,24,n/d,RO,Rondônia,Norte,Brasil,422555.0,929.19,0.619,0.736,0.638,0.819,0.764
Online,CUIABÁ,510340.0,5103403.0,24,n/d,MT,Mato Grosso,Centro-Oeste,Brasil,547297.0,1161.49,0.702,0.785,0.726,0.834,0.8
Online,JOÃO PESSOA,250750.0,2507507.0,19,n/d,PB,Paraíba,Nordeste,Brasil,713290.0,964.82,0.663,0.763,0.693,0.832,0.77
Online,SALVADOR,292740.0,2927408.0,19,RM Salvador,BA,Bahia,Nordeste,Brasil,2650633.0,973.0,0.697,0.759,0.679,0.835,0.772
Online,CAMPO GRANDE,500270.0,5002704.0,19,n/d,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,777917.0,1089.37,0.667,0.784,0.724,0.844,0.79
Online,MANAUS,130260.0,1302603.0,18,n/d,AM,Amazonas,Norte,Brasil,1793443.0,790.27,0.679,0.737,0.658,0.826,0.738
