meio,cidade,uf,veiculos_mapeados,T_ANALF15M,T_SUPER25M,ESPVIDA,MORT1,T_ENV,PIND,PMPOB,GINI,R1040,R2040,RDPC,POP,PESO65,I_ESCOLARIDADE,IDHM_E,IDHM_L,IDHM_R,IDHM
Jornal,SÃO PAULO,SP,124,3.18,20.63,76.3,13.15,8.13,0.92,4.27,0.62,25.32,16.34,1516.21,11172609.0,914646.0,0.677,0.725,0.855,0.843,0.805
Jornal,BRASÍLIA,DF,79,3.47,23.95,77.35,14.01,4.97,1.19,4.93,0.63,28.23,19.22,1715.11,2543802.0,127625.0,0.723,0.742,0.873,0.863,0.824
Jornal,RIO DE JANEIRO,RJ,56,2.88,21.26,75.69,13.02,10.46,1.25,5.01,0.62,25.82,17.0,1492.63,6265402.0,661310.0,0.722,0.719,0.845,0.84,0.799
Jornal,PORTO ALEGRE,RS,38,2.27,25.93,76.42,11.6,10.47,0.92,3.82,0.6,23.68,15.97,1758.27,1394270.0,147536.0,0.748,0.702,0.857,0.867,0.805
Jornal,GOIÂNIA,GO,31,3.29,20.67,75.28,13.11,6.31,0.54,3.09,0.58,19.28,12.78,1348.55,1297161.0,82193.0,0.714,0.739,0.838,0.824,0.799
Jornal,FLORIANÓPOLIS,SC,30,2.07,31.47,77.35,10.81,7.5,0.27,1.35,0.54,15.94,11.56,1798.12,417579.0,31592.0,0.8,0.8,0.873,0.87,0.847
Jornal,BELO HORIZONTE,MG,25,2.87,22.93,76.37,12.95,8.67,0.79,3.8,0.6,22.38,15.04,1497.29,2356435.0,205994.0,0.702,0.737,0.856,0.841,0.81
Jornal,CURITIBA,PR,23,2.13,25.95,76.3,11.91,7.54,0.48,1.73,0.55,17.04,11.41,1581.04,1740948.0,132165.0,0.74,0.768,0.855,0.85,0.823
Jornal,SANTOS,SP,19,2.22,27.82,76.13,13.7,14.05,0.6,2.39,0.55,17.33,11.72,1693.65,416553.0,58911.0,0.758,0.807,0.852,0.861,0.84
Jornal,CUIABÁ,MT,18,4.24,19.88,75.01,15.49,5.17,1.33,5.31,0.59,20.14,13.42,1161.49,547297.0,28499.0,0.702,0.726,0.834,0.8,0.785
Jornal,CHAPECÓ,SC,17,4.45,13.67,77.25,10.6,5.37,0.65,2.7,0.48,11.09,7.6,1017.34,181705.0,9860.0,0.63,0.727,0.871,0.779,0.79
Jornal,CAMPINAS,SP,16,3.26,21.31,76.59,11.81,8.47,1.06,3.16,0.56,17.36,11.9,1390.83,1071983.0,91518.0,0.677,0.731,0.86,0.829,0.805
Jornal,NITERÓI,RJ,15,2.27,33.68,76.23,12.91,12.17,0.8,3.34,0.59,22.94,16.23,2000.29,482950.0,59321.0,0.794,0.773,0.854,0.887,0.837
Jornal,SANTO ANDRÉ,SP,15,2.78,20.14,76.66,12.58,9.31,0.78,3.24,0.53,15.14,10.36,1304.31,674948.0,62963.0,0.707,0.769,0.861,0.819,0.815
Jornal,SÃO BERNARDO DO CAMPO,SP,15,3.04,19.21,76.65,12.84,6.56,0.99,3.54,0.54,15.63,10.71,1212.65,761343.0,50235.0,0.702,0.752,0.861,0.807,0.805
Jornal,CAMPO GRANDE,MS,14,3.92,17.22,75.62,16.48,6.7,0.99,4.59,0.56,17.91,11.85,1089.37,777917.0,52691.0,0.667,0.724,0.844,0.79,0.784
Jornal,SÃO LUÍS,MA,13,4.65,13.73,73.76,18.1,5.19,4.53,13.81,0.61,24.07,15.65,805.36,1005101.0,52655.0,0.735,0.752,0.813,0.741,0.768
Jornal,GUARULHOS,SP,13,4.1,11.21,74.83,13.34,5.2,1.95,6.5,0.51,13.49,9.26,829.91,1213492.0,63556.0,0.639,0.717,0.831,0.746,0.763
Jornal,MOGI DAS CRUZES,SP,13,3.95,16.28,76.07,12.23,6.8,1.93,7.06,0.54,15.66,10.67,916.81,386276.0,26358.0,0.662,0.74,0.851,0.762,0.783
