meio,cidade,uf,veiculos_mapeados,T_ANALF15M,T_SUPER25M,ESPVIDA,MORT1,T_ENV,PIND,PMPOB,GINI,R1040,R2040,RDPC,POP,PESO65,I_ESCOLARIDADE,IDHM_E,IDHM_L,IDHM_R,IDHM
Online,SÃO PAULO,SP,574,3.18,20.63,76.3,13.15,8.13,0.92,4.27,0.62,25.32,16.34,1516.21,11172609.0,914646.0,0.677,0.725,0.855,0.843,0.805
Online,RIO DE JANEIRO,RJ,162,2.88,21.26,75.69,13.02,10.46,1.25,5.01,0.62,25.82,17.0,1492.63,6265402.0,661310.0,0.722,0.719,0.845,0.84,0.799
Online,BRASÍLIA,DF,118,3.47,23.95,77.35,14.01,4.97,1.19,4.93,0.63,28.23,19.22,1715.11,2543802.0,127625.0,0.723,0.742,0.873,0.863,0.824
Online,PORTO ALEGRE,RS,81,2.27,25.93,76.42,11.6,10.47,0.92,3.82,0.6,23.68,15.97,1758.27,1394270.0,147536.0,0.748,0.702,0.857,0.867,0.805
Online,CURITIBA,PR,54,2.13,25.95,76.3,11.91,7.54,0.48,1.73,0.55,17.04,11.41,1581.04,1740948.0,132165.0,0.74,0.768,0.855,0.85,0.823
Online,FLORIANÓPOLIS,SC,40,2.07,31.47,77.35,10.81,7.5,0.27,1.35,0.54,15.94,11.56,1798.12,417579.0,31592.0,0.8,0.8,0.873,0.87,0.847
Online,GOIÂNIA,GO,34,3.29,20.67,75.28,13.11,6.31,0.54,3.09,0.58,19.28,12.78,1348.55,1297161.0,82193.0,0.714,0.739,0.838,0.824,0.799
Online,BELO HORIZONTE,MG,32,2.87,22.93,76.37,12.95,8.67,0.79,3.8,0.6,22.38,15.04,1497.29,2356435.0,205994.0,0.702,0.737,0.856,0.841,0.81
Online,PORTO VELHO,RO,24,5.1,12.21,74.14,15.52,3.52,2.64,7.95,0.56,17.42,11.65,929.19,422555.0,15099.0,0.619,0.638,0.819,0.764,0.736
Online,CUIABÁ,MT,24,4.24,19.88,75.01,15.49,5.17,1.33,5.31,0.59,20.14,13.42,1161.49,547297.0,28499.0,0.702,0.726,0.834,0.8,0.785
Online,JOÃO PESSOA,PB,19,8.11,18.61,74.89,16.44,6.96,3.48,11.59,0.62,25.37,16.7,964.82,713290.0,50338.0,0.663,0.693,0.832,0.77,0.763
Online,SALVADOR,BA,19,3.97,14.59,75.1,14.92,6.14,3.97,11.35,0.63,26.51,17.23,973.0,2650633.0,164225.0,0.697,0.679,0.835,0.772,0.759
Online,CAMPO GRANDE,MS,19,3.92,17.22,75.62,16.48,6.7,0.99,4.59,0.56,17.91,11.85,1089.37,777917.0,52691.0,0.667,0.724,0.844,0.79,0.784
Online,MANAUS,AM,18,3.78,10.97,74.54,14.24,3.88,3.75,12.9,0.61,22.86,14.55,790.27,1793443.0,69905.0,0.679,0.658,0.826,0.738,0.737
Online,TERESINA,PI,17,9.1,14.06,74.22,16.13,5.66,4.44,14.6,0.61,23.96,15.51,757.57,806168.0,46113.0,0.642,0.707,0.82,0.731,0.751
Online,PALMAS,TO,16,3.76,20.81,74.61,15.28,2.73,1.52,6.91,0.58,20.31,13.73,1087.35,225432.0,6241.0,0.746,0.749,0.827,0.789,0.788
Online,CAMPINAS,SP,14,3.26,21.31,76.59,11.81,8.47,1.06,3.16,0.56,17.36,11.9,1390.83,1071983.0,91518.0,0.677,0.731,0.86,0.829,0.805
Online,BAURU,SP,13,3.08,17.7,76.26,12.18,9.12,1.08,3.71,0.55,16.35,10.8,1163.86,339422.0,31367.0,0.672,0.752,0.854,0.8,0.801
Online,RECIFE,PE,12,7.13,19.11,74.5,15.56,8.14,4.77,13.2,0.68,36.74,23.53,1144.26,1524313.0,125099.0,0.664,0.698,0.825,0.798,0.772
Online,ARACAJU,SE,12,6.61,19.2,74.36,15.61,6.0,3.43,11.11,0.62,26.59,17.79,1052.03,565274.0,34264.0,0.695,0.708,0.823,0.784,0.77
Online,VITÓRIA,ES,12,2.98,31.86,76.28,11.37,8.22,0.64,3.51,0.6,24.17,16.57,1866.58,325399.0,26948.0,0.789,0.805,0.855,0.876,0.845
Online,NATAL,RN,11,8.33,14.87,75.08,14.35,7.02,2.92,10.5,0.61,23.97,15.74,950.34,797986.0,56441.0,0.659,0.694,0.835,0.768,0.763
Online,SANTOS,SP,11,2.22,27.82,76.13,13.7,14.05,0.6,2.39,0.55,17.33,11.72,1693.65,416553.0,58911.0,0.758,0.807,0.852,0.861,0.84
Online,FORTALEZA,CE,10,6.94,13.73,74.41,15.76,6.58,3.36,12.14,0.61,23.9,15.44,846.36,2427422.0,161310.0,0.658,0.695,0.824,0.749,0.754
Online,RIBEIRÃO PRETO,SP,10,2.91,20.87,75.65,16.88,8.67,0.61,2.53,0.54,15.31,10.28,1314.04,599026.0,52403.0,0.683,0.739,0.844,0.82,0.8
Online,BELÉM,PA,9,3.33,14.33,74.33,16.06,6.3,3.54,13.04,0.61,24.21,15.58,853.82,1385193.0,87744.0,0.692,0.673,0.822,0.751,0.746
Online,RIO BRANCO,AC,8,9.03,12.93,72.85,20.03,4.31,4.85,14.38,0.59,21.91,14.54,744.67,333052.0,14480.0,0.607,0.661,0.798,0.729,0.727
Online,SÃO LUÍS,MA,8,4.65,13.73,73.76,18.1,5.19,4.53,13.81,0.61,24.07,15.65,805.36,1005101.0,52655.0,0.735,0.752,0.813,0.741,0.768
Online,MACEIÓ,AL,8,11.86,14.24,72.94,22.02,5.54,5.29,15.57,0.63,26.28,17.0,792.54,924611.0,51664.0,0.591,0.635,0.799,0.739,0.721
Online,MOGI DAS CRUZES,SP,8,3.95,16.28,76.07,12.23,6.8,1.93,7.06,0.54,15.66,10.67,916.81,386276.0,26358.0,0.662,0.74,0.851,0.762,0.783
Online,PONTA GROSSA,PR,8,3.67,13.25,75.22,12.19,6.87,1.63,6.72,0.54,15.64,10.43,877.1,309810.0,21416.0,0.614,0.703,0.837,0.755,0.763
Online,DOURADOS,MS,8,5.56,14.46,75.59,17.0,6.03,1.57,5.96,0.52,14.33,9.77,866.4,194084.0,11821.0,0.587,0.657,0.843,0.753,0.747
Online,BARUERI,SP,7,4.04,12.18,76.96,11.34,4.4,1.54,5.65,0.61,22.15,13.93,1095.84,240055.0,10598.0,0.631,0.708,0.866,0.791,0.786
Online,CRICIÚMA,SC,7,3.0,15.46,75.76,12.29,5.9,0.51,2.17,0.48,11.53,7.78,1062.53,190535.0,11352.0,0.639,0.737,0.846,0.786,0.788
Online,ARARAQUARA,SP,6,3.61,17.54,77.64,10.23,9.66,0.53,2.64,0.5,12.28,8.55,1080.66,206646.0,20165.0,0.687,0.782,0.877,0.788,0.815
Online,SÃO BERNARDO DO CAMPO,SP,6,3.04,19.21,76.65,12.84,6.56,0.99,3.54,0.54,15.63,10.71,1212.65,761343.0,50235.0,0.702,0.752,0.861,0.807,0.805
Online,SÃO JOSÉ DOS CAMPOS,SP,6,2.95,18.04,76.27,13.49,6.22,1.01,3.89,0.55,16.64,11.23,1190.96,627707.0,39188.0,0.703,0.764,0.855,0.804,0.807
Online,CASCAVEL,PR,6,4.47,15.2,75.74,11.73,5.81,0.8,3.27,0.51,13.43,9.11,1003.38,281772.0,16623.0,0.63,0.728,0.846,0.776,0.782
Online,FEIRA DE SANTANA,BA,5,9.08,7.27,74.2,15.64,5.91,5.38,15.8,0.6,21.13,13.52,662.24,552741.0,32896.0,0.576,0.619,0.82,0.71,0.712
Online,SANTANA DE PARNAÍBA,SP,5,4.5,23.54,75.92,15.49,4.58,1.45,4.71,0.67,34.91,23.87,1858.69,108248.0,4981.0,0.657,0.725,0.849,0.876,0.814
Online,SANTO ANDRÉ,SP,5,2.78,20.14,76.66,12.58,9.31,0.78,3.24,0.53,15.14,10.36,1304.31,674948.0,62963.0,0.707,0.769,0.861,0.819,0.815
Online,SÃO CARLOS,SP,5,3.64,17.81,76.78,11.19,8.94,0.58,2.53,0.49,12.15,8.4,1079.45,220666.0,19847.0,0.693,0.766,0.863,0.788,0.805
Online,LONDRINA,PR,5,4.52,19.07,75.19,11.73,8.62,0.74,3.27,0.51,13.54,9.41,1083.35,503548.0,43702.0,0.649,0.712,0.837,0.789,0.778
Online,ITAJAÍ,SC,5,2.97,13.77,78.02,10.2,5.77,0.43,2.31,0.45,9.83,7.08,1014.0,182637.0,10572.0,0.646,0.73,0.884,0.778,0.795
Online,JOINVILLE,SC,5,2.26,15.98,78.34,9.32,5.65,0.29,1.67,0.49,11.7,7.87,1126.74,512406.0,29105.0,0.709,0.749,0.889,0.795,0.809
Online,MACAPÁ,AP,4,6.17,14.1,74.19,14.04,3.48,5.89,18.15,0.59,21.95,14.95,717.88,395465.0,13853.0,0.679,0.663,0.82,0.723,0.733
Online,TEIXEIRA DE FREITAS,BA,4,14.65,6.69,73.0,21.21,6.04,5.39,15.92,0.53,15.33,10.39,560.73,136656.0,8354.0,0.503,0.588,0.8,0.683,0.685
Online,CONTAGEM,MG,4,3.55,8.8,74.94,15.4,5.97,1.15,4.81,0.48,11.29,7.9,824.3,600466.0,36030.0,0.623,0.697,0.832,0.745,0.756
Online,IPATINGA,MG,4,5.01,11.35,76.85,13.22,6.26,1.13,5.92,0.52,13.88,9.48,862.91,238052.0,14991.0,0.625,0.705,0.864,0.752,0.771
Online,JUIZ DE FORA,MG,4,3.25,17.4,75.65,15.42,9.25,0.88,5.48,0.56,17.25,11.61,1050.88,512779.0,47739.0,0.65,0.711,0.844,0.784,0.778
Online,DUQUE DE CAXIAS,RJ,4,4.99,5.5,75.0,14.07,6.61,2.83,9.88,0.46,9.99,7.31,592.81,853747.0,56524.0,0.584,0.624,0.833,0.692,0.711
Online,NITERÓI,RJ,4,2.27,33.68,76.23,12.91,12.17,0.8,3.34,0.59,22.94,16.23,2000.29,482950.0,59321.0,0.794,0.773,0.854,0.887,0.837
Online,GUARULHOS,SP,4,4.1,11.21,74.83,13.34,5.2,1.95,6.5,0.51,13.49,9.26,829.91,1213492.0,63556.0,0.639,0.717,0.831,0.746,0.763
Online,ITU,SP,4,4.42,14.37,76.23,12.9,7.09,0.49,2.84,0.52,14.37,9.46,1038.14,153310.0,10925.0,0.621,0.692,0.854,0.782,0.773
Online,OSASCO,SP,4,3.48,14.19,75.42,13.36,6.37,1.5,4.8,0.53,14.79,10.16,1003.4,665237.0,42462.0,0.648,0.718,0.84,0.776,0.776
Online,PIRACICABA,SP,4,3.1,15.73,75.88,14.44,8.41,0.94,3.11,0.52,14.31,9.66,1143.2,363011.0,30643.0,0.64,0.717,0.848,0.797,0.785
Online,SÃO CAETANO DO SUL,SP,4,1.55,31.19,78.2,9.5,13.89,0.09,0.52,0.54,16.12,10.8,2043.74,148195.0,20728.0,0.762,0.811,0.887,0.891,0.862
Online,FOZ DO IGUAÇU,PR,4,5.64,13.38,76.46,10.83,5.05,1.75,7.37,0.53,15.14,10.29,842.26,254276.0,12922.0,0.591,0.661,0.858,0.748,0.751
Online,GUARAPUAVA,PR,4,6.0,11.31,76.2,10.04,6.23,2.24,8.92,0.55,16.31,10.68,750.09,165849.0,10427.0,0.519,0.628,0.853,0.73,0.731
Online,BALNEÁRIO CAMBORIÚ,SC,4,1.5,25.66,78.62,8.7,7.75,0.21,0.95,0.52,13.79,9.55,1625.59,107149.0,8380.0,0.763,0.789,0.894,0.854,0.845
Online,JARAGUÁ DO SUL,SC,4,1.77,14.8,76.92,10.21,5.15,0.25,0.71,0.42,8.45,5.98,1111.85,142186.0,7375.0,0.687,0.755,0.865,0.793,0.803
Online,SÃO MIGUEL DO OESTE,SC,4,4.64,13.95,78.06,9.7,8.06,0.59,3.27,0.5,13.07,8.7,1072.6,36117.0,2928.0,0.611,0.739,0.884,0.787,0.801
Online,SANTA CRUZ DO SUL,RS,4,3.37,14.24,76.1,11.76,8.97,0.96,3.68,0.49,11.75,8.2,1036.87,117169.0,10617.0,0.619,0.693,0.852,0.782,0.773
Online,SANTA MARIA,RS,4,3.18,18.85,75.89,11.6,9.5,1.19,5.47,0.55,16.91,11.56,1127.25,258667.0,24798.0,0.683,0.715,0.848,0.795,0.784
Online,RONDONÓPOLIS,MT,4,7.2,13.08,74.37,16.4,5.37,1.35,5.44,0.52,13.88,9.42,843.62,193435.0,10498.0,0.598,0.698,0.823,0.749,0.755
Online,VÁRZEA GRANDE,MT,4,5.87,8.96,75.5,13.7,4.54,2.01,7.03,0.46,10.45,7.55,668.86,251845.0,11468.0,0.604,0.661,0.842,0.711,0.734
Online,APARECIDA DE GOIÂNIA,GO,4,5.3,7.3,75.01,13.2,3.84,0.99,5.22,0.47,10.92,7.47,689.3,452269.0,17509.0,0.57,0.62,0.834,0.716,0.718
Online,ARIQUEMES,RO,3,7.9,8.13,73.36,19.2,4.36,4.36,11.54,0.53,15.54,10.22,689.95,89766.0,3943.0,0.514,0.6,0.806,0.716,0.702
Online,VILHENA,RO,3,6.08,10.6,73.49,16.98,4.46,2.1,6.37,0.5,13.02,8.92,768.98,75614.0,3398.0,0.554,0.659,0.808,0.734,0.731
Online,JUAZEIRO DO NORTE,CE,3,16.2,7.44,73.58,18.12,7.54,6.73,23.43,0.54,15.85,10.92,439.53,248222.0,18856.0,0.528,0.642,0.81,0.644,0.694
Online,QUIXERAMOBIM,CE,3,24.2,3.75,72.33,20.0,9.04,19.57,38.37,0.56,18.93,12.88,317.45,71409.0,6499.0,0.405,0.567,0.789,0.592,0.642
Online,MOSSORÓ,RN,3,13.8,9.89,73.64,17.91,6.33,3.72,12.81,0.52,14.63,9.93,600.28,258460.0,16437.0,0.565,0.663,0.811,0.694,0.72
Online,CACHOEIRINHA,PE,3,32.13,2.24,70.18,26.4,10.43,15.44,33.67,0.48,12.38,9.22,308.18,18774.0,1962.0,0.269,0.439,0.753,0.587,0.579
Online,ITABUNA,BA,3,10.38,9.13,73.42,18.1,7.7,6.12,17.09,0.56,18.0,12.14,605.12,203181.0,15754.0,0.576,0.643,0.807,0.695,0.712
Online,ITABIRA,MG,3,6.34,9.77,77.37,11.18,7.4,1.54,7.46,0.51,13.59,9.3,744.61,109507.0,8129.0,0.576,0.678,0.873,0.729,0.756
Online,UBERABA,MG,3,4.19,15.52,75.71,14.0,8.61,0.67,3.4,0.5,12.42,8.55,978.01,292644.0,25477.0,0.63,0.705,0.845,0.772,0.772
Online,CACHOEIRO DE ITAPEMIRIM,ES,3,5.71,9.86,75.2,13.8,7.52,1.42,6.64,0.52,13.88,9.26,763.71,188790.0,14277.0,0.561,0.677,0.837,0.733,0.746
Online,CABO FRIO,RJ,3,5.02,12.08,75.16,15.41,7.14,2.35,8.73,0.54,16.2,11.14,815.75,185301.0,13289.0,0.606,0.64,0.836,0.743,0.735
Online,BARRETOS,SP,3,4.01,13.21,77.5,10.13,9.56,0.64,2.94,0.48,11.4,7.82,917.0,111603.0,10719.0,0.628,0.738,0.875,0.762,0.789
Online,FRANCA,SP,3,3.44,13.15,75.5,14.3,7.6,0.65,3.34,0.46,10.14,7.02,846.57,317558.0,24232.0,0.631,0.753,0.842,0.749,0.78
Online,JUNDIAÍ,SP,3,3.08,20.62,76.94,11.51,9.28,0.52,1.87,0.53,15.24,10.17,1431.55,368777.0,34338.0,0.674,0.768,0.866,0.834,0.822
Online,MARÍLIA,SP,3,4.06,17.13,76.26,12.81,9.52,1.05,4.04,0.5,12.87,8.84,953.2,213999.0,20639.0,0.673,0.776,0.854,0.768,0.798
Online,PRESIDENTE PRUDENTE,SP,3,3.92,19.01,76.49,12.1,9.43,0.85,3.28,0.54,15.18,9.98,1080.22,205558.0,19579.0,0.674,0.774,0.858,0.788,0.806
Online,RIO CLARO,SP,3,3.46,16.25,76.72,13.47,9.36,0.37,2.67,0.5,12.65,8.44,1049.16,185172.0,17437.0,0.671,0.766,0.862,0.784,0.803
Online,SÃO JOSÉ DO RIO PRETO,SP,3,3.19,18.88,75.74,13.6,9.47,0.46,1.73,0.5,12.53,8.6,1169.16,405342.0,38657.0,0.661,0.748,0.846,0.801,0.797
Online,SOROCABA,SP,3,3.1,16.99,75.59,13.43,7.41,0.89,3.23,0.52,14.36,9.71,1107.19,581667.0,43498.0,0.677,0.762,0.843,0.792,0.798
